7'抱歉，刚才柠檬的网络出了点状况                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
29'巴萨4比0！！！                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
29'梅西进球，接下来就期待他的梅开二度吧                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
30'轻松的骗过门将，推射球门左下角                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
30'西芒脚下发软了                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
30'面对补防过来的皮克，球丢了                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
30'西班牙人前场反抢                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
31'西芒在禁区里边被皮克干扰了一下，左脚的打门把球打飞了                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
32'上个赛季巴萨在主场也是4比0战胜了西班牙人                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
32'那一场比赛西班牙人被梅球进了4个                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
53'小法一直都不受西班牙球员待见                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
53'从上个赛季回到巴萨开始，在联赛中跟对方球员起争执最多的也是他                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
53'伊涅斯塔被绊倒了                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
53'这次犯规有些凶狠                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
53'巴埃纳领到了黄牌                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
54'巴萨获得了一个禁区角上的定位球                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
54'现在梅西和大佬交流都是不让人看见口型的                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
54'哈维把球传入禁区，后点小法~抡了一脚，球居然踢空了                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
55'布斯克茨提前判断到了对方球员的传球线路                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
55'布教授纯技术流的，预判能力尤为出色                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
55'巴萨反击又来了                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
55'梅西带球被断...                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
56'西班牙人门将玩火啊                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
56'面对佩刀的逼抢，还想玩个花的么？                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
56'解围的时候又打在了佩刀的身上，还好球不是弹向了球门                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
56'否则西班牙人又要丢球了                   53'第53分钟，巴埃纳对伊涅斯塔犯规被罚黄牌
47'两队在中场休息阶段均没有做出人员调整                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
47'梅西~想斜塞过去给伊涅斯塔                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
47'后卫先出一脚，把球拦截下来                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
48'今天巴萨的传球成功率高达91%                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
49'西班牙人可就有点惨了，控球时间只有20%                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
49'伊涅斯塔推直线，阿尔巴还没接应到位呢                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
50'转眼间伊涅斯塔回到中场参与防守                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
50'贝尔杜抢球犯规了                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
50'皮克过了中场，给到梅西                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
50'巴萨又放慢了节奏                   47'2分钟后，佩德罗传球，法布雷加斯禁区左侧的射门被哈维-洛佩斯挡出底线
63'裁判吹了佩刀越位                   63'第63分钟，蒂亚戈换下哈维
63'蒂亚戈换下了哈维                   63'第63分钟，蒂亚戈换下哈维
63'巴萨的金童这个赛季饱受伤病的摧残                   63'第63分钟，蒂亚戈换下哈维
63'西班牙人换下贝尔杜，换上了8号斯图亚尼                   63'第63分钟，蒂亚戈换下哈维
64'加西亚想穿裆过皮克，被断了                   63'第63分钟，蒂亚戈换下哈维
64'阿尔维斯接到蒂亚戈的分球，传中找梅西！门将及时出击化解了险情                   63'第63分钟，蒂亚戈换下哈维
65'佩刀~~进球无效！！！                   63'第63分钟，蒂亚戈换下哈维
65'帽子戏法啊，可惜了                   63'第63分钟，蒂亚戈换下哈维
65'梅西的手术刀直塞，裁判吹了小法越位                   63'第63分钟，蒂亚戈换下哈维
65'但是慢动作来看跟之前佩刀那个越位吹罚都有些勉强                   63'第63分钟，蒂亚戈换下哈维
66'巴萨换上比利亚，换下了小法                   63'第63分钟，蒂亚戈换下哈维
66'比利亚一直处在转会传闻的风口浪尖上                   63'第63分钟，蒂亚戈换下哈维
66'有说他去意甲的，去英超的...                   63'第63分钟，蒂亚戈换下哈维
66'但是比利亚自己发话了，至少本赛季是不会走了                   63'第63分钟，蒂亚戈换下哈维
66'巴萨换上比利亚，换下了小法                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
66'比利亚一直处在转会传闻的风口浪尖上                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
66'有说他去意甲的，去英超的...                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
66'但是比利亚自己发话了，至少本赛季是不会走了                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
67'梅西这次又想故技重施，后卫抢先出脚拦截下了他的横传                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
68'西班牙人现在打得就像煎熬一般                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
68'想打反击缺乏速度                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
68'防守方面又屡次被巴萨的传球洞穿                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
69'如果不是裁判两次争议的越位吹罚，比分估计又得更改了把                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
69'梅西和阿尔维斯连续的撞墙式配合                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
69'比利亚~梅西分到左路！                   66'第66分钟，哈维-洛佩斯右路传中，塞尔吉奥-加西亚前点的射门偏出近角
73'帽子戏法真是难产啊                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
73'阿尔维斯插上没有越位，但是传中那一霎那佩刀是越位的                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
73'所以进球无效，这个吹罚没有问题                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
73'只是之前那两个有些争议                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
73'斯图亚尼抢头球的时候抬肘了，撞倒了布斯克茨                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
74'裁判给了一张黄牌                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
74'看佩刀这状态感觉帽子戏法还是有戏                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
74'但是相信大家更期待梅西的第二个进球把                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
75'帽子戏法是不可能了，佩刀被换下                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
75'上场的应该是桑切斯                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
75'也让桑切斯来找找状态                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
75'这个赛季桑切斯也是进球荒啊                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
76'然后还有各种的伤病休战                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
76'智利人都快有阴影了                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
76'桑切斯联赛里边还没开张过                   73'第73分钟，蒂亚戈直传，阿尔维斯禁区右侧传中佩德罗破门，但边裁再次做出越位争议判罚
80'而加西亚的推射被巴尔德斯扑了出去                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
80'巴神立功了                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
80'扑单刀球可是巴尔德斯的强项                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
80'刚才抢断皮克打门的是阿尔宾！                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
80'皮克这个低级失误太不应该了                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
80'巴萨获得了一个前场定位球                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
81'梅西打门！门柱！！！                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
81'球打得很刁钻，恰好击中了横梁                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
81'这球门将还碰了一下，是个角球                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
81'角球进攻一直都不是巴萨的强项，这次依然如此                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
82'o猫猫o_gao:柠檬你跟枫浪熟吗？---嗯，熟悉啊                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
83'这段时间巴萨又开始加快了节奏                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
83'比利亚边路拿球，传给了梅西                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
83'阿尔巴传中~打在了后卫身上                   80'西班牙人第80分钟错失良机，皮克回传失误，胡安-阿尔宾突入禁区左侧10码处的单刀射门被巴尔德斯扑出
85'放倒了蒂亚戈，裁判给了犯规的15号莫雷诺一张黄牌                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
85'巴萨再次获得了前场定位球，距离有些远                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
85'比刚才梅西打门那次还要远一点                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
85'梅西又来~打门高了                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
87'桑切斯的突破拼下来一个角球                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
87'巴萨战术角球开出来                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
87'惯例的禁区外倒脚                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
88'蒂亚戈直塞禁区，比利亚轻轻把球回做~伊涅斯塔抬脚就射，球被后卫挡了出去                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
88'西班牙人的进攻还是无法对巴尔德斯造成什么威胁                   85'第85分钟，莫雷诺铲倒蒂亚戈被罚黄牌，梅西30码外任意球直接射门偏出
