2'建业左路进攻，传球传丢了                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
19'本轮的比赛8场同时进行                   17'第17分钟，建业右路打出配合，梁雨45度角起球到了门前，被申鑫门将候个正着
19'恒大目前1-0领先鲁能，富力1-0领先力帆                   17'第17分钟，建业右路打出配合，梁雨45度角起球到了门前，被申鑫门将候个正着
49'下半场比赛开始                   46'1分钟后，建业卷土重来，尹鸿博头球到了禁区，林翔及时出击将球摘得
49'建业进球了~~                   46'1分钟后，建业卷土重来，尹鸿博头球到了禁区，林翔及时出击将球摘得
49'来自哈维尔                   46'1分钟后，建业卷土重来，尹鸿博头球到了禁区，林翔及时出击将球摘得
27'申鑫右路角球开出                   26'第26分钟，申鑫反击，中路推进到了右路，吴毅臻小角度打门被扑出
27'被建业解围出来                   26'第26分钟，申鑫反击，中路推进到了右路，吴毅臻小角度打门被扑出
28'申鑫反击，速度很快                   26'第26分钟，申鑫反击，中路推进到了右路，吴毅臻小角度打门被扑出
28'中路推进后给到右路，吴毅臻小角度打门被扑出                   26'第26分钟，申鑫反击，中路推进到了右路，吴毅臻小角度打门被扑出
37'双方队员场上发生了小冲突                   37'第37分钟，双方队员在混战中发生小冲突，张文涛倒地后直接踢向尹鸿博脸上，导致比赛暂时中断
38'比赛暂时中断                   37'第37分钟，双方队员在混战中发生小冲突，张文涛倒地后直接踢向尹鸿博脸上，导致比赛暂时中断
39'裁判向张文涛出示了黄牌                   37'第37分钟，双方队员在混战中发生小冲突，张文涛倒地后直接踢向尹鸿博脸上，导致比赛暂时中断
40'张文涛刚刚倒地后直接踢向尹鸿博的脸上                   37'第37分钟，双方队员在混战中发生小冲突，张文涛倒地后直接踢向尹鸿博脸上，导致比赛暂时中断
49'下半场比赛开始                   47'上半场补时2分钟，两队仍然没有改写比分，以1比0进入下半场
49'建业进球了~~                   47'上半场补时2分钟，两队仍然没有改写比分，以1比0进入下半场
49'来自哈维尔                   47'上半场补时2分钟，两队仍然没有改写比分，以1比0进入下半场
50'尹鸿博中路斜传给哈维尔，哈维尔左路一脚斜射，球打入远角                   47'上半场补时2分钟，两队仍然没有改写比分，以1比0进入下半场
50'尹鸿博中路斜传给哈维尔，哈维尔左路一脚斜射，球打入远角                   50'第50分钟，河南建业卷土重来，徐洋左路将皮球给到门前，哈维尔抢点攻门得分，梅开二度，河南建业2比1实现比分反超
51'建业又进球了~~~                   50'第50分钟，河南建业卷土重来，徐洋左路将皮球给到门前，哈维尔抢点攻门得分，梅开二度，河南建业2比1实现比分反超
52'又是哈维尔                   50'第50分钟，河南建业卷土重来，徐洋左路将皮球给到门前，哈维尔抢点攻门得分，梅开二度，河南建业2比1实现比分反超
52'左路徐洋给到门前，哈维尔头球攻门得分，梅开二度                   50'第50分钟，河南建业卷土重来，徐洋左路将皮球给到门前，哈维尔抢点攻门得分，梅开二度，河南建业2比1实现比分反超
71'建业换人了                   71'第71分钟，建业队前场断球，伊沃挑传禁区，尹鸿博摔倒，但裁判示意没有犯规
72'建业队前场断球，伊沃挑传禁区，尹鸿博摔倒了，裁判示意没有犯规                   71'第71分钟，建业队前场断球，伊沃挑传禁区，尹鸿博摔倒，但裁判示意没有犯规
74'刚刚建业是路尧换下顾操                   71'第71分钟，建业队前场断球，伊沃挑传禁区，尹鸿博摔倒，但裁判示意没有犯规
83'建业队有队员抽筋了                   83'第83分钟，梁雨受伤无法坚持，被抬到场边治疗
83'拼的还是很凶的                   83'第83分钟，梁雨受伤无法坚持，被抬到场边治疗
84'比赛暂时中断了                   83'第83分钟，梁雨受伤无法坚持，被抬到场边治疗
85'梁雨受伤无法坚持了                   83'第83分钟，梁雨受伤无法坚持，被抬到场边治疗
