1'中圈蓝衣卡迪夫城开球！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
48'分球给禁区右侧奥巴梅杨！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
48'皮球被解围出去！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
67'科拉希纳茨左路插上得球！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
67'禁区内被曼加铲倒！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
67'裁判给了点球！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
67'奥巴梅杨操刀点球！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
67'助跑！右脚推射打门！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
67'球进了！！！阿森纳1-0卡迪夫城！！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
68'阿森纳后场的求全！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
68'蒙雷亚尔斜传球给中场右侧奥巴梅杨！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
68'奥巴梅杨挑传到前场右路！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
68'佩尔蒂埃后场把球断下来！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
69'佩尔蒂埃带球被奥巴梅杨拉人犯规！                   66'阿森纳第66分钟打破僵局，伊沃比直传，科拉希纳茨突入禁区左侧被曼加绊倒，奥巴梅扬主罚点球命中
83'倒脚给后场本内特！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
83'直传球给中圈被托雷拉抢断！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
84'贡多齐给前场右侧奥巴梅杨！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
84'分身边跟进的拉卡泽特！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
84'拉卡泽特快速突破！禁区内右侧推射！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
85'球进了！！！阿森纳2-0卡迪夫城！！！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
86'埃瑟里奇大脚开球给中圈前沿！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
86'蒙雷亚尔放倒了拉尔斯！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
86'卡迪夫城中圈的定位球！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
86'开球长传给前场左侧！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
86'帕特森头球顶出了左侧底线！                   83'阿森纳第83分钟扩大比分，奥巴梅扬传球，拉卡泽特强突禁区右侧劲射打在埃瑟里奇腿上偏转入远角，2-0
93'埃瑟里奇大脚开球出去！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
94'卡迪夫城边线发球给左侧的帕特森！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
94'传中禁区右侧！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
94'双方争抢！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
94'门德斯-拉昂得球！左脚推射！！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
94'球进了！！！！阿森纳2-1卡迪夫城！                   93'卡迪夫城第93分钟扳回一城，佐霍雷头球摆渡，门德斯-莱恩禁区右侧弧线球射入左下角，1-2
