4'姜文骏左路直传球，被挡出边线                   4'开赛前，山东鲁能球门一侧球网出现问题，比赛延迟4分钟开球
26'塔尔德利躺在地上！队医上场！                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
26'蒿俊闵和郑铮站在球前！发任意球                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
27'任意球发到禁区内！对方顶出来！崔巍远射偏出！                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
28'热尔维尼奥左路接球，带球强突！在崔巍的紧逼下球出边线                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
28'界外球发出来，河北华夏队传球到禁区内，被破坏出来                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
28'阿洛伊西奥在前场逼抢，球出边线！河北华夏队得到角球机会                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
28'塔尔德利还在场边治疗                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
28'战术角球发出来，左路横传禁区！后点没有人啊！                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
29'赵宇豪失误，塔尔德利在前场断球！绝好的机会！传球到禁区，佩莱打门！居然打偏了！                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
29'这球是在杨程扑了一下出底线！鲁能泰山队得到角球机会                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
29'蒿俊闵发角球到禁区内！对方破坏出来！                   26'第26分钟，山东鲁能才通过边路传中制造威胁，边路传中被解围后，崔巍禁区外凌空抽射将球打偏
39'鲁能泰山队要换人：张驰上场，换下王彤！                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
39'王彤有伤啊！今天没怎么看到他！                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
40'杨程大脚开球到前场，热尔维尼奥没能争顶到                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
40'罗森文在前场抢球犯规！拉倒了蒿俊闵                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
40'任意球发出来，吴兴涵左路突破横传禁区！对方顶出来                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
40'蒿俊闵前场得球分边，李松益斜传禁区！又被顶出来                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
42'塔尔德利在前场得球！郑铮左路横传禁区！                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
42'没能形成打门啊！河北华夏队得球右路反击，塔尔德利回防把球抢断下来                   39'第39分钟，山东鲁能率先做出换人调整，张弛换下王彤
47'吴兴涵接球突破禁区！被破坏出边线                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
47'鲁能泰山队得到角球机会                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
47'蒿俊闵发角球到禁区内，对方破坏！                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
47'戴琳的一脚大力远射！力量很足，可惜高了？！                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'上半场比赛结束，双方都没能进球！战成0-0                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
47'郑铮左路接球，横传交给蒿俊闵                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
47'蒿俊闵直传禁区！想来个二过一！没能成功                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'河北华夏队直传球！热尔维尼奥禁区内接球打门，被王大雷挡出底线                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'不过热尔维尼奥越位在先！                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'中场鲁能泰山队换了一名队员，金敬道换下了崔巍                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'鲁能泰山队右路进攻，被破坏出边线                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
48'界外球发出来，佩莱回传给塔尔德利                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
49'塔尔德利分球到右路，交给金敬道！                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
49'金敬道塞球，张驰突破到禁区内横传球，被挡出来                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
50'郑铮左路下底横传！姆比亚将球破坏出底线                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
50'鲁能泰山队得到角球机会                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
50'蒿俊闵发角球到前点，对方胸部停球！                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
50'蒿俊闵在前场抢球出边线                   47'第47分钟，华夏幸福中场送出直塞，热尔维尼奥快速插上直面王大雷，但是他的小角度射门被王大雷挡出
57'热尔维尼奥拿球，强突！回带！                   57'第57分钟，李行换下车世伟
57'热尔维尼奥再突破，直塞禁区！戴琳将球破坏                   57'第57分钟，李行换下车世伟
58'罗森文左路下底，被护球出底线                   57'第57分钟，李行换下车世伟
58'河北华夏队右路长传进攻，阿洛伊西奥接球，吉尔抢球犯规                   57'第57分钟，李行换下车世伟
59'李行拿球，分到左路                   57'第57分钟，李行换下车世伟
59'河北华夏队左路横传球，被李松益挡出底线                   57'第57分钟，李行换下车世伟
60'尹鸿博发角球到禁区内前点，皮球在空中已经出底线                   57'第57分钟，李行换下车世伟
68'角球发到禁区内后点，队友顶了一下，赵宇豪再传禁区！                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
68'河北华夏队左路横传禁区！姆比亚头球顶门！高出横梁！                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
68'姆比亚甩头没能控制好！！好懊恼！                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
69'金敬道右路跑传，可惜最后一下横传没能传好                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
70'河北华夏队左路进攻，传球出边线                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
70'界外球发出来，鲁能泰山队长传进攻                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
70'吴兴涵左路突破到禁区内，回扣！进攻犯规                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
71'吴兴涵在前场接球，再传，丢球                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
71'热尔维尼奥在前场得球转身传球，被抢断                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
71'姜文骏在前场抢球犯规                   68'第68分钟，李行中路转移球，张呈栋左边路传中，姆比亚禁区内头球攻门稍稍高出横梁
73'热尔维尼奥左路接球，被三人包夹！                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
73'塔尔德利前场左路拿，横向突破转移到右路                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
73'金敬道横带突然一脚劲射！被挡出底线                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
75'角球发到禁区内，佩莱抢点打门偏了！金敬道在底线回勾，不过还是出底线啦！                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
75'塔尔德利中场得，回传给蒿俊闵                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
75'张驰中路直传球被断！这失误不应该！                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
75'张驰背后拉人犯规！吃黄牌啦！                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
76'张驰无耐之下拉倒了罗森文                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
76'战术任意球发出来，左路横传禁区！被破坏出来                   73'第73分钟，金敬道边路拿球内切远射，球被姆比亚飞身挡出底线
76'张驰无耐之下拉倒了罗森文                   76'第76分钟，张弛拉人犯规被黄牌警告
76'战术任意球发出来，左路横传禁区！被破坏出来                   76'第76分钟，张弛拉人犯规被黄牌警告
77'张呈栋抢球犯规！撞倒了塔尔德利！                   76'第76分钟，张弛拉人犯规被黄牌警告
77'张呈栋显得很无辜！                   76'第76分钟，张弛拉人犯规被黄牌警告
77'鲁能泰山队换人：刘彬彬换下吴兴涵！                   76'第76分钟，张弛拉人犯规被黄牌警告
78'河北华夏队中场传球失误，球出边线                   76'第76分钟，张弛拉人犯规被黄牌警告
79'中场鲁能泰山队得球，交给塔尔德利                   76'第76分钟，张弛拉人犯规被黄牌警告
79'塔尔德利直传球，李松益右路横传，被破坏                   76'第76分钟，张弛拉人犯规被黄牌警告
79'中场鲁能泰山队得球，交给塔尔德利                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
79'塔尔德利直传球，李松益右路横传，被破坏                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
80'热尔维尼奥左路攻到前场，横传球，阿洛伊西奥没能控好                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
80'刘彬彬左路突破横传禁区！大了些                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
82'河北华夏队右路攻到中场，对方犯规                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
82'任意球发出来，尹鸿博直传球，被断                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
82'金敬道得球中路带球突破传球，再转移到右路                   79'第79分钟，张弛后场断球长途奔袭，在禁区前送出直塞，塔尔德利快速插上捅射，球被杨程没收
88'角球发到禁区内，被鲁能泰山队破坏出来                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
88'塔尔德利得球交给刘彬彬！                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
88'塔尔德利传球，吉尔一脚劲射！被杨程挡出！                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
89'李松益斜传禁区，象是直接打门！被杨程没收                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
89'鲁能泰山队长传前场，佩莱争顶头球，压倒了姆比亚                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
90'罗森文在前场背后抢球犯规！吃到了黄牌                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
90'这脚铲球太危险了，放倒了刘彬彬！                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
90'下半场补时3分钟                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
90'塔尔德利得球，分给刘彬彬                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
91'塔尔德利左路突破横传禁区！找佩莱，罗森文用脚后跟把球打出来                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
91'塔尔德利左路直传，张呈栋推人犯规                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
91'鲁能泰山队得到前场左路任意球机会                   88'第88分钟，刘彬彬带球反击分球，张弛另一侧得球劲射，球被杨程双拳挡出
