7'刘乐左路突破，被瓜林回追断球                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
70'高迪背身拿球，倒地，丢了                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
70'刘乐左路摆脱，艾迪拉人了                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
70'费尔南多任意球开门前，卡尔德克顶偏                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
71'瓜林斜传左路，冯劲回防断球                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
73'唐家庶斜传禁区前，被柏佳骏断下                   73'第73分钟重庆连换两人，刘卫东换刘乐
73'回传李帅，大脚开丢了                   73'第73分钟重庆连换两人，刘卫东换刘乐
73'李放右路起球被朱辰杰顶出                   73'第73分钟重庆连换两人，刘卫东换刘乐
73'刘若钒右路横敲，高迪再推短了                   73'第73分钟重庆连换两人，刘卫东换刘乐
74'重庆换人，刘乐被刘卫东换下                   73'第73分钟重庆连换两人，刘卫东换刘乐
74'李放被刘宇换下                   73'第73分钟重庆连换两人，刘卫东换刘乐
74'彭欣力右路起左脚传中，出了远门柱                   73'第73分钟重庆连换两人，刘卫东换刘乐
75'莫雷诺中场争顶被扛倒                   73'第73分钟重庆连换两人，刘卫东换刘乐
76'高迪左路做球，曹赟定下底被破坏                   73'第73分钟重庆连换两人，刘卫东换刘乐
76'曹赟定左路回防绊倒冯劲                   73'第73分钟重庆连换两人，刘卫东换刘乐
77'费尔南迪尼奥左路下底过人，传后点                   77'第77分钟莫雷诺受伤倒地被抬出场外，但他很快又回到场内
77'柏佳骏先把球破坏出底线，角球                   77'第77分钟莫雷诺受伤倒地被抬出场外，但他很快又回到场内
77'角球去后点，冯劲没顶上                   77'第77分钟莫雷诺受伤倒地被抬出场外，但他很快又回到场内
78'莫雷诺前场被彭欣力绊倒，有些受伤                   77'第77分钟莫雷诺受伤倒地被抬出场外，但他很快又回到场内
80'应该没有大碍                   77'第77分钟莫雷诺受伤倒地被抬出场外，但他很快又回到场内
87'任意球开前点，没顶正                   86'第86分钟高迪对彭欣力犯规，重庆获得禁区外中路任意球的机会，此球离门22米
87'彭欣力禁区前横走被高迪撞倒，任意球                   86'第86分钟高迪对彭欣力犯规，重庆获得禁区外中路任意球的机会，此球离门22米
88'离门22米，正中间                   86'第86分钟高迪对彭欣力犯规，重庆获得禁区外中路任意球的机会，此球离门22米
89'费尔南迪尼奥任意球直接射门，打高                   86'第86分钟高迪对彭欣力犯规，重庆获得禁区外中路任意球的机会，此球离门22米
89'费尔南迪尼奥任意球直接射门，打高                   89'第89分钟丁捷破门，但卡尔德克犯规在先
90'孙世林转移左路，曹赟定                   89'第89分钟丁捷破门，但卡尔德克犯规在先
90'踢墙配合，孙世林传大了                   89'第89分钟丁捷破门，但卡尔德克犯规在先
90'下半场补时4分钟                   89'第89分钟丁捷破门，但卡尔德克犯规在先
91'卡尔德克进攻犯规                   89'第89分钟丁捷破门，但卡尔德克犯规在先
91'拉倒了朱辰杰                   89'第89分钟丁捷破门，但卡尔德克犯规在先
92'莫雷诺横传禁区前，瓜林远射打偏                   89'第89分钟丁捷破门，但卡尔德克犯规在先
93'瓜林中场被费尔南迪尼奥绊倒                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
93'莫雷诺底线前接应，越位                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
94'刘宇左路起球，卡尔德克高高跃起                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
94'头球砸偏了                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
95'李帅大脚把球开出                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
95'曹赟定左路拿球，被唐家庶解围出界                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
95'李帅之前拖延时间，被黄牌警告                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
96'全场比赛结束                   93'第93分钟刘宇左路送出好球，卡尔德克高高跃起头球顶偏
93'瓜林中场被费尔南迪尼奥绊倒                   93'第93分钟李帅迟缓发球吃到黄牌
93'莫雷诺底线前接应，越位                   93'第93分钟李帅迟缓发球吃到黄牌
94'刘宇左路起球，卡尔德克高高跃起                   93'第93分钟李帅迟缓发球吃到黄牌
94'头球砸偏了                   93'第93分钟李帅迟缓发球吃到黄牌
95'李帅大脚把球开出                   93'第93分钟李帅迟缓发球吃到黄牌
95'曹赟定左路拿球，被唐家庶解围出界                   93'第93分钟李帅迟缓发球吃到黄牌
95'李帅之前拖延时间，被黄牌警告                   93'第93分钟李帅迟缓发球吃到黄牌
96'全场比赛结束                   93'第93分钟李帅迟缓发球吃到黄牌
