7' 库扎耶夫把球得到！回传身后伊格纳舍维奇传中！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
15'切赫大脚开球给前场左侧厄齐尔！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
15'厄齐尔一脚直塞球给前场左路！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
15'姆希塔良前场越位了！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
16'莫斯科中央陆军后场右路任意球！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
16'大脚开球给到中场左侧戈洛温！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
16'戈洛温低平球推传前场中路！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
16'双方争抢！科斯切尔尼的犯规！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
16'莫斯科中央陆军禁区弧顶的任意球机会！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
17'戈洛温右脚直接打门！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
17'GOOOOOOAL！球进了！！！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
17'莫斯科中央陆军1-1阿森纳！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
18'厄齐尔分球左路拉姆塞！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
18'拉姆塞回敲身后蒙雷亚尔！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
18'蒙雷亚尔再给后场科斯切尔尼！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
18'科斯切尔尼横传球给右侧的穆斯塔菲！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
18'穆斯塔菲给到中场左侧蒙雷亚尔！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
23'莫斯科中央陆军后场左路任意球！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
23'开球给前场中路！被扎卡拦截下来！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
23'扎卡给到身前的厄齐尔！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
24'厄齐尔带球突入小禁区右侧！被放倒了！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
24'点球！裁判给了阿森纳点球！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
25'拉卡泽特操刀点球！助跑！骗过了门将！右脚低射左下角！球进了！！！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
25'阿森纳2-1再次领先莫斯科中央陆军！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
25'扎戈耶夫前场右侧传中到禁区内！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
25'皮球被防守球员挡出了边线！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
25'前场右路陆军边线发球给扎戈耶夫！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
26'扎戈耶夫一脚直塞球！戈洛温把蒙雷亚尔放倒了！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
26'阿森纳后场左路的任意球！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
26'大脚开球给到中场右侧！被什切尼科夫拦截！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
26'什切尼科夫长传球给前场左路！被穆斯塔菲破坏出边线！                   23'阿森纳第23分钟再次超出，厄齐尔跌跌撞撞突入禁区在先尼科夫防守下摔倒，客队被判极刑，拉卡泽特主罚点球命中，2-1
35'库扎耶夫低平球给到中路戈洛温！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
35'戈洛温分球失误传出了边线！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
35'蒙雷亚尔发球给到身前扎卡！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
35'扎卡直塞球给前场左侧厄齐尔！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
36'厄齐尔低平球传中禁区内中路！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
36'拉卡泽特被漏了！插上把球得到！左脚推射打门！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
36'GOOOOOOOAL！球进了！！！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
36'戈洛温直塞球给前场中路穆萨！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
37'穆萨分球给前场右路库扎耶夫！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
37'库扎耶夫低平球传中被切赫拿到没收！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'扎卡给到中路的威尔希尔！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'威尔希尔带球推进前场！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'直塞球被别列祖茨基拦截！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'别列祖茨基回传给门将阿金费耶夫！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'阿金费耶夫长传球给前场中路！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
38'皮球被科斯切尔尼大脚解围！                   35'第35分钟，厄齐尔左路下底传中，拉卡泽特15码处左脚抽射左下角入网，4-1
