5'吴曦为江苏舜天赢得一个任意球                   5'比赛打到第5分钟，李昂右路开出角球，萨米尔头球顶高
25'萨米尔这球踢的太正了                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
25'上半场踢了25分钟，江苏还是2-0领先                   22'第22分钟江苏队萨米尔低传入禁区，埃斯库德罗鱼跃冲顶，球打在帕帕手上弹出，点球
27'申花得到角球                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
27'找卡希尔，球被吉翔顶出                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
28'萨米尔右路突破转移左路给杨笑天，低射被邱盛炯挡出                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
29'任航左路接球突破，申花防守犯规                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
29'江苏舜天获得前场任意球                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
30'任航被吹越位                   27'第27分钟舜天右路长传，无人看守的杨笑天迎球怒射，被身体状态已经被激活的邱盛炯扑出
30'任航被吹越位                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
31'申花右路进攻，给恩里克，转身直塞传曹赟定时角度不好，出底线                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
31'上半场已经31分钟了                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
31'申花后场转移右路                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
31'再给到左路                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
32'长传前场出边线                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
32'吴曦给萨米尔穿裆传球，帕帕多普洛斯抢断了                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
33'恩里克前插接球，越位了                   30'第30分钟恩里克禁区内扣球回传，曹赟定转身射门打中边网
41'上半场已经进行了40分钟                   41'第41分钟刘建业传球穿透防线略偏出门
41'申花右路进攻，传中被断球                   41'第41分钟刘建业传球穿透防线略偏出门
41'江苏前场反击，萨米尔右路突破，回传                   41'第41分钟刘建业传球穿透防线略偏出门
42'给前场，没人接应，球漏出底线                   41'第41分钟刘建业传球穿透防线略偏出门
44'申花前场左路进攻，曹赟定横向突破突然起脚打门，很有威胁，张思鹏将球扑出                   41'第41分钟刘建业传球穿透防线略偏出门
44'申花角球                   41'第41分钟刘建业传球穿透防线略偏出门
47'申花前场进攻，射门被张思鹏扑出                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
47'球还是申花得到                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
47'曹赟定传后点，莫雷诺头球点给中路，被江苏破坏                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
48'江苏舜天球员张晓彬拼抢犯规,对手获得控球权.                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'莫雷诺为上海申花赢得一个任意球                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'任航为江苏舜天赢得一个任意球.                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'上海申花球员莫雷诺拼抢犯规,对手获得控球权                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'上海申花莫雷诺受伤倒地,比赛暂停                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'暂停结束,球员们重新开始比赛                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'李昂为江苏舜天赢得一个任意球.                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'上海申花球员卡希尔拼抢犯规,对手获得控球权                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
50'莫雷诺刚才受伤起来后坚持一会，还是有点问题，要换下了                   47'第47分钟卡希尔在禁区内得球强行转身打门，球再次被张思鹏扑出
49'莫雷诺为上海申花赢得一个任意球                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'任航为江苏舜天赢得一个任意球.                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'上海申花球员莫雷诺拼抢犯规,对手获得控球权                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'上海申花莫雷诺受伤倒地,比赛暂停                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'暂停结束,球员们重新开始比赛                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'李昂为江苏舜天赢得一个任意球.                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
49'上海申花球员卡希尔拼抢犯规,对手获得控球权                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
50'莫雷诺刚才受伤起来后坚持一会，还是有点问题，要换下了                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
51'莫雷诺下，11号吕征上                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
51'埃斯库德罗拼抢犯规,对手获得控球权                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
51'柏佳俊为上海申花赢得一个任意球.                   49'申花被迫启动计划外换人，第49分钟吕征替换莫雷诺出场
54'申花下半场开始不久就扳回一分，这个球非常关键                   52'失球后的舜天全力进攻，第52分钟舜天在申花禁区连续掀起波澜，邱盛炯最后奋力出击把球打出危险地带
54'进球来的很及时，吕征现在是顶在前锋位置，卡希尔稍微回撤                   52'失球后的舜天全力进攻，第52分钟舜天在申花禁区连续掀起波澜，邱盛炯最后奋力出击把球打出危险地带
55'埃斯库德罗前场积极拼抢，但是推人犯规                   52'失球后的舜天全力进攻，第52分钟舜天在申花禁区连续掀起波澜，邱盛炯最后奋力出击把球打出危险地带
55'恩里克右侧得球，面对对手的逼抢，回给同伴                   52'失球后的舜天全力进攻，第52分钟舜天在申花禁区连续掀起波澜，邱盛炯最后奋力出击把球打出危险地带
55'申花扳平了比分                   52'失球后的舜天全力进攻，第52分钟舜天在申花禁区连续掀起波澜，邱盛炯最后奋力出击把球打出危险地带
63'任航传中第一点被挡出                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
63'外围吴曦假射真传，把队友也晃了一下                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
63'申花的反击，吕征底线附近的连续转身，最后的传中没有角度了，制造一个角球                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
64'卡尔坦森上，换下杨笑天，舜天继续加强进攻                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
64'申花的角球没等开出，禁区内拼抢位置人仰马翻了                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
64'李昂推倒了王寿挺，主裁赶紧过来警告一下                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
65'申花角球开出，中路找到卡希尔，卡希尔头球一点，被后卫迅速解围                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
65'右路申花的进攻，卡希尔塞禁区内的恩里克                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
66'恩里克挡住后卫，做球给插上的曹赟定，曹赟定小角度的重炮轰门，偏出底线                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
66'这个球角度很小了，想来个大力出奇迹                   63'第63分钟曹赟定妙传禁区，吕征射门动作稍慢被解围出界，随即舜天用卡尔坦森换下杨笑天
67'舜天右路进攻，吉翔传中，给的点不错啊，吴曦中路的射门打呲了                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
67'吴曦第二点在抢，和王寿挺重重的撞在一起                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
67'吴曦这脚打门有失水准啊，是个不错的机会                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
68'申花后场控制一下，舜天前场压迫，门将邱盛炯大脚开到中场                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
69'卡尔坦森右路的传中，球碰到防守队员有个变向                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
70'萨米尔禁区内再抢落点，被后卫挡住                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
70'吉翔投诉对手有手球嫌疑，裁判没有理会                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
70'吕征右路突破，下底传中，力量给大了                   67'第67分钟王寿挺和吴曦相撞倒地不起，好在两人都无甚大碍
72'吴曦禁区内原地的射门，内脚背勾了一个弧线，没有力量，邱盛炯轻松摘下                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
72'舜天再次领先了                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
72'进球的是替补上来的卡尔坦森                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
73'进球还是与埃斯库德罗有关啊，埃斯库德罗的助攻                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
74'埃斯库德罗左侧把球停好，内脚背搓入小禁区中央，卡尔坦森后插上摆脱李建滨，重重的一头，砸向对手网窝，距离太近邱盛炯无从反应                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
74'高洪波的这个换人很关键，也很有效                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
75'申花右路的传中，禁区内张思鹏和对手拼抢落点                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
75'张思鹏抢在对方之前单拳把球打出禁区                   72'第72分钟埃斯库德罗左路传中，申花前点队员头皮蹭了一下皮球，中路埋伏的卡尔坦森小禁区内强力甩头破门，3比2
78'申花中路把球控制好，右路斜传转移，打到禁区左侧                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
78'吉翔回防到位把球顶出                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
79'舜天右侧进攻，交到埃斯库德罗脚下                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
79'埃斯库德罗脚下速率非常快，假装要传中，结果转身自己往底线走                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
79'埃斯库德罗小角度的一记爆杆，打偏了                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
79'申花换人，高迪上来，替下王寿挺                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
80'申花加强进攻，殊死一拼了，吉洛已经用完全部换人名额                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
80'比赛来到80分钟，申花时间还是有的                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
81'柏佳骏长传的进攻，给的太深，被出击的张思鹏拿到                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
81'舜天进攻推进到禁区边缘，吴曦和埃斯库德罗撞墙配合                   78'第78分钟埃斯库德罗右路接吴曦送球，带开王寿挺后射门高出，接着申花用高迪换下王寿挺
88'高迪转身在往禁区内直塞，人丛密集，没有给过去                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
88'申花右路再次打穿对手防线，吕征摆脱的不错                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
89'吕征下底传中，给到中路两点的包抄，吉翔头球解围出底线                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
89'申花的角球没有造成威胁                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
89'舜天的反击机会                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
89'给到左侧张晓彬这边，张晓彬横敲中路的萨米尔                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
90'萨米尔跟进，扣过防守队员，一记捅射，邱盛炯反应飞快，侧扑把球得到                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
90'下半场补时4分钟                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
90'高洪波手里还有换人的名额，可以合理的拖延一下时间                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
91'舜天最后阶段还有反击的机会                   88'第88分钟熊飞右路传中质量很高，但吉翔抢在恩里克之前头球解围
49'莫雷诺为上海申花赢得一个任意球                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'任航为江苏舜天赢得一个任意球.                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'上海申花球员莫雷诺拼抢犯规,对手获得控球权                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'上海申花莫雷诺受伤倒地,比赛暂停                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'暂停结束,球员们重新开始比赛                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'李昂为江苏舜天赢得一个任意球.                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
49'上海申花球员卡希尔拼抢犯规,对手获得控球权                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
50'莫雷诺刚才受伤起来后坚持一会，还是有点问题，要换下了                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
51'莫雷诺下，11号吕征上                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
51'埃斯库德罗拼抢犯规,对手获得控球权                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
51'柏佳俊为上海申花赢得一个任意球.                   49'本场比赛补时4分钟，舜天奋力进攻以抵消申花的反击
