8'内马尔左侧拿球，转身之际身后的马罗犯规了                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
31'塞尔塔后场失误，梅西禁区前沿拿到球权，可惜苏神和梅西没有形成传跑的默契                   28'第28分钟，奥雷拉纳开出角球，巴勃罗-埃尔南德斯小禁区前头球攻门被布拉沃没收
32'巴萨左侧低平球传到禁区，梅西打门，被门将奋力扑出来                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
32'塞尔塔后场又失误了，内马尔突破，被后卫挡了一下                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
33'梅西在内马尔身后，接到这个球，直接杀入禁区                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
33'梅西面对出击的门将，推射远角，被回防的后卫铲了一下，打在横梁上弹回                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
34'塞尔塔今天太神奇了，又是一次大难不死                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
34'眼看这个球就要过门线了，结果却神奇的被解围                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
35'苏神左路拿球，非常漂亮的一记传中，梅西禁区内头球攻门，顶高了                   32'第32分钟，内马尔突破被马洛勉强捅出，跟进的梅西拿球突破至禁区左侧10码处射门越过门将阿尔瓦雷斯，琼尼空门前解围，皮球打中横梁弹出
42'巴萨今天的防线没有什么问题，但中场今天有些凌乱，2次打在横梁上也阻碍了巴萨领先                   42'第42分钟，内马尔传球，苏亚雷斯禁区前左脚低射被阿尔瓦雷斯没收
43'禁区前沿苏神的一次射门，有些正，被阿尔瓦雷斯倒地扑住                   42'第42分钟，内马尔传球，苏亚雷斯禁区前左脚低射被阿尔瓦雷斯没收
43'巴萨长传，阿尔维斯越位了                   42'第42分钟，内马尔传球，苏亚雷斯禁区前左脚低射被阿尔瓦雷斯没收
44'巴萨的机会，内马尔左侧内切杀到禁区，一个低射，门将勉强把球挡出，角度要的很叼啊                   42'第42分钟，内马尔传球，苏亚雷斯禁区前左脚低射被阿尔瓦雷斯没收
45'这个球有意思的是助攻来自于裁判，梅西的传球正是打在裁判的身上，才形成这记进攻                   42'第42分钟，内马尔传球，苏亚雷斯禁区前左脚低射被阿尔瓦雷斯没收
47'塞尔塔上来就是一次左路的进攻，阿尔维斯和对方争落点，塞尔塔的队员犯规了                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
47'内马尔左路带球，突破到底线，瞄着梅西的位置传中                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
48'后卫仓促的一挡，险些造成乌龙                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
48'巴萨在中横梁，今天是怎么了，已经3次了                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
49'阿尔巴左路底线的倒三角传中，内马尔小禁区中央一垫，皮球击中横梁弹出底线                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
49'拉基蒂奇外围选择一脚远射，打高了                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
50'内马尔中路的突破，传球一瞬间被对手撞倒，裁判没吹                   47'第47分钟，梅西直传，阿尔巴禁区左侧传中，内马尔8码处推射再次打中横梁弹出
53'梅西拿球，直塞给高速插上的苏神                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
53'苏神杀入禁区右肋，一扣，想过掉防守队员，没有得手                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
54'塞尔塔的进攻，诺利托直塞，埃尔南德斯插上的打门，被马蒂厄挡出底线                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
54'塞尔塔的角球被布拉沃直接没收                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
55'梅西带球直塞，拉菲尼亚插入禁区，没有跑到线路上                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
55'现在巴萨得球就找梅西，利用梅西的突分，造机会                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
55'塞尔塔进球了                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
55'客场作战的塞尔塔率先取得进球                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
56'来自于拉里维的进球                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
56'果然是来自诺利托和拉里维之间的默契配合                   53'第53分钟，诺里托直传，巴勃罗-埃尔南德斯禁区左侧的射门被封堵
61'巴萨形成围攻，内马尔左侧切入到禁区内，传中被挡出来                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
62'阿尔巴左路传中，马蒂厄后退中勉强的顶到，形成一个吊门，高出底线                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
63'阿尔维斯右路的传球出现了失误                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
63'不过巴萨很快的把球又抢回到自己脚下                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
63'梅西的过人，被断掉，好在球还没丢                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
64'内马尔分给苏神，被后卫捅出底线                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
64'巴萨要做换人调整了                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
64'拉基蒂奇角球开出，前点被对手顶出边线                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
64'马蒂厄也助攻到了前场                   61'第61分钟，拉基蒂奇开出角球，马蒂厄头球攻门高出
70'苏神险些破门                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
70'佩德罗右路传中，苏神很好的机会，头球攻门，阿尔瓦雷斯选位很好，把球收入怀中                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
71'时间还有，巴萨只要一直攻，应该会有收获的                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
71'佩德罗右路很活跃啊，又是一次传中，阿尔瓦雷斯倒地稳稳把球得到                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
72'佩德罗右路在来，这次没有传球，选择自己攻，远射打高了                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
72'巴萨要是早点换上佩德罗和哈维，早就不是这个局面了吧                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
73'苏神隐蔽的直塞，内马尔巧妙的敲回给苏神                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
73'苏神禁区线上要打门，被戈麦斯铲翻在地                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
73'戈麦斯吃到黄牌                   70'巴萨第70分钟再失良机，苏亚雷斯禁区右侧传中，无人防守的苏亚雷斯小禁区前头球攻门正入阿尔瓦雷斯下怀
72'佩德罗右路在来，这次没有传球，选择自己攻，远射打高了                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
72'巴萨要是早点换上佩德罗和哈维，早就不是这个局面了吧                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
73'苏神隐蔽的直塞，内马尔巧妙的敲回给苏神                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
73'苏神禁区线上要打门，被戈麦斯铲翻在地                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
73'戈麦斯吃到黄牌                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
74'哈维和梅西都站在球前，最后是梅西来踢，一脚射门，踢高了                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
75'能在客场把巴萨逼到这个样子的队伍，确实不多啊                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
75'塞尔塔里很多球员都来自于拉玛西亚青训                   72'第72分钟，前巴萨青训后卫塞尔吉-戈麦斯对苏亚雷斯犯规被罚黄牌，但梅西20码处任意球射门高出
81'球落在后面跟进的老将查尔斯身上，查韦斯下意识一挡，打高了                   80'第80分钟，梅西30码处任意球再度打中横梁弹出
81'巴萨今天跟横梁过不去了                   80'第80分钟，梅西30码处任意球再度打中横梁弹出
81'梅西前场主罚定位球，直接打门，打在横梁和立柱的交界处                   80'第80分钟，梅西30码处任意球再度打中横梁弹出
82'查尔斯替补上来，露了一小手，险些取得进球                   80'第80分钟，梅西30码处任意球再度打中横梁弹出
83'查尔斯禁区内背身拿球，面对马蒂厄的防守，一挑，转身把马蒂厄挡在身后，一脚捅射，被布拉沃扑出                   80'第80分钟，梅西30码处任意球再度打中横梁弹出
84'梅西禁区内接到左路的传中球，没有起脚的机会，在禁区内转了一圈，把球传出                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
84'比赛算上补时大概还有10分钟的样子，今天塞尔塔发挥的真是不错                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
84'苏神又和进球擦肩而过啊，阿尔瓦雷斯神了                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
86'苏神接到右路的传球，禁区内一点的位置，苏神搭好炮台，一记重炮轰门，阿尔瓦雷斯单掌托了一下，球擦着门柱非常底线                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
86'神奇的阿尔瓦雷斯和神奇的横梁，让巴萨本场的进球数一直停留在0                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
87'巴萨前场继续围攻，拉基蒂奇分到右路                   84'第84分钟，佩德罗传球，苏亚雷斯禁区内射门又被阿尔瓦雷斯扑出
87'巴萨前场继续围攻，拉基蒂奇分到右路                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
88'苏神传中，落点直奔内马尔头上，但就在这时，又是阿尔瓦雷斯，出击单拳托了一下，改变了线路                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
88'塞尔塔禁区内有些混乱，赶紧快刀斩乱麻，一脚把球踢出边线                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
89'后卫和门将的配合险些出现失误，互相让了一下                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
90'巴萨如果输掉这场球，积分榜第一的位置将拱手让给皇马                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
90'塞尔塔后场把球拼下来，已经无力组织进攻了，一个大脚把球踢给布拉沃                   87'第87分钟，苏亚雷斯禁区右侧传中，内马尔面对空门错过头球机会
