4'刘小龙主罚角球，到前点，韩德明抢点甩头攻门，球稍稍高出横梁！                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
48'这是亚泰前场右路的一个任意球                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
50'张笑飞外脚背直传，曹添堡没有停好                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
50'毅腾目前队型有点散，前后脱节的比较厉害                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
50'贝奇拉耶禁区左侧得球，强行传中，无人接应                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
50'郭纯泉将球摘下                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
50'毅腾在体能存备上还是得加强                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
46'拉斐尔右路得球，直塞，接应的是埃尼尼奥                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
46'埃尼尼奥传中绕过了前点，贝奇拉耶伸腿垫射，脚短了一点，打偏了！                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
47'埃尼尼奥中场断球，中路狂奔，拉都拉不住                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
47'埃尼尼奥弧顶处的打门，可惜稍稍打高                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
47'上半场结束了！                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
46'下半场比赛开始了！                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
46'拉斐尔中场被绊倒                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
46'下半场亚泰是准备大举进攻了                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
47'上半场比赛毅腾的进球让我们想起了2000年亚洲杯小组赛，中国队与韩国队陈刚助攻宿茂臻头球破网一球，线路与进球方式都如出一辙！                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
48'亚泰后场控制，毅腾前场逼抢还是很积极                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
48'又是埃尼尼奥中路的突破被绊倒                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
48'这是亚泰前场右路的一个任意球                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   46'毅腾第1分钟虽然投入重兵加强进攻，但是亚泰较为稳固的防守并没有给毅腾太多的机会
48'亚泰后场控制，毅腾前场逼抢还是很积极                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
48'又是埃尼尼奥中路的突破被绊倒                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
48'这是亚泰前场右路的一个任意球                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
50'张笑飞外脚背直传，曹添堡没有停好                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
50'毅腾目前队型有点散，前后脱节的比较厉害                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
50'贝奇拉耶禁区左侧得球，强行传中，无人接应                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
50'郭纯泉将球摘下                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
50'毅腾在体能存备上还是得加强                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
51'李家赫传到中路，多利停大了，埃尼尼奥回来将球断下                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
51'埃尼尼奥分到左路，曹添堡接应横传                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
51'卜鑫上场了，中场上抢成功，带球直插禁区被王万鹏拦截出底线                   48'3分钟后，亚泰防线出现漏洞，多利右侧带球闯入禁区后起脚劲射，球被宋振瑜扑出底线
28'多利回中场接应，分到右路，李健大步流星上来                   28'哈尔滨毅腾在第28分钟取得领先
28'毅腾进球了，韩德明！                   28'哈尔滨毅腾在第28分钟取得领先
28'右路接应的是李健，斜传禁区，韩德明抢在伊斯梅洛夫之前甩头攻门球进！                   28'哈尔滨毅腾在第28分钟取得领先
29'这球需要载入史册，这是哈尔滨历史上第一个在主场的中超进球！                   28'哈尔滨毅腾在第28分钟取得领先
29'亚泰不得不压出来攻                   28'哈尔滨毅腾在第28分钟取得领先
29'张笑飞直塞，禁区左肋部曹添堡停下球来传中力量不够                   28'哈尔滨毅腾在第28分钟取得领先
29'福福大脚解围出底线                   28'哈尔滨毅腾在第28分钟取得领先
30'亚泰左路的角球，埃尼尼奥旋前点，李健将球铲出底线                   28'哈尔滨毅腾在第28分钟取得领先
30'继续角球，埃尼尼奥还有搓起来，前点是韩德明将球解围                   28'哈尔滨毅腾在第28分钟取得领先
31'连续第三个角球，埃尼尼奥直接旋球向球门，郭纯泉打球不远，拉斐尔小禁区左侧小角度倒钩打飞了！                   28'哈尔滨毅腾在第28分钟取得领先
31'亚泰的进攻马上加强，埃尼尼奥中场搓球过人被亚当休斯绊倒                   28'哈尔滨毅腾在第28分钟取得领先
31'这是刘小龙，吃到一张黄牌！                   28'哈尔滨毅腾在第28分钟取得领先
31'连续第三个角球，埃尼尼奥直接旋球向球门，郭纯泉打球不远，拉斐尔小禁区左侧小角度倒钩打飞了！                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
31'亚泰的进攻马上加强，埃尼尼奥中场搓球过人被亚当休斯绊倒                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
31'这是刘小龙，吃到一张黄牌！                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
32'埃尼尼奥将球踢向禁区，郭纯泉接球脱手，还好旁边有多利大脚解围                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
32'韩德明护好球交给罗德瑞格，分到左路，刘小龙下底传中，宋振瑜将球抱住                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
33'回复：手机用户3130068833 哈的球迷太棒了，看直播太震撼了，想当年我们也是这样。（中国足球有他们实在是幸福）                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
34'埃尼尼奥来到左路拿球，传中被李健挡住                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
34'中场还是亚泰的控球                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
34'多利反抢成功，组织反击，横传，韩德明一漏                   31'亚泰在城门失守后如梦方醒，第31分钟亚泰连续获得角球机会，但均未能威胁到哈尔滨球门
36'亚泰获得一个位置不错的任意球机会，中路偏左，就在禁区外大概8米的地方！                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
36'看埃尼尼奥的                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
36'角度稍稍有点偏                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
36'埃尼尼奥直接罚进！                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
37'埃尼尼奥的脚法确实厉害，脚弓打出弧线球，球越过人墙后擦着左立柱内侧入网，郭纯泉鞭长莫及！                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
38'毅腾进球后回收的太大了                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
39'毅腾收得有点快，毕竟时间才是上半场30分钟                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
39'李健右路的传中，无人接应                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
39'埃尼尼奥右路长传，拉斐尔得球                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
39'拉斐尔速度太快了，下底倒三角传中，贝奇拉耶漏了，后点曹添堡推射打在横梁上！                   36'亚当-休斯在地36分钟在本方禁区前沿推倒埃尼奥，送给亚泰一粒位置极佳的任意球机会
53'孙捷长传前场，被福福顶了回来                   53'长春亚泰在失球8分钟后迅速扳平比分
53'张笑飞左路停球失误，出这线                   53'长春亚泰在失球8分钟后迅速扳平比分
53'韩德明接应界外球，球停在半空，被伊斯梅洛夫勾出边线                   53'长春亚泰在失球8分钟后迅速扳平比分
53'李健右肋部接应，但停球也是直接停出了底线                   53'长春亚泰在失球8分钟后迅速扳平比分
54'张笑飞中场控制下来，交给埃尼尼奥                   53'长春亚泰在失球8分钟后迅速扳平比分
54'埃尼尼奥带球直插，没有控制好                   53'长春亚泰在失球8分钟后迅速扳平比分
54'埃尼尼奥分边右路，吕建军调整到左脚传中                   53'长春亚泰在失球8分钟后迅速扳平比分
55'没有传起来呀，福福头球解围                   53'长春亚泰在失球8分钟后迅速扳平比分
56'李家赫右路引球上来，外脚背传球传不好                   53'长春亚泰在失球8分钟后迅速扳平比分
46'拉斐尔右路得球，直塞，接应的是埃尼尼奥                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
46'埃尼尼奥传中绕过了前点，贝奇拉耶伸腿垫射，脚短了一点，打偏了！                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
47'埃尼尼奥中场断球，中路狂奔，拉都拉不住                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
47'埃尼尼奥弧顶处的打门，可惜稍稍打高                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
47'上半场结束了！                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
46'下半场比赛开始了！                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
46'拉斐尔中场被绊倒                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
46'下半场亚泰是准备大举进攻了                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
47'上半场比赛毅腾的进球让我们想起了2000年亚洲杯小组赛，中国队与韩国队陈刚助攻宿茂臻头球破网一球，线路与进球方式都如出一辙！                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
48'亚泰后场控制，毅腾前场逼抢还是很积极                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
48'又是埃尼尼奥中路的突破被绊倒                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
48'这是亚泰前场右路的一个任意球                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   46'贝莱切在伤停补时第1分钟的一次门前抢点射门差之毫厘
51'李家赫传到中路，多利停大了，埃尼尼奥回来将球断下                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
51'埃尼尼奥分到左路，曹添堡接应横传                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
51'卜鑫上场了，中场上抢成功，带球直插禁区被王万鹏拦截出底线                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
52'毅腾卜鑫下半场被替换上场，换下的可能是刘小龙                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
53'孙捷长传前场，被福福顶了回来                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
53'张笑飞左路停球失误，出这线                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
53'韩德明接应界外球，球停在半空，被伊斯梅洛夫勾出边线                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
53'李健右肋部接应，但停球也是直接停出了底线                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
54'张笑飞中场控制下来，交给埃尼尼奥                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
54'埃尼尼奥带球直插，没有控制好                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
54'埃尼尼奥分边右路，吕建军调整到左脚传中                   51'第51分钟，替补登场的卜鑫中圈弧顶抢断成功，在带球突破时最后时刻被王万鹏将球解围出底线
47'埃尼尼奥中场断球，中路狂奔，拉都拉不住                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
47'埃尼尼奥弧顶处的打门，可惜稍稍打高                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
47'上半场结束了！                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
47'上半场比赛毅腾的进球让我们想起了2000年亚洲杯小组赛，中国队与韩国队陈刚助攻宿茂臻头球破网一球，线路与进球方式都如出一辙！                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
48'亚泰后场控制，毅腾前场逼抢还是很积极                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
48'又是埃尼尼奥中路的突破被绊倒                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
48'这是亚泰前场右路的一个任意球                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
50'张笑飞外脚背直传，曹添堡没有停好                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
50'毅腾目前队型有点散，前后脱节的比较厉害                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
50'贝奇拉耶禁区左侧得球，强行传中，无人接应                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
50'郭纯泉将球摘下                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
50'毅腾在体能存备上还是得加强                   47'2分钟后，卜鑫在距离球门较远的位置选择任意球直接攻门，球偏出右侧门柱
66'毅腾在中路几下倒脚后，多利禁区边缘背身拿球自己带出来转身大力轰门，球擦着左侧立柱内侧入网！                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
67'更正一下，中场时卜鑫换下的是许东！                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
67'哈尔滨毅腾看到了首场中超胜利的希望                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
67'拉斐尔右路突破被刘小龙绊倒，亚泰获得一个前场右路的任意球机会                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
67'定位球是他们的重要武器                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
68'埃尼尼奥斜传球很贼，前点大家都漏了，郭纯泉将球抱住                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
68'里卡多左路控球，回传，王大龙横传有点危险                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
68'还好没有让贝奇拉耶铲着，福福将球长传到右路                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
69'长春亚泰换人，21号刘卫东换下了6号裴帅！                   66'第66分钟，哈尔滨毅腾再度超出比分，多利在禁区弧顶处得球连续晃开亚泰防守球员后起脚怒射，球击中球门左侧门柱蹿入球网
73'球还在亚泰脚下，埃尼尼奥传中收获一个角球                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
73'埃尼尼奥角球送到前点，亚当休斯第一点头球解围                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
73'外围是亚泰控球，埃尼尼奥再传中，刘卫东这点已经空了，甩头攻门顶空了                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
74'毅腾的27号李健因为拖延时间被黄牌警告！                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
75'亚泰的机会                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
76'刘卫东禁区左边缘传中，亚当休斯解围漏了，后点拉斐尔跟进打门打偏了！                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
76'这球是打进比打偏更难啊                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
76'不过郭纯泉的出击对拉斐尔的心理造成不少威胁                   73'第73分钟，毅腾门前出现险情，埃尼奥的传中球险些造成毅腾后卫乌龙
76'刘卫东禁区左边缘传中，亚当休斯解围漏了，后点拉斐尔跟进打门打偏了！                   76'亚泰在第76分钟错失破门良机
76'这球是打进比打偏更难啊                   76'亚泰在第76分钟错失破门良机
76'不过郭纯泉的出击对拉斐尔的心理造成不少威胁                   76'亚泰在第76分钟错失破门良机
77'曹添堡中场回传，里卡多飞铲孙捷犯规                   76'亚泰在第76分钟错失破门良机
77'孙捷分给埃尼尼奥，埃尼尼奥传到禁区边缘，一片混战                   76'亚泰在第76分钟错失破门良机
78'福福还是先找到球解围                   76'亚泰在第76分钟错失破门良机
78'亚当休斯中场给直线，太软了，伊斯梅洛夫抢前将球踢走                   76'亚泰在第76分钟错失破门良机
79'比赛你来我往十分精彩                   76'亚泰在第76分钟错失破门良机
81'李家赫传球到弧顶外，多利没有领好，但亚泰后卫没有踢远，里卡多上来大腿停球后左脚凌空撩射破门！                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
81'看亚泰最后的反扑，刘卫东与贝奇拉耶做配合，没有传过去                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
82'中超开赛阶段虽然遭遇8连败，但毅腾并没有散，打得很团结，也打得很拼命                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
83'如果罗德瑞格、亚当休斯、里卡多和多利同时在场的话，毅腾还是有能力抢分的                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
83'毅腾换人，25号李旭东换下了20号打进首球的韩德明！                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
83'李健右路穿当过人，速度没有跟上                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
84'不过孙捷也只是简单地将球开出边线                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
84'长春亚泰也换人，16号蒋哲换下了11号拉斐尔！                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
84'毅腾右路的角球机会，刘小龙发到门前                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
84'宋振瑜双龙出海将球打出来                   81'哈尔滨毅腾在第81分钟扩大领先优势，多利在禁区前两名队员夹击下将球传给了高速前插的里卡多，后者面对亚泰门将宋振瑜一脚爆射球应声入网
84'不过孙捷也只是简单地将球开出边线                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
84'长春亚泰也换人，16号蒋哲换下了11号拉斐尔！                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
84'毅腾右路的角球机会，刘小龙发到门前                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
84'宋振瑜双龙出海将球打出来                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
85'回复：齐医天涯 对 让不让浪一会儿说 哈哈！！！壮哉我大哈尔滨！！！（祝贺热情的哈尔滨球迷）                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
86'亚泰左路做小配合，没有传进去                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
86'埃尼尼奥回中场保持球，交给蒋哲，直塞没有塞过去                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
87'亚泰后场将球控制，伊斯梅洛夫斜长传，传到了刘卫东身后出边线                   84'第84分钟，毅腾用完了最后一个换人名额，刘旭东换下了进球功臣韩德明
48'亚泰后场控制，毅腾前场逼抢还是很积极                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
48'又是埃尼尼奥中路的突破被绊倒                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
48'这是亚泰前场右路的一个任意球                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
48'埃尼尼奥直接是直接射门吗，球从横梁上方飘出                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
50'张笑飞外脚背直传，曹添堡没有停好                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
50'毅腾目前队型有点散，前后脱节的比较厉害                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
50'贝奇拉耶禁区左侧得球，强行传中，无人接应                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
50'郭纯泉将球摘下                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
50'毅腾在体能存备上还是得加强                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
51'李家赫传到中路，多利停大了，埃尼尼奥回来将球断下                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
51'埃尼尼奥分到左路，曹添堡接应横传                   48'经过3分钟的伤停补时，毅腾在哈尔滨的滂沱大雨中3-1战胜长春亚泰
