2'开场江苏舜天上压很大，阿尔滨后场防守。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
15'罗申巴克禁区弧顶头球解围失误，球往自己家门顶啊。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
16'罗申巴克右路起球，江苏艾志波断球反击。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
16'江苏快速反击，3打3.                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
16'江苏左路耶夫蒂奇断球，直接选择射门了，球高出横梁。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
17'江苏舜天达纳拉赫替补席就坐。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
17'阿尔滨于大宝远射，球没打正。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
17'赵和靖右路助攻。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
17'江苏舜天达纳拉赫替补席就坐。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
17'阿尔滨于大宝远射，球没打正。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
17'赵和靖右路助攻。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
18'赵和靖助攻，个人突破入禁区，晃过对方防守队员，直面门将，起右脚射门，球进                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
18'江苏进攻，右路周云掷出界外球。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
19'江苏舜天进攻越位，越位位置回撤拿球。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
19'晋鹏翔后场大脚传球，江苏舜天控球。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
20'舜天艾志波防守罗申巴克犯规，阿尔滨后场任意球。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
20'艾志波是江苏舜天场上队长，阿尔滨场上队长是22号于大宝。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
20'李学鹏倒钩解围，阿尔滨后场控球。                   17'大连阿尔滨在第17分钟打破场上僵局，边后卫赵和靖助攻到前场利用对方后卫解围不当之际突入禁区，面对门将冷静爆射球应声入网
21'舜天换人，12号艾志波下场，3号埃雷尔森上场。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
21'江苏20分钟就换人了，而且艾志波是场上队长被换下了。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
21'阿尔滨前场左路任意球。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
21'阿尔滨传球失误，江苏控球反击。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
22'今天江苏门将不是主力门将邓小飞，是关震。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
22'晋鹏翔左路卡位，江苏获得开场第一个角球。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
23'孙可发出角球，前点角球，江苏舜天有队员头球受伤倒地。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
23'耶夫蒂奇受伤倒地，起跳时候，腰部可能受伤了。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
24'江苏舜天将球踢还个阿尔滨，比赛继续进行。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
24'罗申巴克，瓦罗反复倒脚寻找机会。                   21'江苏舜天在先失一球后德拉甘在第21分钟进行人员调整
27'吕鹏直塞前场凯塔，凯塔中路控球，直接选择射门，球打高了。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
27'江苏左路进攻，获得前场任意球。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
28'孙可发出前场左路任意球，罗申巴克头球解围。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
28'阿尔滨快速反击，于大宝传球凯塔。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
28'凯塔得球，分球瓦罗，瓦罗得球自己快速进攻。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
29'瓦罗左路突破，晃过对方防守，自己抢先射门了，球打偏了，没有选择传球给跟上的凯塔。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
29'阿尔滨左路再次发起进攻，孙铂传球于大宝，对方防守队员抢先将球断出边线，前场左路界外球。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
30'陈雷掷出界外球，对方后卫将球解围出边线，阿尔滨还是界外球。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
30'陈雷大力掷球给瓦罗，球出底线，关震准备发门球。                   27'第27分钟，凯塔禁区弧顶得球后并没有舜天球员上前防守，凯塔果断起脚远射，高出门楣
34'晋鹏翔防守犯规，萨利希受伤倒地，江苏舜天获得前场左路任意球。                   34'第34分钟，晋鹏翔在防守舜天前锋萨利赫时手部有压人动作，吉翔的任意球直接攻门质量颇高擦球门左侧门柱出底线
34'吉翔准备发出任意球。                   34'第34分钟，晋鹏翔在防守舜天前锋萨利赫时手部有压人动作，吉翔的任意球直接攻门质量颇高擦球门左侧门柱出底线
35'吉翔任意球打的质量很高，不过稍偏。                   34'第34分钟，晋鹏翔在防守舜天前锋萨利赫时手部有压人动作，吉翔的任意球直接攻门质量颇高擦球门左侧门柱出底线
36'孙铂左路传中，瓦罗原地起跳射门，没有什么威胁。                   34'第34分钟，晋鹏翔在防守舜天前锋萨利赫时手部有压人动作，吉翔的任意球直接攻门质量颇高擦球门左侧门柱出底线
37'阿尔滨于大宝右路起球，孙铂将球控制，分球罗申巴克，罗申巴克直接远射，关震将球控制。                   34'第34分钟，晋鹏翔在防守舜天前锋萨利赫时手部有压人动作，吉翔的任意球直接攻门质量颇高擦球门左侧门柱出底线
44'埃迪尔森后场发出任意球，阿尔滨禁区吕鹏抢先解围球出底线，不然舜天就有射门机会了，角球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
44'舜天角球发出，阿尔滨后卫大脚将球解围。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
44'舜天左路进攻。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
45'舜天获得好机会啊，球中横梁弹出了，阿尔滨后防又出现致命漏洞。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
45'江苏舜天左路起球，门前耶夫蒂奇头球后蹭射门，球中横梁弹出，跟进的舜天球员无人看防，不过没有形成二次射门。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
46'上半场补时2分钟。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
46'赵和靖右路起球，江苏后卫解围，阿尔滨前场界外球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
47'于大宝右路控球，分球吕鹏，吕鹏再传凯塔，凯塔直接横传瓦罗，瓦罗一脚远射，球被对方后卫挡出底线，角球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
46'下半场阿尔滨首先开球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
46'下半场阿尔滨没有人员变动，江苏舜天换下后卫周云，换上中场球员陆博飞。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
46'陆博飞现在是江苏场上队长。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
47'场上双方队员有些争端，江苏获得任意球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
47'陆博飞发出后场任意球，阿尔滨后卫将球解围出底线，江苏获得角球。                   44'第44分钟，舜天后场的一脚长传球越过阿尔滨后卫头顶，吕鹏及时补防到位将球倒钩解围出禁区
47'于大宝右路控球，分球吕鹏，吕鹏再传凯塔，凯塔直接横传瓦罗，瓦罗一脚远射，球被对方后卫挡出底线，角球。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
48'阿尔滨陈雷一脚远射，球高出横梁。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
48'裁判鸣哨，上半场比赛结束。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
47'场上双方队员有些争端，江苏获得任意球。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
47'陆博飞发出后场任意球，阿尔滨后卫将球解围出底线，江苏获得角球。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
48'陆博飞发出角球，阿尔滨后卫解围，外围孙可远射，偏出。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
49'正如我们中场休息时候说的，江苏舜天上半场丢掉了中场，所以下半场我们看到江苏舜天换上了中场大将陆博飞，这样子，刘建业的位置可能要往后调整下。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
50'任航断球，江苏反击。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
50'江苏右路发起进攻，阿尔滨全线防守。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
50'舜天主教练德拉甘对场上球员表现不满意。                   47'伤停补时第2分钟，瓦罗禁区外的远射迫使舜天门将关震做出精彩侧扑
60'陆博飞发出前场任意球，球直接飞出底线。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
61'孙铂中路铲球被裁判出示黄牌。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
61'舜天获得任意球。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
62'江苏舜天左路控球，转移到右路，任航控球，直接射门，张翀将球得到。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
62'李学鹏后场长传，凯塔前场争抢，埃迪尔森对凯塔犯规，被裁判出示黄牌。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
63'阿尔滨获得任意球。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
63'罗申巴克发出任意球，对方门将将球打出禁区，外围孙铂再射，球被对方后卫挡出底线，角球。                   60'经过15分钟的中场休息后，两队重新投入到比赛中
47'于大宝右路控球，分球吕鹏，吕鹏再传凯塔，凯塔直接横传瓦罗，瓦罗一脚远射，球被对方后卫挡出底线，角球。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
48'阿尔滨陈雷一脚远射，球高出横梁。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
48'裁判鸣哨，上半场比赛结束。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
47'场上双方队员有些争端，江苏获得任意球。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
47'陆博飞发出后场任意球，阿尔滨后卫将球解围出底线，江苏获得角球。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
48'陆博飞发出角球，阿尔滨后卫解围，外围孙可远射，偏出。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
49'正如我们中场休息时候说的，江苏舜天上半场丢掉了中场，所以下半场我们看到江苏舜天换上了中场大将陆博飞，这样子，刘建业的位置可能要往后调整下。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
50'任航断球，江苏反击。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
50'江苏右路发起进攻，阿尔滨全线防守。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
50'舜天主教练德拉甘对场上球员表现不满意。                   47'第47分钟，舜天的角球被阿尔滨顶出禁区后，孙可不等球落地迎球怒射，球飞向角球旗
55'江苏后场长传前场，阿尔滨后防线出现漏洞了                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
56'萨利赫得球，晋鹏翔没有顶上萨利赫，萨利赫直面阿尔滨门将张翀射门，好在张翀奋力将球打出底线，精彩的扑球啊，江苏舜天角球。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
56'张翀这个门将真是优秀啊。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
57'江苏舜天现在全线压制阿尔滨，阿尔滨下半场很被动，希望张翀的精彩扑救能够让阿尔滨球员重新振作。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
57'江苏舜天左路进攻，传球失误，球出边线，阿尔滨后场界外球。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
58'赵和靖掷出后场界外球，于大宝没有控制住皮球，舜天控制球权。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
58'舜天左路进攻，萨利赫得球横传，好在阿尔滨后防球员很多，舜天没有获得射门机会。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
58'舜天右路突破，陈雷卡位很好，断球。                   55'第55分钟，江苏舜天错失势在必进的绝佳机会，萨利赫在直面阿尔滨门将张时的射门被张的单手神勇扑救挡出底线，阿尔滨的防线在本赛季先进球后时常会犯下低级错误，本场比赛后防线险些再次葬送好局
66'凯塔右路接罗申巴克传球，自己控球突破，对方防守队员有手球嫌疑，不过裁判没有判罚，江苏将球解围。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
66'李学鹏右路一路突破入禁区，只差一脚射门了，李学鹏这次真猛。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
67'于大宝前场犯规被裁判出示黄牌。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
67'江苏舜天右路进攻。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
68'边路孙可起球，阿尔滨门前，舜天两名球员抢点射门，不过都没有抢到点，错失进球良机啊。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
68'阿尔滨换人，40号于汉超上场，29号孙铂下场。于汉超终于伤愈复出了。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
69'于汉超左路得球，突破，分球凯塔，埃迪尔森断球。                   66'第66分钟，李学鹏从后场带球连续突破杀入舜天禁区，但未能获得起脚机会，为了让助攻上前的李学鹏回防到位，于大宝的战术犯规染黄
75'达纳拉赫上场，舜天要大举进攻了。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
75'李学鹏继续参与比赛。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
75'瓦罗前场进攻犯规，埃迪尔森发出后场任意球。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
76'阿尔滨换人了，16号穆伦上场，4号李学鹏下场，李学鹏不能坚持了。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
76'穆伦刚上场就给对方一个位置不错的任意球。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
77'陆博飞站在球前，这个位置在禁区稍靠前位置，威胁很大。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
77'陆博飞发出的任意球打在人墙身上弹出底线，角球。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
77'江苏舜天连续获得角球。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
77'张翀将球打出禁区。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
78'达纳拉赫突入禁区，不过江苏舜天进攻越位在先，达纳拉赫威胁还是相当大。                   75'第75分钟，江苏舜天用完了最后一个换人名额，达纳拉赫换下了错失必进球机会的萨利赫
81'赵和靖重新投入比赛。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
81'阿尔滨左路进攻，陈雷传球前场，于汉超控球，于汉超被侵犯，阿尔滨前场左路任意球。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
82'陈雷左路这几场越大越好，进可攻，退可守。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
82'罗申巴克发出任意球，埃迪尔森将球解围出底线，角球。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
82'罗申巴克发出角球，吕鹏外围一脚远射，帮助江苏舜天解围了。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
83'舜天左路进攻，传球中路，于大宝倒地铲球。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
84'于大宝铲倒了23号任航，这个动作太大了，裁判没有出示牌。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
84'舜天前场任意球，陆博飞发出。                   81'第81分钟，于汉超在前场左路为阿尔滨拼得任意球机会，罗申巴克将球罚向禁区内，埃雷尔森高高跃起将球头球顶出底线
88'于汉超被出示黄牌，耽误对方任意球发出。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
88'阿尔滨下半场几张黄牌毫无必要。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
89'舜天前场任意球，还是陆博飞来罚。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
90'凯塔边路将球解围出边线，舜天前场界外球。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
90'下半场补时4分钟。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
91'舜天中路发动进攻，晋鹏翔断球，阿尔滨得球反击。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
91'凯塔右路控球，分球于汉超，于汉超突破，于汉超摔倒。                   88'第88分钟，阿尔滨用王君换下了本场比赛刚刚伤愈的罗申巴克
49'正如我们中场休息时候说的，江苏舜天上半场丢掉了中场，所以下半场我们看到江苏舜天换上了中场大将陆博飞，这样子，刘建业的位置可能要往后调整下。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
50'任航断球，江苏反击。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
50'江苏右路发起进攻，阿尔滨全线防守。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
50'舜天主教练德拉甘对场上球员表现不满意。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
51'吉翔传球萨利希，赵和靖防守犯规，江苏舜天前场左路任意球。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
51'陆博飞准备发前场任意球。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
51'陆博飞发出的任意球被阿尔滨球员头球解围，外围刘建业一脚远射，球高出横梁。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
52'阿尔滨门将张翀大脚开球，江苏后卫头球回传门将。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
52'任航后场控球有些大意额，于大宝速度很快，前场反抢，裁判判罚进攻越位，江苏后场任意球。                   49'经过4分钟的伤停补时，大连阿尔滨最终1-0艰难战胜江苏舜天全取3分
