1'上半场比赛开始                   1'开场刚过1分钟，永昌队右路下底传中，隆东抢点攻门被挡出
29'毛剑卿禁区内拿球，面对白岳峰的防守，右脚一拨，接着起脚打门，击中左侧立柱弹回                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
30'李玮峰后场拿球，隆东放铲上抢，勾倒了李玮峰，犯规                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
30'上半场比赛30分钟，泰达客场1-0领先永昌                   27'第27分钟，冯绍顺右路下底连停带过过掉王新欣后低传门前，可惜穆伦加跟进稍慢半拍
33'冯绍顺右路拿球，直塞给到隆东                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
33'隆东一扣，摆脱防守，倒三角回传中路                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
33'乔罗跟进，无人防守下的推射打门，被挡出                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
34'禁区内混战，毛剑卿再打，又被杜佳扑出                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
34'隆东禁区内再抢，被吹犯规啦                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
34'乔罗这次的射门太温柔，没有防守球员，发力劲射多好啊                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
36'永昌前场再攻，毛剑卿禁区外再次远射，被门将拿到                   33'(）第33分钟，冯绍顺右路拿球强突后过顶长传找隆东，隆东一扣摆脱防守倒三角回传中路，乔罗跟进无人防守下的射门被挡出
42'维尔玛右边路争抢，在拿不到球权、死球的情况下，身后踢翻了冯绍顺                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
42'维尔玛被主裁判出示了黄牌警告！！！                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
43'巴尔克斯回撤拿球，回敲左侧给普拉里甘吉                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
43'普拉里甘吉再给巴尔克斯，巴尔克斯的转移球被断                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
44'永昌的反击，乔罗中路拿球，强突，被普拉里甘吉身后绊倒在地                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
44'泰达中场抢断，维尔玛拿球进攻，一扣摆脱冯绍顺                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
44'许博补防，伸脚绊倒了维尔玛，犯规                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
45'维尔玛受伤倒地，队医进场处理                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
45'上半场比赛补时2分钟                   42'第42分钟维尔玛踢翻冯绍顺被黄牌警告
49'巴尔克斯右路背身拿球，脚后跟给到白岳峰                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
49'白岳峰再横传给烈鸟，烈鸟拿球，稍作调整，推给远端的维尔玛                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
49'维尔玛停球回敲，跟进的赵宏略起脚打门，踢飞                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
50'毛剑卿前场胸部停球，再挑球过人，被吹手球                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
50'裁判鸣哨后，毛剑卿对判罚不满，抗议了两句                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
50'毛剑卿被主裁判出示了黄牌警告！！！                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
51'一球领先后，面对永昌的强攻，泰达基本全线退守，铁桶阵啦                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
52'隆东前场拿球，直塞打身后想找乔罗                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
52'吕伟上前一步，将球大脚解围                   49'第49分钟，泰达前场打出流畅配合，维尔玛接安德烈齐尼奥的传球做出好球，赵宏略跟进抽射打高
57'永昌获得禁区外的任意球机会，位置很不错哦                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
57'进球啦！！！                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
57'乔罗，任意球直接攻门，越过人墙，钻进网窝！！！                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
58'这是乔罗本赛季个人的第二个进球                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
59'隆东前场背身拿球，遭遇三人围抢，转身横切，球丢啦                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
60'烈鸟抢断反击，斜传球找前场的维尔玛，被后卫头球顶回                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
60'巴尔克斯右侧背身拿球，转身抽射打近角，被王国明拿到                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
60'永昌再进一个！！！                   57'石家庄永昌在第57分钟扳平比分――乔罗主罚禁区左侧任意球，右脚划出一道美妙弧线，皮球绕过人墙后奔向近角，杜佳扑了一下但仍难以阻挡皮球进球的趋势，1-1
50'毛剑卿前场胸部停球，再挑球过人，被吹手球                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
50'裁判鸣哨后，毛剑卿对判罚不满，抗议了两句                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
50'毛剑卿被主裁判出示了黄牌警告！！！                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
51'一球领先后，面对永昌的强攻，泰达基本全线退守，铁桶阵啦                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
52'隆东前场拿球，直塞打身后想找乔罗                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
52'吕伟上前一步，将球大脚解围                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
53'维尔玛前场中路拿球，趟了两步，禁区弧顶直接起脚，打偏                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
53'穆伦加前场接到冯绍顺的直塞                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
53'穆伦加趟球下底，球没控制好，被吕伟卡在身前将球控制                   50'5分钟后赵荣亨铲倒带球反击的维尔玛吃到黄牌
74'泰达的进攻，维尔玛摔倒在禁区，裁判给了点球                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
74'维尔玛带球进入禁区，在出击的王国明之前，将球一捅，自己被扑倒在地，点球无疑问                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
75'烈鸟主罚点球，一蹴而就！！！                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
75'烈鸟中场拿球，分边给到巴尔克斯                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
76'巴尔克斯直塞再找前插的烈鸟，烈鸟下底传中，赢得角球                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
76'烈鸟角球开出到后点，李玮峰头球攻门，被王国明在门线上挡出                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
77'永昌左路的直塞球找黄凤涛                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
77'黄凤涛球没停好，停在了脚后跟上，球出了边线                   74'第74分钟，维尔玛带球进入禁区，在出击的王国明之前将球一捅，自己被扑倒在地，点球无疑问
80'烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射，打进！！！                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
81'周海滨右路拿球，斜塞给到巴尔克斯                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
81'巴尔克斯停球，转身横切，斜传打身后                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
82'王国明出击，抢在上来冲顶的泰达球员之前，双拳将球打出                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
83'泰达中场抢断，直塞给到维尔玛                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
83'维尔玛面对两名防守球员，人缝中强突                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
83'接着带球进入禁区，面对出击的王国明，将球一捅，再次摔倒在禁区                   80'比赛充满戏剧性，泰达在第80分钟扳平比分――烈鸟角球开出到禁区，混战中球落在了巴尔克斯脚下，巴尔克斯停球直接右脚抽射入网，3-3
85'4-3！！！                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
85'李超，打进个人在中超赛场的第一个进球！！！                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
86'永昌的进攻赢得右侧角球，开出到前点，李超无人防守，甩头攻门，球弹地后滚进球门！！！                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
87'泰达后场抢断，周海滨送出过顶找巴尔克斯                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
87'胡伟在和巴尔克斯争抢中将球控制住                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
88'穆伦加右路拿球，转身摆脱赵宏略时被吹拉人犯规                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
88'下半场比赛进入尾声，比分4-3，永昌领先                   85'第85分钟，永昌的进攻赢得右侧角球，角球开出到前点，李超无人防守，他一记大力甩头攻门，球弹地后滚进球门，4-3
