1'上半场比赛开始！                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
61'水晶宫任意球送禁区内，利物浦头球解围出来，禁区外围，博拉西耶带球突到禁区里，传球的时候被挡了一下，后点扎哈还是将球推进了空门！                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
61'慢镜头来看，博拉西耶传球的瞬间，水晶宫这边似乎有越位的嫌疑                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
62'此时此刻值得来杯嘉士伯                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
62'看看利物浦接下来怎么调整                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
62'利物浦今天并没有什么很好的机会                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
63'镜头也是对准了杰拉德                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
63'水晶宫前场左路获得任意球                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
63'任意球送禁区内，利物浦头球顶出来                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
63'扎哈和亨德森这边有些冲突                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
63'裁判也是把两人叫了过来                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
91'扎哈拿球被卢卡斯放倒                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
91'这球犯规是在禁区外，但摔倒在禁区里                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
91'格伦-穆雷来主罚点球                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
91'格伦-穆雷打左路被门将扑了出来！！                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
91'格伦-穆雷跟进再补将球打进！                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
92'3-1了                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
92'此时此刻值得来杯嘉士伯                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
92'下半场补时4分钟！                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
93'比赛的胜负已经定了                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
93'利物浦这边获得角球机会                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
94'角球送前点被顶了出来                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
94'现场也是把掌声给了杰拉德                   91'兰伯特和卢卡斯替补出场，第91分钟，扎哈禁区左侧边缘外突破卢卡斯摔倒，莫斯裁判争议点球，穆雷主罚被米尼奥莱扑挡后补射入网，3-1
