7'米兰星玄月03:53 真心觉得教练问题，，米兰有球员有实力，，，可是就是不出成绩！---囧叔也挺难的                   7'开场7分钟，长友佑都左路回敲，帕拉西奥在门前27米处抽射被阿比亚蒂得到
12'吹了巴洛特利对汉达诺维奇的犯规                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
13'瓜林拉倒了博内拉~                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
13'裁判口头警告了一下                   10'第10分钟，德希利奥右路传中，坎比亚索未能破坏，巴神中路距门11米处侧身凌空勾射高出横梁
46'泰德定位球传中~坎比亚索头球一甩！差了一点！                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
46'球擦着远端立柱飞出底线                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
46'下半场比赛开始了~~~                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
46'埃玛纽尔森换的是谁呢？                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
46'镜头还没有交代                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
46'帕拉西奥禁区线上胸部停球~转身一敲                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
47'霍纳桑的小角度打门被阿比亚蒂接住                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
47'看起来是换下了康斯坦特                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
48'瓜林被卡卡绊倒~国米的前场定位球                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
49'国米转移到了右路~坎帕尼亚罗制造了一个角球                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
49'坎比亚索角球传向前点~博内拉给顶到了                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
49'萨内蒂把球抢了回来                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
49'帕拉西奥的突破赢得了一个角球                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
49'战术角球~                   46'1分钟后，巴洛特利传球，卡卡突入禁区左侧距门14米处左脚斜射造成汉达诺维奇脱手，巴神跟进准备补射，但被坎比亚索破坏出底线
24'波利跟坎比亚索起了口角                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
24'裁判过来拉开了他们                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
24'火药味又来了啊                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
24'泰德~传中到后点！                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
24'球弹地之后被长友佑都顶到~~~这球更像是解围                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
25'球速太快，而且弹地之后头球的难度也很高                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
25'坎比亚索的犯规给到米兰一个位置不错的定位球                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
25'他在身后踢倒了巴洛特利                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
25'正对球门方向的定位球                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
26'巴洛特利定位球直接打门~人墙挡了出来                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
26'国米的反击~~萨帕塔犯规了                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
26'裁判掏出了一张黄牌                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
26'给了之前犯规的德西利奥                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
26'                    24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
27'神灯普照斯坦福桥04:10 米兰德比怎么没有几个人看啊！---意甲这几年人才流失严重，影响力下降得太厉害                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
27'长友佑都边路内切~~一脚将球踢高！                   24'第24分钟，泰德尔右路传中，长友佑都后点头球高出
28'场边看到了菲戈的身影                   28'第28分钟，长友佑都左路远射高出
28'今天不少的足坛前辈都来到现场观战                   28'第28分钟，长友佑都左路远射高出
28'卡卡为米兰制造了一个角球                   28'第28分钟，长友佑都左路远射高出
29'卡卡自己来处理                   28'第28分钟，长友佑都左路远射高出
29'卡卡传向中路，巴洛特利想倒勾没打上~                   28'第28分钟，长友佑都左路远射高出
30'一场混战~~~球弹到了波利脚下！好机会！                   28'第28分钟，长友佑都左路远射高出
30'面对一个空门~~~波利一脚将球踢飞                   28'第28分钟，长友佑都左路远射高出
30'后卫脚法啊~                   28'第28分钟，长友佑都左路远射高出
30'米兰错过了目前为止最好的机会                   28'第28分钟，长友佑都左路远射高出
30'米兰后场断球反击                   28'第28分钟，长友佑都左路远射高出
31'国米疯狂的逼抢迫使米兰传球失误                   28'第28分钟，长友佑都左路远射高出
31'弱羽冲风04:17 18年国际球迷还在看---赞~                   28'第28分钟，长友佑都左路远射高出
31'夏超cxc04:16 柠檬怎么来解说米兰德比啦~---因为西超不播啦                   28'第28分钟，长友佑都左路远射高出
40'而是铲倒了禁区内想背身拿球的帕拉西奥                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
40'萨帕塔应该是先铲到了帕拉西奥的左腿                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
41'瓜林连续的犯规                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
41'康斯坦特貌似受伤了                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
41'裁判暂时中断比赛                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
41'队医进场了                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
43'霍纳桑也倒地受伤                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
43'蒙塔里被他放倒之后一屁股坐在了霍纳桑的腿上                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
43'比赛又一次被中断                   40'第40分钟出现争议，瓜林右路低传，帕拉西奥被身后防守的萨帕塔顶倒，但主裁判马佐莱尼示意比赛继续
47'霍纳桑的小角度打门被阿比亚蒂接住                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
47'看起来是换下了康斯坦特                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
48'瓜林被卡卡绊倒~国米的前场定位球                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
49'国米转移到了右路~坎帕尼亚罗制造了一个角球                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
49'坎比亚索角球传向前点~博内拉给顶到了                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
49'萨内蒂把球抢了回来                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
49'帕拉西奥的突破赢得了一个角球                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
49'战术角球~                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
50'国米边路传中~帕拉西奥头球攻门！顶在了萨帕塔的身上                   47'第47分钟，若纳坦右侧小角度低射被阿比亚蒂没收
53'门前的补射~可惜队友跟进慢了半拍                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
53'国米这段时间有些被动                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
54'巴洛特利背身接应被吹了越位                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
54'皇马7C05:01 那張图的教练是谁啊？比马竞的教练还搞笑，不逊于刘德华他舅（哈哈大笑）---国米教练马扎里                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
55'米兰粑粑04:58 柠檬！ 你觉得在国内米兰和国米那边的球迷多些！---我身边的朋友国米的球迷更多一些                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
55'米兰左边路传中~巴洛特利外教一撩！球擦着立柱飞出底线                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
55'这球是碰到了后卫脚上，角球                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
55'米兰的角球传中~巴洛特利被断球了                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
56'国米也要换人                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
56'10号科瓦西奇换下了21号泰德                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
56'至善儒帅05:04 萨波纳拉表现如何？看起来紧张吗？---不紧张，因为很少能够看到他，还以为他消失了呢                   53'第53分钟，巴洛特利突入禁区左侧，在门前10米处小角度射门被汉达诺维奇封出
62'皇马7C05:08 去切尔西---切尔西...应该不会买他吧                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
62'至善儒帅05:08 感觉瓜林比较适合英超，利物浦，热刺都应该是不错的选择---热刺就别去了                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'卡卡边路传中~~~巴洛特利头球回敲！                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'坎帕尼亚罗跟上一脚打门~~~~                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'这球解围呢还是打门呢？                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'惊出了汉达诺维奇一身的冷汗                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'米兰的角球~还是罚得没什么威胁                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
63'CR7----05:08 柠檬吧神状态怎么样---巴神今天状态还行，可惜就是队友给他创造的机会太少                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
65'国米推进到禁区前沿                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
65'长友佑都一次边路的内切打门~~~阿比亚蒂将球没收                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
65'巴洛特利护球转身~~被放倒了                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
65'胡安也领到了黄牌                   62'第62分钟，德希利奥长传，巴洛特利在门前13米处停球转身没打上力量，汉达诺维奇将球没收
66'米兰的边路定位球                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
66'传向中路~巴洛特利又被吹了犯规                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
66'不过这次外脚背的凌空打门很是漂亮                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
66'国米再次换人                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
66'库兹曼诺维奇换下了萨内蒂                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
68'坎比亚索长传反击~                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
68'长友佑都下底制造了一个角球                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
68'库兹曼诺维奇~~禁区角上一脚搓射！                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
68'球又高又偏                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
69'罗兰多防守时手球犯规                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
69'裁判给了他一张黄牌                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
69'这下两队都各自领到了3张黄牌                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
69'定位球机会，巴洛特利亲自来操刀                   66'第66分钟，萨内蒂分球，长友佑都左侧内切距门17米处低射被阿比亚蒂得到
82'加上补时时间比赛也都还只剩下不到10分钟了                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
82'米兰有了反击机会                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
83'巴洛特利想扣过胡安~自己摔倒了                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
83'有了~~~                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
83'帕拉西奥！！！                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
83'Gooooooooooooooooal~~~~                   81'第81分钟，长友佑都左路低传，帕拉西奥点球点护球转身低射被 扑出
86'米兰大举压上后防有些空虚了                   86'国米第86分钟打破僵局
86'在后场只留下了3名球员                   86'国米第86分钟打破僵局
86'场上又有球员受伤                   86'国米第86分钟打破僵局
86'库兹马诺维奇，下半场被换上来的球员                   86'国米第86分钟打破僵局
87'比赛快要进入伤停补时了                   86'国米第86分钟打破僵局
88'米兰后场断球，长传~                   86'国米第86分钟打破僵局
88'找马特里，球被后卫顶回了中场                   86'国米第86分钟打破僵局
88'霍纳桑的传中制造了角球                   86'国米第86分钟打破僵局
88'下半场补时4分钟                   86'国米第86分钟打破僵局
89'国米又制造了机会~                   86'国米第86分钟打破僵局
89'帕拉西奥的左脚打门~~~高出了横梁                   86'国米第86分钟打破僵局
47'霍纳桑的小角度打门被阿比亚蒂接住                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
47'看起来是换下了康斯坦特                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
48'瓜林被卡卡绊倒~国米的前场定位球                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
49'国米转移到了右路~坎帕尼亚罗制造了一个角球                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
49'坎比亚索角球传向前点~博内拉给顶到了                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
49'萨内蒂把球抢了回来                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
49'帕拉西奥的突破赢得了一个角球                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
49'战术角球~                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
50'国米边路传中~帕拉西奥头球攻门！顶在了萨帕塔的身上                   47'补时第2分钟，帕拉西奥在门前20米处左脚抽射高出
