5'天使的避风港：央视为什么不直播呢？？？[回复]放鸽子了，在回顾丁俊晖的比赛过程！                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
47'界外球发出来，斜传禁区，对方破坏出来                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
48'上海申花队再转移到右路，吕征带球突破到禁区，起脚打门，顾超扑出底线，角球                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
48'上半场比赛结束，上海申花队凭借莫雷诺的进球，1-0领先杭州绿城队！                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
48'上海申花队再转移到右路，吕征带球突破到禁区，起脚打门，顾超扑出底线，角球                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
49'王赟主罚角球打前点，后卫破坏出来，莫雷诺再抢球时犯规了                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
49'杭州绿城队任意球大脚开往前场，苏祖在争抢高球时成陈柏良撞在一起                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
50'苏祖受伤倒在地上                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
50'担架将苏祖抬到场边                   48'第48分钟陈柏良和苏祖争顶时撞翻后者，苏祖躺在地上久久未能起身，看上去脖子出了问题，担架队将他抬出，短暂治疗后重归赛场
52'杭州绿城队中场抢断，右路突破，李建滨挡出边线                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
52'杭州绿城队前场抢断，曹轩遭拦截                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
53'上海申花队得球快速反反击，吕征左路突破传到后点                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
53'莫雷诺再送中路，高迪抢点倒地铲射，顾超得到                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
54'杭州绿城队后场控球，中路推近，阿甘突破没能成功                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
54'上海申花队掷出界外球，转移到右路进攻                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
55'卡希尔传球被挡出，上海申花队继续控球，吕征漂亮的过人。横传球被挡出底线，角球！                   52'第52分钟吕征从右路带到左路后传中，卡希尔禁区外接球后传中，禁区内高迪倒地卧射太正
59'上海申花队后场长传，莫雷诺拿球被对方断下                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
59'安塔尔抢球犯规                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
59'上海申花队前场左侧的任意球                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
60'王赟主罚任意球开到禁区后点，后卫头球顶出底线，角球                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
61'王赟主罚角球开到中路，布拉比在争抢时有犯规动作                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
62'点球！裁判给了点球！！                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
62'布拉比与对裁判的判罚不满吃到黄牌警告                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
62'王林也被主裁判出示黄牌警告                   59'第59分钟王S角球开出，布拉比和卡希尔同时高高跃起，在卡希尔逼迫下，布拉比用手把球打出，黄牌加点球
63'卡希尔站在球前                   63'第63分钟，卡希尔和布拉比发生肢体冲突，卡希尔拉倒布拉比，布拉比倒下时踩在卡希尔肚子上
63'卡希尔主罚点球命中，但裁判示意进球无效，重罚！                   63'第63分钟，卡希尔和布拉比发生肢体冲突，卡希尔拉倒布拉比，布拉比倒下时踩在卡希尔肚子上
64'卡希尔主罚点球骗过门将送入网内！！                   63'第63分钟，卡希尔和布拉比发生肢体冲突，卡希尔拉倒布拉比，布拉比倒下时踩在卡希尔肚子上
66'杭州绿城队后场断球，陈中流带球摔倒在地，双方抢在一起，卡希尔踩踏犯规                   63'第63分钟，卡希尔和布拉比发生肢体冲突，卡希尔拉倒布拉比，布拉比倒下时踩在卡希尔肚子上
66'杭州绿城队后场断球，陈中流带球摔倒在地，双方抢在一起，卡希尔踩踏犯规                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
67'被主裁判出示黄牌警告                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
67'杭州绿城进攻没能打成，上海申花队断球反击                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
67'上海申花队从右路组织                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
67'黄希杨上场换下陈中流                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
68'努阿提上场换下陈柏良                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
68'杭州绿城队左路突破，阿甘带球突破到底线附近                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
69'倒三角的传球，上海申花队后卫破坏出边线                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
69'王林掷出前场界外球，传到禁区，对方破坏出底线，角球                   66'第66分钟黄希扬换下陈中流，努阿提换下陈柏良
75'上海申花队左路攻到前场，对方把球破坏出边线                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
76'界外球发出来，杭州绿城队断球，对方抢球犯规                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
76'杭州绿城队快速发出任意球，传到中场，上海申花队断球反击                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
76'上海申花队左路横传，吕征一脚劲射，被顾超把球破坏出底线                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
78'中场绿城队断球中路反击，对方把球抢断下来                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
78'罗竞中路突破对方犯规，任意球机会                   75'第75分钟下半场表现活跃的吕征外围远射，顾超飞身把球扑出底线
84'主裁判给莫雷诺出示了黄牌，同时给黄希扬出示了黄牌！                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
84'各打五十大板！                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
84'王赟也因此吃到了黄牌！                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
85'上海申花队换 ：4号帕帕多普洛斯上场换下10号莫雷诺                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
85'杭州绿城队外围远射，偏出！                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
87'布拉比跳起来争顶犯规，膝盖顶的动作很危险                   84'第84分钟，申花用帕帕换下莫雷诺，队长袖标戴在王S肩上
89'上海申花队换人：5号王寿挺上场换下12号保罗·恩里克                   88'第88分钟王寿挺换下恩里克
90'耿晓峰长传球到前场，力量也太大啦，球出底线                   88'第88分钟王寿挺换下恩里克
90'顾超长球到中场，上海申花队断球反击                   88'第88分钟王寿挺换下恩里克
90'下半场比赛居然要补时 6 分钟                   88'第88分钟王寿挺换下恩里克
91'布拉比后场得球，上海申花队上抢！！好悬！                   88'第88分钟王寿挺换下恩里克
91'界外球发出来，上海申花队在前场配合失误                   88'第88分钟王寿挺换下恩里克
94'杭州绿城队攻到前场，对方犯规！任意球机会                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
94'任意球发到禁区内后点，对方把球破坏出边线                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
95'界外球发出来，杭州绿城队右路横传，对方破坏                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
95'杭州绿城队在前场得球右路横传，布拉比头球偏出！                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
96'上海申花队左路传球，对方把球破坏出边线                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
96'阿甘右路攻到前场，李建滨把球破坏出边线                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
97'阿甘外线一脚远射，偏出                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
97'全场比赛结束，最终上海申花队2-0战胜杭州绿城队！                   94'第94分钟黄希扬右路传中，布拉比头球稍稍顶偏
