4'暂时维戈塞尔塔需要10人应战                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'阿尔巴传给保利尼奥，以右面的罗贝托                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'回传给皮克                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
20'巴塞罗那不断在中场倒                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
20'维戈塞尔塔断球                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
20'反击很犀利，阿斯帕斯先开纪录！！！                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
20'看一下进球过程                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
21'瓦斯右面直传，阿斯帕斯反越位成功插到禁区内横传，M戈麦斯推射，被特尔施特根用脚挡到半空，阿斯帕斯跟进铲射空门球进！                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
22'急风骤雨般的一个进球                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
22'巴塞罗那遇到难题了                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
22'梅西马上有回应                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
23'马上就扳平了！                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
23'巴塞罗那几人的传球，伊涅斯塔交给苏亚雷斯，苏亚雷斯再横拔给保利尼奥                   20'塞尔塔第20分钟取得领先，皮克拖后令造越位失败，阿斯帕斯突入禁区右侧横传，马克西-戈麦斯小禁区前扫射被特尔施特根用腿勉强挡出，阿斯帕斯近距离垫射空门入网
25'回复：阿波牛97 20:24 举报回复 西甲没看，只看暴力鸟（参与进球了）                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
25'继续看比赛                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
25'丰塔斯长传上来，乌姆蒂蒂将球留下                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
26'梅西直传，苏亚雷斯插上得球将球打入网内，不过被判越位                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
26'伊涅斯塔交给保利尼奥，再交给布斯克茨                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
26'分给罗贝托                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
26'回传给梅西，梅西起球了                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
26'布兰科将球摘下                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'瓦斯右面拿球，回传一下                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'不断的控球，回传给丰塔斯                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'转移给了马略                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'不断传球                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'长传上来，被拦截了                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
27'布斯克茨中路的分边，拉基蒂奇右侧横扫门前，可惜苏亚雷斯来迟半步                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
28'接应的阿斯帕斯被布斯克茨拉倒                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
28'刚才苏亚雷斯越位进球，看慢镜后可以清晰看到，洛博特卡落在最后                   25'第25分钟，梅西直传，苏亚雷斯单刀破门因越位被判无效，但回放显示这次判罚具有争议
62'巴塞罗那后场控球                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
62'阿斯帕斯推倒了布斯克茨                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
62'长传前场右路                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
62'拉基蒂奇拿球                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
63'保利尼奥斜塞左侧，阿尔巴插上横传，苏亚雷斯推射破网！                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
63'慢镜来看，西斯托拖在后面                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
63'苏亚雷斯打进了赛季第6个联赛进球                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
64'拉基蒂奇前场断球，斜塞到禁区内                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
64'保利尼奥前插，布兰科出击与保利尼奥对一下脚                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
65'刚才维戈塞尔塔有换人，24号隆卡利亚换下了26号门德斯                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
65'罗贝托长传，被丰塔斯断下                   62'巴萨第62分钟反超比分，梅西直传，阿尔巴禁区左侧传中，苏亚雷斯小禁区边缘推射破门，2-1
70'维戈塞尔塔扳平了！                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
70'M戈麦斯的进球！                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
71'马略直传，阿斯帕斯右面接应加速，乌姆蒂蒂突破停下了脚步，阿斯帕斯高速突到右肋部倒三角传中，M戈麦斯大力推射球进！                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
71'乌姆蒂蒂是拉伤了大腿                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
72'巴塞罗那用维尔马伦换下了乌姆蒂蒂                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
72'25号维尔马伦                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
73'马略左路拿球，西斯托接应                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
73'横传被断了                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
73'苏亚雷斯接应交给阿尔巴                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
73'再交给梅西，分边，苏亚雷斯传中太大了                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
73'拉基蒂奇右侧传中被西斯托挡一下                   70'塞尔塔第70分钟扳平，阿斯帕斯切入禁区右侧底线附近回传，马克西-戈麦斯8码处劲射入网，2-2
75'苏亚雷斯人球分过，隆多利亚阻挡犯规                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
75'隆多利亚吃到黄牌                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
75'拉基蒂奇准备主罚                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
75'快发，拉基蒂奇直传到禁区                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
76'皮克斜插上来得球盘过了布兰科打门，击中了边网                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
76'戈麦斯 远射，打飞了                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
77'中场瓦斯开大脚，丹尼斯-苏亚雷斯蹬踏犯规                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
77'维尔马伦交给阿尔巴                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
78'回复：胡二五八条 21:38 举报回复 梅西，神 该你再出手啦（梅老板听到呼唤吗？）                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
78'阿尔巴左路上来交给布斯克茨                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
78'短传，保利尼奥交给皮克                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
78'过顶长传，布兰科出击失误                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
78'不过苏亚雷斯头球没有顶向球门                   75'巴萨第75分钟再次浪费机会，梅西直传，皮克闪过门将后小禁区右侧射空门击中近角立柱外侧弹出
85'继续比赛                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
85'丹尼斯苏亚雷斯断球交给布斯克茨                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
85'分右侧的苏亚雷斯，传中不好被洛博特卡破坏                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
86'左路的阿尔巴长传，苏亚雷斯停球回做                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
86'丹尼斯-苏亚雷斯劲射被后卫倒地挡了一下                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
86'球到小禁区线上，梅西头球攻门，居然偏出                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'门将布兰科被认为拖延时间吃到黄牌                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'西斯托左路远射，被特尔施特根扑出                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'巴塞罗那反击                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'苏亚雷斯带球，出球慢了，瓦斯回追背后强行推倒了对方                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87' 推倒的是丹尼斯-苏亚雷斯                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'瓦斯的黄牌是逃不掉了                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
87'巴塞罗那左侧的任意球                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
88'梅老板传中，丰塔斯顶下来                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
88'马略带球上来，直传过不了罗贝托                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
88'球出边线                   85'第85分钟，苏亚雷斯回传，丹尼斯禁区边缘射门被挡，梅西近距离头球攻门擦右侧立柱偏出
