4'罗皓分球给唐家庶                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
11'分左侧                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
11'倒到中路                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
46'罗皓长传上来，被石柯顶一下                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'刘宇放长传右侧的费尔南多                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'斜传，这边没有重庆的球员                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'王燊超往前送，被费尔南迪尼奥破坏出边线                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'下半场由重庆斯威中圈开球                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'刘宇长传上来                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
46'崔永哲交给费尔南多，陈彬彬拦截                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'于海左路长传，给大了，球直接飞出底线                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'杨柯带球回传                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'费尔南多横传，卡尔德克接应再分给崔永哲                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'突进被于海绊倒                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'重庆斯威右路的任意球机会                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
48'费尔南迪尼奥传中，石柯头球解围                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
48'彭欣力弧顶直接左脚打凌空，可惜擦着横梁上檐出底线                   45'第45分钟费尔南迪尼奥开出左路角球，卡尔德克跃起头球顶偏
47'于海左路长传，给大了，球直接飞出底线                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
47'杨柯带球回传                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
47'费尔南多横传，卡尔德克接应再分给崔永哲                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
47'突进被于海绊倒                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
47'重庆斯威右路的任意球机会                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
48'费尔南迪尼奥传中，石柯头球解围                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
48'彭欣力弧顶直接左脚打凌空，可惜擦着横梁上檐出底线                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
49'费尔南多背身接应，回传，崔永哲放长传                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
50'给大了                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
50'费尔南迪尼奥发角球，石柯头球解围                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
50'崔永哲跟进远射，打嗤了                   47'第47分钟费尔南迪尼奥右路任意球开入禁区，于海头球解围到禁区外，彭欣力侧身凌空弹射，皮球打在横梁上弹出
60'奥斯卡推倒了费尔南多                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
60'重庆斯威右路靠近角球区的任意球机会                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
60'重庆斯威先开纪录！                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
60'杨柯的进球！                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
61'费尔南迪尼奥低平球传前点，杨柯背对球门脚后跟一磕，球飞入大网                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
61'这个进球有点诡异                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
58'杨柯拉于海犯规                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
58'主裁判黄牌警告杨柯                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
59'胡尔克变向被费尔南多绊倒                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
59'上港获得左肋部的任意球机会                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
59'上港换人，11号吕文君换下了37号陈彬彬                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
60'来一个小战术，胡尔克假装要换位置，突然脚后跟一磕，奥斯卡得球旋后点                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
60'可惜高了一点出底线                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
61'王燊超右路下底传中，打在刘乐身上出底线                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
61'胡尔克发角球，唐家庶顶到第一点                   58'第58分钟胡尔克转到左路突破，费尔南多犯规，上港获得偏角度的任意球机会，此时吕文君换下陈彬彬
64'质量还不错，隋维杰撤步将球托出横梁                   64'第64分钟杨柯禁区外远射打高
65'战术角球，于海的传中                   64'第64分钟杨柯禁区外远射打高
65'是奥斯卡的传中，到后点，陈彬彬左脚打门收获一个角球                   64'第64分钟杨柯禁区外远射打高
65'继续战术角球，胡尔克得球，内切传中，罗皓头球解围                   64'第64分钟杨柯禁区外远射打高
66'胡尔克 控球，分给艾哈迈多夫                   64'第64分钟杨柯禁区外远射打高
66'被断了，唐家庶直传到中场                   64'第64分钟杨柯禁区外远射打高
66'贺惯对费尔南多犯规                   64'第64分钟杨柯禁区外远射打高
67'回复：无情007_51152 15:17 举报回复 爆冷的节奏啊。。。（领先后丢球太快，否则会有机会）                   64'第64分钟杨柯禁区外远射打高
67'胡尔克拿球，身体护球，唐家庶踢人犯规                   64'第64分钟杨柯禁区外远射打高
67'主裁判黄牌警告唐家庶                   64'第64分钟杨柯禁区外远射打高
64'被彭欣力断下                   64'第64分钟杨柯禁区外远射打高
64'传禁区，于海率先头球解围                   64'第64分钟杨柯禁区外远射打高
65'崔永哲控球交给罗皓                   64'第64分钟杨柯禁区外远射打高
67'奥斯卡回传                   64'第64分钟杨柯禁区外远射打高
73'上港左路的任意球机会                   71'第71分钟重庆用冯劲换下杨柯
73'奥斯卡斜传前点，于海甩头攻门，球弹地后入网！                   71'第71分钟重庆用冯劲换下杨柯
73'上港2：1重庆斯威                   71'第71分钟重庆用冯劲换下杨柯
74'崔永哲长传左肋部，费尔南迪尼奥插上倒三角传中，被贺惯拦截出底线                   71'第71分钟重庆用冯劲换下杨柯
74'重庆斯威左路的角球机会                   71'第71分钟重庆用冯劲换下杨柯
72'重庆斯威换人                   71'第71分钟重庆用冯劲换下杨柯
73'7号冯劲换下了29号杨柯                   71'第71分钟重庆用冯劲换下杨柯
73'吕文君左路的传中，武磊被刘宇挡在身后                   71'第71分钟重庆用冯劲换下杨柯
74'奥斯卡分边左侧，崔永哲卡住身位解围                   71'第71分钟重庆用冯劲换下杨柯
77'卡尔德克回到中场接应，于海的犯规                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
80'唐家庶转移到右路                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
77'刘乐的斜长传到禁区，颜骏凌将球摘下                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
77'颜骏凌长传上来                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
77'罗皓顶给冯劲，一挑，被断了                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
79'费尔南多右路加速连续过两关                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
79'倒三角回传，冯劲远射，球擦着左边立柱出底线                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
80'奥斯卡掷界外球                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
80'奥斯卡得球横带炮弹远射，隋维杰接球还是很稳的                   77'第77分钟费尔南多祭出速度法宝，他靠速度连吃于海和胡尔克后下底传中，冯劲中路射门稍稍偏出
80'唐家庶转移到右路                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
80'奥斯卡掷界外球                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
80'奥斯卡得球横带炮弹远射，隋维杰接球还是很稳的                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
81'斯威左路的任意球                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
81'费尔南迪尼奥吊到禁区，唐家庶远距离头球攻门，顶偏了                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
83'费尔南多得球一顺，费尔南迪尼奥左肋部下底传中                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
83'到后点，卡尔德克头球攻门，没有顶上力量                   80'第80分钟奥斯卡接胡尔克送球，从左路切到中路后怒射，隋维杰两扑两下把球死死抱住
85'石柯的长传到禁区，胡尔克胸部停球后脚面一挑                   82'第82分钟卡尔德克和冯劲配合，最后冯劲推射入门，但最后裁判判罚卡尔德克接球时越位，不过慢镜显示可能是误判
85'再打门，球稍稍高出横梁                   82'第82分钟卡尔德克和冯劲配合，最后冯劲推射入门，但最后裁判判罚卡尔德克接球时越位，不过慢镜显示可能是误判
83'费尔南多得球一顺，费尔南迪尼奥左肋部下底传中                   82'第82分钟卡尔德克和冯劲配合，最后冯劲推射入门，但最后裁判判罚卡尔德克接球时越位，不过慢镜显示可能是误判
83'到后点，卡尔德克头球攻门，没有顶上力量                   82'第82分钟卡尔德克和冯劲配合，最后冯劲推射入门，但最后裁判判罚卡尔德克接球时越位，不过慢镜显示可能是误判
84'重庆斯威的戟，冯劲硬突，突进了禁区。卡尔德克接应脚后跟传球，冯劲将球推进空门！但边裁认为卡尔德克接应时已经越位                   82'第82分钟卡尔德克和冯劲配合，最后冯劲推射入门，但最后裁判判罚卡尔德克接球时越位，不过慢镜显示可能是误判
85'石柯的长传到禁区，胡尔克胸部停球后脚面一挑                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
85'再打门，球稍稍高出横梁                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
86'上港左路的角球机会                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
86'战术角球                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
87'胡尔克传中，武磊垫射，打偏了                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
87'重庆中场控球                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
88'到了后场倒脚                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
88'刘宇放长传                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
88'被蔡慧康断球解围                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
88'艾哈迈多夫背后踢了费尔南迪尼奥一脚                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
88'主裁判直接红牌罚下艾哈迈多夫                   85'第85分钟重庆连换两人，曹栋换崔永哲，尹聪耀换刘乐
89'奥斯卡传中，胡尔克头球攻门，隋维杰倒地将球挡住                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
90'重庆要到一个角球                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
91'上半场补时1分钟                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
91'上半场比赛结束！                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
89'重庆斯威换人，13号尹聪耀换下了20号刘乐                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
90'上港反击                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
90'胡尔克距离球门三米左脚推射居然打偏了                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
90'准确来说是打嗤了                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
90'上港换人                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
91'上港连换两人，孙峻换下了吕文君，胡靖航换下武磊                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
92'刚才重庆还用曹栋换下了崔永哲                   89'第89分钟上港也连换两人，胡靖航换武磊，孙峻岗换吕文君加强防守
