2'热苏斯边路拿球                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
46'下半场比赛开始！！                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
46'下半场比赛由埃弗顿开球                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
46'埃弗顿后场控球横敲                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
82'1-1！！！！                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
82'斯特林！！！                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
83'曼城右路起球送禁区，后卫头球解围没有顶远，斯特林这边不停球直接爆射一脚将球打进！！                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
83'两队重新回到同一起跑线                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
84'鲁尼这边得到一张黄牌！                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
84'曼城右路起球送禁区                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
84'中路队友接球侧勾被挡出                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
84'曼城这边攻势起来了                   82'曼城第82分钟扳平，达尼洛禁区右侧传中远点，防守席尔瓦的霍尔盖特勉强头球解围，无人防守的斯特林15码处半凌空抽射入网，1-1
