2'刚才梅西接应比利亚的传中，左脚的打门擦着立柱飞出底线                   2'开场仅2分钟，阿尔巴禁区左侧传中，梅西14码处左脚扫射偏出左侧立柱
68'后点包抄的蒙塔内斯铲射把球打偏了                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
68'游客6837: 柠檬明天还要播热火？---就在今天，嘿嘿                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'萨拉戈萨又获得了一个角球                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'扳平了！！！                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'角球的机会，萨拉戈萨！扳平了比分！                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'后防线的问题依旧，巴萨太大意了                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
66'战术角球开出来，伊涅斯塔停球被断，反抢又犯规了                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
66'阿兰达在禁区内左脚打门！没打上力量，巴尔德斯轻松把球接住                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
66'伊涅斯塔传中被挡出底线，角球                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
67'哈维传中被平特尔解围出去                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
67'皮克还留在禁区附近，带球戈尼踢了一下                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
67'裁判给了巴萨定位球                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'小潴哼哼:我怎么记得阿尔巴有过一次乌龙---那个乌龙进得很销魂，还是个挑射~                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'特略突入禁区...                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
69'想变线突破后卫的防守，失败了                   66'第66分钟，巴萨解围传中，阿兰达禁区左侧的凌空扫射正入巴尔德斯下怀
75'伊涅斯塔在边路带球，对方3名后卫围抢，球还是丢了                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
75'今天小白还没有什么出彩的表现                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
75'祖库里尼头球回点，萨拉戈萨！右路的反击                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'罗德里格斯禁区右侧一脚抽射~球擦着远端立柱飞出底线                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'这球差点，惊出了巴尔德斯一身冷汗啊                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'这后防给对方机会也不少                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
77'Fourteen-Mr周:哈哈 柠檬刚刚还说他来着，就进一个了---刚说的是宋的防守，确实还没有融入巴萨                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
77'伊涅斯塔！真敢想啊                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
77'梅西送身后给伊涅斯塔，面对出击的门将，伊涅斯塔几乎没有角度了，还敢打门！                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
77'这球击中了边网                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
78'伊涅斯塔被祖库里尼拉扯，巴萨获得了一个前场定位球                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
78'战术定位球开出来，皮克带球助攻                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
75'RealMadrid6685:柠檬,皇马比赛谁直播---应该还是枫浪吧                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
75'果然换下队长普约尔，换上了小将巴尔特拉                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'下场的时候普约尔接受了全场球迷的起立鼓掌                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'巴萨还有一个换人名额                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'或许等会会换上法布                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
76'让哈维或者小白也得到短暂的休息                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
77'皮克大范围的长传转移有些失准，球出了边线                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
78'换下佩刀，换上小法                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
78'風蓅-尐帥:萨队的罗德里格斯是不是阿根廷那个啊？---不是                   75'第75分钟，普约尔被巴特拉换下，哈维接过队长袖标
80'梅西直塞被挡了一下                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
80'萨拉戈萨的反击，宋在中场对罗德里格斯犯规                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
81'这次阻挡犯规裁判还没给牌                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
81'巴萨把球打回中场                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
82'吸引萨拉戈萨的阵型往前提                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
82'哈维今天状态不错，带球连续的突破                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
82'分给梅西之后被断球了                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
82'梅西其实在中路有时候拿球显得注意力不够集中                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
83'游客7881: 梅西离一年进球最多还有多少球啊---8个                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
83'Fourteen-Mr周:主播难当啊，你只播比赛人说你是机器，互动下人又说你不务正业了…是吧柠檬？---一针见血~                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
80'巴萨后场断球，哈维策动反击                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
80'立柱！！！                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
80'伊涅斯塔运气太差了                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
81'阿尔巴的插上让后卫失去了防守位置，小白一脚搓射却击中了右侧立柱                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
81'萨拉戈萨最后一个换人                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
81'17号巴伯维奇换下阿兰达                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
83'时间不多，萨拉戈萨不得已把阵型前提                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
83'反正输一个跟输几个都差不多                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
83'巴萨耐心的在中场传递                   80'第80分钟，法布雷加斯传球，伊涅斯塔禁区左侧16码处弧线球射门憾中横梁
