24'阿圭罗冷静的抓住一次机会                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
26'詹来主罚这个球                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
27'马内的这个突破真是太牛了啊                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
27'詹助跑，，右脚一记轰门，打偏了                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
27'艾德森大脚开起来                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
27'直接踢出了边线                   24'曼城第24分钟取得领先，德布劳内送出直传，阿圭罗单刀晃过米尼奥莱射入空门
31'搓起来给到前面德布劳内，萨拉赫回防把球破坏                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
31'詹中圈组织，身前给到马内                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
31'向前输送炮弹，禁区内右侧萨拉赫单刀机会                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
31'萨拉赫左脚低射，被神勇的艾德森倒地扑出                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
31'斯通斯随即把球解围                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
32'萨拉赫这场场丢单刀啊                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
32'席尔瓦拿球，给到右侧，长传走你                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
32'禁区内热苏斯停球出了底线                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
32'米尼奥莱大脚开起来                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
33'右侧詹拿球，中路做给亨德森                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
33'转移到左侧，传大了，踢出底线                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
33'艾德森给到达尼洛，在回敲艾德森                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
33'艾德森大脚开起来                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
34'中圈右侧争顶，没人碰到，直接出去了                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
34'利物浦边线球，给到莫雷诺，长传                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
34'达尼洛后场一记超级倒钩解围                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
34'热苏斯前场拿球，杀入禁区                   31'利物浦第31分钟错过机会，马内送出直传，萨拉赫禁区右侧的单刀射门被埃德森扑出
37'德布劳内组织进攻，长传过顶到右侧                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
37'被挡了回来，费尔南迪尼奥拿球，向前一记直塞                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
37'中路马蒂普把球拦截，在向前分                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
37'席尔瓦拦截，挑传向前被克拉万挡出                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
38'右侧分给马蒂普，长传向前，中路马内飞身包抄                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
38'马内飞身包抄，一个少林大飞腿                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
38'一个少林飞腿，，哇塞，直接命中出击的艾德森                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
38'哇塞，直接是踹到了出击的艾德森啊                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
39'马内被直接红牌罚下                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
39'马内的这记夺命无影脚直接把艾德森爆头了                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
39'艾德森倒在草坪上迟迟没有起来                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
40'场边渣叔很不满，对裁判直接红牌觉得过重了啊                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
40'落后一球，又少了一人，利物浦这下有点糟糕啊                   37'第37分钟，埃德森出击解围被马内凌空飞踹踢倒，利物浦边锋被红牌直接罚下
54'在给斯通斯，左侧横敲给奥塔门迪                   54'上半场伤停补时多达9分钟
54'转移大范围给到达尼洛，在传                   54'上半场伤停补时多达9分钟
54'裁判哨响，上半场结束了                   54'上半场伤停补时多达9分钟
54'中圈附近费尔南迪尼奥断下，向前一脚直塞                   54'上半场伤停补时多达9分钟
54'中路阿圭罗反越位插上                   54'上半场伤停补时多达9分钟
56'杀到禁区内，双鬼拍门了，有了                   54'上半场伤停补时多达9分钟
56'热苏斯梅开二度，阿圭罗助攻                   54'上半场伤停补时多达9分钟
56'阿圭罗反越位插上，低球斜传，禁区左侧热苏斯轻松挑射破门                   54'上半场伤停补时多达9分钟
57'这比赛，要花的节奏啊                   54'上半场伤停补时多达9分钟
57'奥塔门迪右侧给费尔南迪尼奥，横敲                   54'上半场伤停补时多达9分钟
57'左侧在给门迪，45度传中                   54'上半场伤停补时多达9分钟
57'禁区内热苏斯抢点，被对方挡出底线                   54'上半场伤停补时多达9分钟
57'左侧战术角球                   54'上半场伤停补时多达9分钟
51'小禁区前沿，热苏斯飞身头球轰炸，这次不越位，进了                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'热苏斯破门，曼城扩大领先优势                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'左侧丁丁再展助攻狂魔的能力，右脚搓起到禁区，热苏斯近距离大力头槌破门                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'丁丁两次助攻，阿圭罗和热苏斯分别进球                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'斯通斯拿球，给布拉沃                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'在给身前席尔瓦，斜传在给丁丁                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'向前一记直塞，被米尼奥莱没收                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'大脚开起来                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'中路达尼洛断球，在给费尔南迪尼奥，右侧分席尔瓦                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'回敲，斯通斯拿球，左侧传球                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'詹拼抢下来，交给萨拉赫                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'大步流星向前冲，杀到右侧，禁区内形单影只啊                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'被围堵，丢掉了                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'布拉沃右侧给席尔瓦，斜传沃克                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
54'在给斯通斯，左侧横敲给奥塔门迪                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
54'转移大范围给到达尼洛，在传                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
54'裁判哨响，上半场结束了                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'双方中圈右侧拼抢，曼城的犯规                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'利物浦任意球中路给维纳尔杜姆                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'挑传到禁区右侧                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'菲尔米诺一捅，被对方挡出底线                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'右侧角球机会，开起来                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
51'到了禁区中央，球被对方解围                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'詹外围拿球，回敲马蒂普，在给米尼奥莱                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'大脚开起来                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'中圈附近门迪把球拦截                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'向前给一记直塞，禁区左侧给到了德布劳内                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'带球突破到了底线                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
52'低球横敲，禁区内左侧被后卫解围出边线                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'曼城给到中间费尔南迪尼奥，控制一下节奏                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'左侧在给席尔瓦，回敲中路，斯通斯拿球                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'身前在给席尔瓦，斜传门迪，直塞                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'小禁区前沿阿圭罗高速前插                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'顺势直接单刀推射，，进了不算，越位                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'米尼奥莱大脚开起来                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
54'中圈附近费尔南迪尼奥断下，向前一脚直塞                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
54'中路阿圭罗反越位插上                   51'曼城补时第6分钟扩大比分，德布劳内左路拉球摆脱阿诺德防守后传中，无人防守的热苏斯小禁区前头球破门，2-0
53'中路达尼洛断球，在给费尔南迪尼奥，右侧分席尔瓦                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'回敲，斯通斯拿球，左侧传球                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'詹拼抢下来，交给萨拉赫                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'大步流星向前冲，杀到右侧，禁区内形单影只啊                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'被围堵，丢掉了                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'布拉沃右侧给席尔瓦，斜传沃克                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
54'在给斯通斯，左侧横敲给奥塔门迪                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
54'转移大范围给到达尼洛，在传                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
54'裁判哨响，上半场结束了                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'曼城给到中间费尔南迪尼奥，控制一下节奏                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'左侧在给席尔瓦，回敲中路，斯通斯拿球                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'身前在给席尔瓦，斜传门迪，直塞                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'小禁区前沿阿圭罗高速前插                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'顺势直接单刀推射，，进了不算，越位                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
53'米尼奥莱大脚开起来                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
54'中圈附近费尔南迪尼奥断下，向前一脚直塞                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
54'中路阿圭罗反越位插上                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
56'杀到禁区内，双鬼拍门了，有了                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
56'热苏斯梅开二度，阿圭罗助攻                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
56'阿圭罗反越位插上，低球斜传，禁区左侧热苏斯轻松挑射破门                   53'曼城第53分钟锁定胜局，费尔南迪尼奥直传，阿圭罗单刀机会无私横敲，热苏斯禁区左侧打空门得手，3-0
78'今天网络一直比较差，大家抱歉                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
78'中路丁丁拿球，向前直塞                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
78'禁区左侧门迪拿球，给一记斜传                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
78'禁区内萨内斜侧里杀出，跟上推射，有了                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
79'萨内，替补登场，锦上添花                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
79'左侧门迪接到来球，突破到禁区边缘，送出低传到前点，萨内跟上小禁区前沿推射轻松打进                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
80'比赛已经没有任何悬念了，看看红军能不能打进一个安慰性进球                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
80'沃克右侧拿球，给回撤接应的阿圭罗                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
80'面对逼抢，连续的盘带转身，被詹放倒                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
80'詹放铲犯规吃到黄牌                   77'第77分钟，萨内分球，门迪左路传中，萨内前点6码处推射入网，4-0
91'被破坏出来                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
91'下半场补时2分钟                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
91'曼城补时阶段再入一球，5-0彻底花了                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
92'萨内世界波，梅开二度，替补上场踢的非常出色啊                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
93'丁丁组织进攻，斜传禁区左侧，门迪传中给大到右侧沃克脚下，横敲弧顶，萨内得球左脚兜出流星球坠入左上角                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
93'裁判哨响，全场比赛结束了                   91'第91分钟，沃克尔传球，萨内20码处左脚弧线球射门紧贴左上角横梁下沿入网，5-0
