1'上半场比赛开始了！                   1'巴萨第1分钟就控制比赛
48']马蒂厄大脚开上来                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
48'伊涅斯塔直传，苏亚雷斯没有控好球                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
49'马蒂厄控球，交给布斯克茨                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
49'布斯克茨推进，分左路的内马尔                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
49'内马尔内切，陷入人丛中倒地                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
49'马罗的犯规                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
49'巴塞罗那禁区前沿的任意球机会                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
50'一拔一射，苏亚雷斯的打门打在人墙上                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
50'阿斯帕斯接应，球中自己倒地                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
51'伊涅斯塔控球，被抢断                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
51'西斯托交给阿斯帕斯，变向突破被拦截                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
51'双方的失误都非常多                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
51'苏亚雷斯背身控球，停大了                   48'塞尔塔3分钟打入2球扩大比分，第31分钟，马略抢断苏亚雷斯后大脚长传，布斯克茨头球拦截未果，阿斯帕斯突破至禁区边缘低射右下角入网，2-0
53'沃斯交给西斯托，还在带，球被断了                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
53'皮克压过半场，交给图兰                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
53'图兰的突破，过了一人，回做伊涅斯塔挑传，图兰禁区内倒地但没有点球                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
53'戈麦斯控球，罗贝托接应一下                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
54'长传上来，隆卡利亚将球抢断                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
54'回复：用户1366988757  03:51 举报回复  估计明天的评论会说，没有梅西，巴萨果然不行！（也是事实）                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
54'内马尔与戈麦斯的二过一配合，被布拉尔解围                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
55'内马尔发角球被对方头球解围                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
55'戈麦斯控球，横传失误了                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
55'阿斯帕斯在带球，横传失误                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
55'图兰直传，罗贝托也没有追上                   52'巴萨7分钟连追2球，第58分钟，伊涅斯塔左路战术角球传中，皮克小禁区边缘抢在塞尔吉奥出击前头球顶入空门，1-3
68'皮克长传上来，隆卡利亚顶到第一点                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
68'图兰右路下底传中，阿尔瓦雷斯将球没收                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
68'内马尔认为马罗有拉人的动作                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
68'皮克控球，长传球                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
69'拉多亚的分边球，出了边线                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
69'布斯克茨交给皮克，斜传被马罗解围                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
70'戈麦斯交给了图兰，苏亚雷斯提上来接应                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
70'戈麦斯接应交给伊涅斯塔                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
70'伊涅斯塔带球，送右路                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
71'戈麦斯的传中球直接传出底线                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
71'苏亚雷斯左路来了，被马罗拦截出边线                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
71'阿尔巴掷界外球                   68'第68分钟，图兰突入禁区右侧传中，内马尔小禁区边缘被马略拉倒，但裁判拒绝判罚点球
77'噢                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
77'特尔施特根出现了严重的失误！                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
77'特尔施特根接应回传球将球踢在了阿斯帕斯身上反弹入自家大门！                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
78'更正一下，进球的是埃尔南德斯                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
78'特尔施特根的传球，正好到了埃尔南德斯头顶，埃尔南德斯有力的头球顶入远门柱！                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
79'这样巴塞罗那要拿分的机会又变得微小了                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
79'皮克的长传，被顶出来                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
80'阿斯帕斯前场过了马蒂厄，面对门将打门没有打上力量                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
80'阿尔巴的直传，内马尔带球，交给了图兰                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
80'罗贝托接应 一下，交给中路的内马尔                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
80'内马尔调整后打门打在后卫身上                   77'塞尔塔第77分钟又扩大比分，特尔施特根传球打在巴勃罗-埃尔南德斯头上反弹入空门，4-2
87'戈麦斯挑传，S戈麦斯倒钩解围                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
87'丹尼斯-苏亚雷斯强行下底传中，没有回防的皮克泰山压顶式头球顶入大门！                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
88'相当精彩的一场进球大战                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
88'苏亚雷斯认为是本方界外球，拿起来才发现不是，向边裁说了几唏                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
88'几句                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
88'主裁判黄牌警告苏亚雷斯                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
89'维戈塞尔塔换人，9号古德蒂换下了10号阿斯帕斯                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
89'伊涅斯塔的盘带，交给了内马尔                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
89'内马尔带球上给戈麦斯                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
89'分给阿尔巴，传中有点勉强                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
90'内马尔强行突破，直传，拉多亚捅一下                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
90'阿尔巴左路传中，内马尔头球顶反方向，可惜稍稍偏出！                   87'巴萨第87分钟再度拉近比分，丹尼斯-苏亚雷斯右路下底传中，皮克近距离头球破门，3-4
47'下半场开始之前，巴塞罗那换人，8号伊涅斯塔换下了12号拉菲尼亚                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
47'皮克直传，球被S戈麦斯捅一下                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
47'布斯克茨回防将球解围出底线                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
47'维戈塞尔塔左路的角球机会                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
48'沃斯发短角球，回出来，传中没有踢起来                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
48']马蒂厄大脚开上来                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
48'伊涅斯塔直传，苏亚雷斯没有控好球                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
49'马蒂厄控球，交给布斯克茨                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
49'布斯克茨推进，分左路的内马尔                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
49'内马尔内切，陷入人丛中倒地                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
49'马罗的犯规                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
49'巴塞罗那禁区前沿的任意球机会                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
50'一拔一射，苏亚雷斯的打门打在人墙上                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
50'阿斯帕斯接应，球中自己倒地                   47'2分钟后，丹尼斯-苏亚雷斯传中，但皮克头球攻门偏出
