5'莱万特的球员开场后比较兴奋                   5'开场仅5分钟，詹森直传，博阿滕禁区右侧劲射近角被特尔施特根扑挡后没收
36'梅西牵扯了太多的防守球员                   33'第33分钟，罗奇纳传球，博阿滕小禁区前抢在维尔马伦封堵前劲射打中横梁
43'莱万特中场传球被拦截，中场巴萨传球找到梅西，梅西禁区线接球走外线推射破门！！                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
43'梅西这球打得很情况                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
43'一次经典的反击配合                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'下半场比赛开始！！                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'巴萨左路进攻到底线                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'给到及迁怒                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'给到了禁区                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'没什么威胁                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'莱万特获得一个角球                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'角球送后点                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
46'特尔施特根直接将球拿到                   43'巴萨第43分钟扩大比分，布斯克茨直传，梅西突破至禁区右肋8码处单刀斜射入网，2-0
60'莱万特中场拦截犯规                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
60'0-4！！！                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
60'梅西！！！                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
60'帽子戏法！！                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
61'巴萨中场送直塞给到边路，苏亚雷斯边路传球给到禁区后点，比达尔接球回做到中路，梅西中路轻松推射破门！！                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
61'打得很轻松啊                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
61'莱万特已经被打穿了                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
62'莱万特换人了                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
62'埃曼努埃尔-博阿滕下，马约拉尔上！                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
63'登贝莱右侧拿球                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
63'给到禁区前沿                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
63'没有起脚的机会                   60'第60分钟，苏亚雷斯晃过一人后突入禁区左侧外脚背传中，比达尔远点无私传回，无人防守的梅西近距离推射入网，4-0
76'莱万特球员得到红牌                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'登贝莱的突破被卡瓦科铲倒                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'卡瓦科铲球的时候亮了鞋底                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'卡瓦科直接被红牌罚出场外                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'登贝莱经过队医的检查问题不大                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'巴萨前场的任意球                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
77'巴萨换人了                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
78'比达尔下，库蒂尼奥上！                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
78'梅西任意球直接打门                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
78'没有压住                   76'第76分钟，卡巴科飞铲登贝莱被红牌直接罚下
88'0-5！！！                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
88'皮克！！                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
88'皮克后场出球后自己一个人杀到前场，梅西禁区内做球给到皮克，皮克脚下晃开防守球员推射破门！！                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
89'主场的球迷开始退场了                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'巴萨中场拿球                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'挑传给到禁区弧顶                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'没有过去                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'莱万特中场拿球分出来                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'下半场补时2分钟！！                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'巴萨断球了                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'前场的带球被拦截                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
90'莱万特反击的机会                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'普尔西奇禁区外围远射                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'特尔施特根单手将球托出底线                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'莱万特角球                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'角球送前点                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'第一点还是被巴萨顶出来                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
91'莱万特右路传球                   88'第88分钟，库蒂尼奥反击中斜传，梅西横敲，皮克12码处射门被扑挡后仍入网，5-0
