7'博里尼接到队友的传球~一脚远射将球打偏！                   7'第7分钟，维克汉姆传球，前切尔西前锋博里尼25码处劲射偏出
20'if_516: 阿扎尔据说欧冠都上不了---据说会缺阵2-3周时间                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
20'切尔西展开了围攻之势                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
20'拉米雷斯远射~~~也是高射炮                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
21'桑德兰的反击来了~                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
21'约翰逊带球内切~~~                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
21'左脚远射~将球打偏了                   18'桑德兰第18分钟扳平比分，塞巴斯蒂安-拉尔森角球开至外围，阿隆索25码处半凌空抽射令施瓦泽脱手，维克汉姆小禁区边缘抢在特里之前推射破门，1-1
46'约翰逊想换到自己的左脚来打门~哪有那么多时间给他                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
47'上半场要补时2分钟                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
47'没什么机会~                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
46'下半场比赛开始了~                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
46'一开场就有人犯规                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
47'伊万一脚踩中了阿隆索的左脚                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
47'威克姆在边路拿球~逼得了一个角球                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'角球传中被施瓦泽双拳击出                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'阿隆索再次传中~前点位置被对方后卫顶到                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'切尔西的反击来了                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'威廉中路长驱直入~                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'分给了左边路的埃托奥~                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'好机会~                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'埃托奥的推射擦柱而出                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
48'只差了一点点                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
49'                    46'自1月以来，切尔西570分钟联赛主场不丢球被终结
49'切尔西又逼得了一个角球                   46'自1月以来，切尔西570分钟联赛主场不丢球被终结
21'桑德兰的反击来了~                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
21'约翰逊带球内切~~~                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
21'左脚远射~将球打偏了                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
22'分数单位: 约翰逊长的好像谢尔顿。。---哈哈~是有点                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
22'桑德兰又有反击机会                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
22'左边路的下底传中被特里给挡了回去                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
22'切尔西的反击~今天的节奏可真快                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
22'切尔西禁区右侧的配合出现了失误                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
23'切尔西继续控球进攻~                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
23'貌似有人受伤了                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
23'奥谢跪在了地上                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
24'曼诺内将球扔出了边线，队医进场了                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
24'奥谢还能自己走动，看起来问题不大                   21'第21分钟，马蒂奇传球，拉米雷斯远射高出
27'打得太正了被门将曼诺内接住                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
27'桑德兰近段时间被压缩在了禁区附近                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
27'根本没机会过半场                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
28'威克姆貌似也有些受伤了                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
28'捂着自己的左腿，貌似是拉伤了吧                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
29'不过还能自己站起来                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
29'切尔西获得了一个位置不错的定位球                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
29'伊万助跑~奥斯卡先出脚了！                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
30'直接射门绕过了人墙~不过门将曼诺内准备很充分将球接住了                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
30'而且奥斯卡的射门力量稍微小了点                   27'第27分钟，伊万诺维奇回传，奥斯卡右路25码处射门被曼诺内摘下
33'                    33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
33'游客4329: 这样的蹬蹋没给牌啊---英超裁判...估计也没看清吧                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
33'一事狂便少年01:02  又是柠檬解说呢，辛苦啦～---谢啦~                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
34'今天的比赛时间过得真快啊                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
34'得益于两队的进攻节奏都很快                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
34'埃托奥拿球分边~                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'切尔西再打回中路~                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'桑德兰的防守已经就位了                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'拉米雷斯逼得了一个角球                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'本场比赛切尔西的第三个角球                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'好险~~~                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'威廉传中~伊万门前甩头攻门被曼诺内伸手挡了一下                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
35'球击中横梁弹下~                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
36'桑德兰逃过一劫，球最后被曼诺内抱住了                   33'第33分钟，特里扫射破门却因马蒂奇被判犯规在先而无效
40'壹抹流雲01:10  肥猫应该为整个英超想想。我车还有欧冠呢，事关整个英超的荣耀！---哈哈                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
42'曼诺内~~                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
42'连续做出精彩扑救                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
42'先是挡出禁区外马蒂奇的远射~                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
42'马上起身又扑出了奥斯卡的补射~                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
42'球还是在切尔西控制下                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'埃托奥面对奥谢~闪开角度的推射打得太正                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'刚才桑德兰的后卫有禁区内手球                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'不过裁判没有吹罚                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'哇~~~                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'门前救险啊~                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'桑德兰门前险象环生                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'切尔西右路传中~威廉左脚捅射被门将扑出                   40'第40分钟，伊万诺维奇右路传中，萨拉赫12码处头球攻门毫无威胁落入曼诺内下怀
43'埃托奥面对奥谢~闪开角度的推射打得太正                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'刚才桑德兰的后卫有禁区内手球                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'不过裁判没有吹罚                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'哇~~~                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'门前救险啊~                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'桑德兰门前险象环生                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
43'切尔西右路传中~威廉左脚捅射被门将扑出                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
44'而拉米雷斯面对空门~被追上来的约翰逊抢先头球解围                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
44'曼诺内已经连续做出了几次精彩的扑救                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
45'今天裁判的吹罚尺度很松啊                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
45'刚才切尔西的球员动作很大也没吹                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
45'阿斯皮利奎塔出现了失误~                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
45'被约翰逊断球~禁区内内切！                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
45'被追回来的阿斯皮利奎塔将球断走了                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
46'约翰逊想换到自己的左脚来打门~哪有那么多时间给他                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
46'下半场比赛开始了~                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
46'一开场就有人犯规                   43'第43分钟再次出现争议，萨拉赫右路传中，威廉小禁区边缘捅射被曼诺内扑挡，拉米雷斯面对空门被塞巴斯蒂安-拉尔森撞开
52'埃托奥跟卡特莫尔两人手上都有动作                   52'第52分钟，威廉传球，奥斯卡远射被没收
52'当然裁判依旧没有吹罚                   52'第52分钟，威廉传球，奥斯卡远射被没收
52'切尔西断球反击~                   52'第52分钟，威廉传球，奥斯卡远射被没收
52'奥斯卡啊~有点独了                   52'第52分钟，威廉传球，奥斯卡远射被没收
53'距离球门还有些距离球射门了~被曼诺内接住                   52'第52分钟，威廉传球，奥斯卡远射被没收
53'我爱罗: 伊万很帅吗？---谈不上帅吧                   52'第52分钟，威廉传球，奥斯卡远射被没收
54'切尔西继续围攻                   52'第52分钟，威廉传球，奥斯卡远射被没收
55'威廉将球传入禁区~                   52'第52分钟，威廉传球，奥斯卡远射被没收
55'提前量给大了点~                   52'第52分钟，威廉传球，奥斯卡远射被没收
55'桑德兰的球门球                   52'第52分钟，威廉传球，奥斯卡远射被没收
57'卡特莫尔这个失误太搞笑了                   57'第57分钟，威廉传球，奥斯卡远射偏出
57'马蒂奇在抢头球的时候压人犯规了                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'诺灬海01:44  把奥斯卡换下吧---奥斯卡今天表现确实该被换下                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'dxh_sigh: 我承认杰拉德这个赛季很强---15年了，今天最接近冠军                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'施瓦泽手抛球发动反击                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'拉米雷斯的传中被挡出底线，角球                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'切尔西换下了奥斯卡                   57'第57分钟，威廉传球，奥斯卡远射偏出
58'上来的是登巴巴                   57'第57分钟，威廉传球，奥斯卡远射偏出
59'切尔西角球传中~卡希尔头球点了一下                   57'第57分钟，威廉传球，奥斯卡远射偏出
59'桑德兰的后卫大脚将球开回了对方半场                   57'第57分钟，威廉传球，奥斯卡远射偏出
60'穆尼尼奥表情很严峻                   57'第57分钟，威廉传球，奥斯卡远射偏出
60'这场比赛打平的话，基本上就跟冠军无缘了                   57'第57分钟，威廉传球，奥斯卡远射偏出
65'许尔勒换下萨拉赫                   65'切尔西第65分钟浪费机会，登巴-巴捅传，威廉禁区右侧传中，无人防守的登巴-巴10码处面对大半个空门仓促垫射偏出
65'切尔西要拼命了                   65'切尔西第65分钟浪费机会，登巴-巴捅传，威廉禁区右侧传中，无人防守的登巴-巴10码处面对大半个空门仓促垫射偏出
68'穆尼尼奥的表情看起来越来越担忧                   65'切尔西第65分钟浪费机会，登巴-巴捅传，威廉禁区右侧传中，无人防守的登巴-巴10码处面对大半个空门仓促垫射偏出
74'托雷斯换下了埃托奥                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
74'桑德兰角球给后点，没有人顶到                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
74'威廉将球断走~反击机会                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
75'许尔勒~禁区角上的打门被后卫挡了一下                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
75'登巴巴抢在门将拿球之前伸腿碰了一下，逼得了一个角球                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
75'切尔西的这次角球传中没有形成威胁                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
75'场上又有球员倒地                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
75'桑德兰制造了一个角球                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
76'传前点~被解围出了禁区                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
76'                    74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
77'两队不断的制造角球                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
77'威廉角球给后点~被顶出禁区                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
77'再传~禁区内托雷斯来了一脚倒勾射门！                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
77'不过这球还是打高了                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
77'天SHi-哲02:03  切赫伤了？---没有                   74'第74分钟，托雷斯分球，许尔勒禁区左侧传射偏转，登巴-巴小禁区左侧脚后跟射门被挡出底线
79'威廉传前点~被阿隆索头球解围                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
79'再给入禁区~托雷斯的头球攻门被曼诺内接住                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
80'点球                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
80'阿尔蒂多雷为桑德兰制造了点球                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
80'阿斯皮利奎塔酿下了大祸                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
81'阿尔蒂多雷急停的时候被阿斯皮利奎塔给带倒了                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
81'Gooooooooooooooal~~~                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
81'施瓦泽判断错了方向~博里尼将球罚入球门中路                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
82'不过这个点球的吹罚有一些问题的                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
82'切尔西的教练席有些失控了                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
82'迈克迪恩将情绪激动的法里亚给罚了下去                   79'第79分钟，托雷斯禁区右侧射门被阿隆索挡高出横梁
82'不过这个点球的吹罚有一些问题的                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
82'切尔西的教练席有些失控了                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
82'迈克迪恩将情绪激动的法里亚给罚了下去                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
83'许尔勒的远射被曼诺内单手托出横梁~                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
83'曼诺内今天太鸡血了                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
83'切尔西的角球~伊万抢头球的时候跟曼诺内相撞                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
83'这一下够呛的                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
85'                    82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
85'托雷斯边路下底~传中被挡出                   82'桑德兰第82分钟获得争议点球，替补出场的阿尔蒂多尔突入禁区右侧在阿斯皮利奎塔防守下摔倒，麦克-迪恩判罚点球，但回放显示判罚具有争议，博里尼主罚点球一蹴而就，2-1
85'                    84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
85'托雷斯边路下底~传中被挡出                   84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
86'看起来托雷斯的传中被卡特莫尔手挡了一下的                   84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
86'裁判还是没有吹点球                   84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
87'时间已经不多了~                   84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
87'穆尼尼奥越来越焦躁不安                   84'第84分钟，威廉传球，许尔勒禁区边缘外射门被曼诺内托出横梁
