3'朱宝杰跟进打一脚远射，被后卫挡出底线                   3'第3分钟，贵州人和左侧角球制造威胁，后点队员大力平抽门前被解围出禁区
9'建业长传反击，给到扎恰拉                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
9'扎恰拉稍微停顿一下，等待同伴上来支援                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
9'扎恰拉敲到右路                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
9'建业传中，李智超外围一记冷射，打偏                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
10'桑托斯前场背身护球，回做一下给陈杰，传小了                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
10'陈杰被尹鸿博卡在身后，陈杰硬抢，犯规了                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
11'建业后场控制一下节奏，倒了两脚之后慢慢推进到中圈                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
11'人和全队回收到半场进行防守                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
12'建业的球过渡到左路，毕津浩选择回敲一下                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
12'毕津浩左路上来，一记穿透性的直塞找帕蒂尼奥，没有到位                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
12'球直接送到了张烈的面前                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
12'伊沃伸手示意毕津浩这个球应该给脚下                   9'第9分钟，哈维尔前场带球组织进攻将球分至右路，再将球过渡到中路，外围李智超假射真扣，扣过防守后大力抽射打偏
25'饶伟辉左路斜吊禁区，桑托斯和尤里两人都没有争到                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
25'人和的这种简单粗暴的进攻方式很难奏效啊，对于他们来说，本赛季的进攻成了老大难问题                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
25'建业反击，史亮前场战术犯规，拉倒伊沃                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
26'建业错失一次很好的机会啊，禁区内扎恰拉的射门被挡出了底线                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
27'建业禁区内一连串的配合让人眼花缭乱，最后的射门稍稍差了些                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
27'建业进球了                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
27'建业正是利用这个角球的机会形成得分                   25'第25分钟，河南建业禁区内一连串配合让人眼花缭乱，最后禁区内的大力抽射稍稍打高
33'建业右路推进，吕建军插上助攻                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
33'吕建军没有突破的机会，横敲给中间                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
33'建业一直在中圈附近倒脚                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
34'尹鸿博突然起一脚长传打后卫身后，扎恰拉迅速跟进                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
34'扎恰拉速度很快，球出底线之前把球挑回中路，帕蒂尼奥前点没有碰到                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
35'后点跟进的伊沃铲射远角，偏了，被对方解围                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
35'顾操左路铲翻桑托斯吃到黄牌                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
35'人和开出任意球，中路朴柱成争到了点，可惜顶偏                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
36'人和后场玩火被断了，建业的反击来了                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
36'伊沃自己抢断之后没有传，边带边观察形势                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
36'帕蒂尼奥的位置不是很好，处在越位的位置，伊沃干脆选择自己强突                   33'第33分钟，尹鸿博突然起长传打后卫身后，哈维尔前点未能碰到，后点跟进的伊沃铲射远角打偏
35'后点跟进的伊沃铲射远角，偏了，被对方解围                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
35'顾操左路铲翻桑托斯吃到黄牌                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
35'人和开出任意球，中路朴柱成争到了点，可惜顶偏                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
36'人和后场玩火被断了，建业的反击来了                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
36'伊沃自己抢断之后没有传，边带边观察形势                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
36'帕蒂尼奥的位置不是很好，处在越位的位置，伊沃干脆选择自己强突                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
37'伊沃杀入禁区，抽射远角被张烈倒地封堵，好险                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
37'人和若这个时候再丢一球，那么客场很可能遭遇溃败                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
38'左路张可上来，传中被挡出边线                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
38'建业继续组织进攻，禁区外的渗透，在转移给右侧                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
38'建业的传球出现了失误                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
38'不过建业的层次不错，外围及时的把球在控制回来                   35'第35分钟，伊沃带球突进，用速度摆脱张成林后突入禁区低射远角被张烈扑住
49'人和的进攻，走中路，桑托斯交给朱宝杰                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
49'朱宝杰横向摆脱，闪出空当，禁区外一脚抽射，被张烈扑住                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
50'建业右路的进攻，吕建军插上，分给尹鸿博                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
50'尹鸿博背身护球，饶伟辉身后抢球动作太大，招致黄牌                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
51'建业任意球送到禁区，落点很深，直奔后角，张烈跳起，单拳击出                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
51'人和前场进攻不利，传球失误了                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
51'建业马上一记长传，吕建军从右侧插入到了禁区内                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
52'吕建军面对长传，不停球，直接端给身后的扎恰拉                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
52'扎恰拉身边无人盯防，禁区内中路面对来球，一记凌空扫射，打偏了                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
52'错失好机会啊扎恰拉                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
52'张烈倒在地上，捂着脚踝，受伤了吗                   49'下半场易边再战，第49分钟，朱宝杰前场左路带球，禁区前沿面对吕建军横拨一下，直接起脚打门，吴倒地将球扑住
51'建业任意球送到禁区，落点很深，直奔后角，张烈跳起，单拳击出                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
51'人和前场进攻不利，传球失误了                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
51'建业马上一记长传，吕建军从右侧插入到了禁区内                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
52'吕建军面对长传，不停球，直接端给身后的扎恰拉                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
52'扎恰拉身边无人盯防，禁区内中路面对来球，一记凌空扫射，打偏了                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
52'错失好机会啊扎恰拉                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
52'张烈倒在地上，捂着脚踝，受伤了吗                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
53'队医进场，简单处理，看来是崴了一下                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
53'问题不大，简单处理之后比赛继续，张烈大脚开出门球                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
53'人和右路的进攻，尤里突破的传中，第一点被解围                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
54'朴柱成中路衔枚疾走，李智超侧翼上来有拉扯动作，被吹犯规                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
54'人和把球推给左路，饶伟辉的传中力量太大了                   51'第51分钟，建业长传禁区，吕建军凌空将球端到中路，萨哈拉跟进抽射滑门而出
66'人和的传中，第一落点还是被对方先得到                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
66'陈杰外围再来一记远射，高了                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
66'陈杰的进攻欲望很是强烈啊，外围一有机会就果断起脚                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
67'今天是五一假期，航海体育场也是来了不少的球迷，超过了2万人                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
67'建业中路做文章，传递不错                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
68'左路有空当，及时的分边，毕津浩吊到小禁区，帕蒂尼奥头球偏出                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
69'伊沃前场拿球，走中路突破，史亮从侧翼铲抢被吹犯规                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
69'史亮也得到一张黄牌                   66'第66分钟，陈杰禁区外在失去平衡的情况下，坐在地上转身甩开防守，起身后大力抽射将球打高
71'比赛打了70分钟，现场的球迷也是比较焦急等待反超的一球                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
71'建业后场失误，险些被桑托斯抓住                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
71'桑托斯杀入禁区内，唐德超没有扛住，吴龑出来了                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
72'桑托斯一记挑射想吊门，没有控制好高了                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
72'建业前场左路的定位球                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
72'禁区内郑仁焕头球争到点，但是顶的没力量，球缓缓的滚向大门，被张烈得到                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
73'建业中路分球到左边                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
73'帕蒂尼奥速度很快，球出界之前追了回来                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
73'帕蒂尼奥强突，尤里撞人犯规了                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
74'建业换人，戈麦斯上场，替下了扎恰拉                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
74'建业任意球开到禁区内，形成混战                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
74'郑仁焕禁区之内倒地的一记抽射居然打高了，浪费良机了                   71'第71分钟，唐德超后场处理球大意，桑托斯抢断后抹入禁区，面对出击的门将一记挑射稍稍打高
79'双方在中场连续的高空作业，最后建业把球权拿下来                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
79'进攻到前场，左路吊到禁区边缘                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
80'帕蒂尼奥头球一摆，后点吕建军拼抢犯规了                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
80'桑托斯左边路进攻，戈麦斯防守犯规                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
80'戈麦斯吃到一张黄牌，从慢镜头来看的话，这个黄牌稍显严厉了                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
81'左路人和定位球直接吊进禁区，落点太深被吴龑摘下                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
81'尹鸿博进攻中抢点犯规                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
82'刘洋大脚把球送到前场，桑托斯没有争到                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
82'人和中场把球控下，走左路                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
82'朱宝杰插上，人和送边卫的身后，给的太大，直接出底线                   79'第79分钟于睿上场换下史亮，李春满也给出加强防守至少要守住平局的信号
89'直接轰远角，张烈甚至没有做出任何反应，但球偏出远门柱                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
89'人和右路推进，马辛斯基头球交给同伴                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
90'右路45度斜传，禁区内尤里在争，第一点还是被郑仁焕抢先解围                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
90'下半场比赛补时5分钟                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
90'于睿倒在草坪上，没什么事，自己站了起来                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
91'人和打右路，找桑托斯                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
91'桑托斯突到底线，没有机会，回敲一下                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
91'人和右路的传递被对方断下来                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
92'建业最后时刻也没有什么好办法，节约时间用长传来攻                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
92'左路尹鸿博给到伊沃，伊沃突破下底                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
92'伊沃传中前点李智超包抄到位，但球给的太高                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
92'后点吕建军跟上冲顶，偏出了                   89'第89分钟建业获得禁区线上任意球机会，哈维尔直接打门偏出
