6'尤文图斯球员夸利亚雷拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是奥邦纳.                   6'尤文身着黄衣蓝裤，开场6分钟，夸利亚雷拉大力远射偏出
34'基耶利尼为尤文图斯赢得一个任意球.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
35'伊斯拉将球处理出底线,博洛尼亚获得角球.                   32'第32分钟，曼托瓦尼放倒比达尔，被黄牌警告
35'伊斯拉将球处理出底线,博洛尼亚获得角球.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
36'博洛尼亚球员纳塔利拼抢犯规,对手获得控球权.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
36'武齐尼奇为尤文图斯在右路,赢得一个任意球.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
37'迪亚曼蒂为博洛尼亚赢得一个任意球.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
37'尤文图斯球员伊斯拉拼抢犯规,对手获得控球权.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
38'博洛尼亚球员加里茨大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是莫莱奥.                   35'第35分钟，博洛尼亚开出角球，武齐尼奇在禁区内防守科内时手球，主裁判没有中断比赛
41'洛伦特将球处理出底线,博洛尼亚获得角球.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
41'博洛尼亚球员莫莱奥大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
42'尤文图斯球员夸利亚雷拉大禁区外右脚射门,被防守球员封堵.给他传球的是佩鲁索.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
42'安东森将球处理出底线,尤文图斯获得角球.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
43'P-科内为博洛尼亚在对方半场,赢得一个任意球.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
43'尤文图斯球员奥邦纳拼抢犯规,对手获得控球权.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
43'博洛尼亚球员迪亚曼蒂拼抢犯规,对手获得控球权.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
43'基耶利尼为尤文图斯赢得一个任意球.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
44'迪亚曼蒂为博洛尼亚在对方半场,赢得一个任意球.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
44'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
44'黄牌！尤文图斯球员基耶利尼因为恶意犯规,被主裁判出示黄牌.                   41'第41分钟，博洛尼亚左侧角球被顶出，莫莱奥禁区前沿凌空打出弹地球偏出近门柱
45'基耶利尼将球处理出底线,博洛尼亚获得角球.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
45'博洛尼亚球员加里茨大禁区右侧尝试右脚射门,可惜皮球偏出球门.给他传球的是迪亚曼蒂.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
45'+1'尤文图斯球员伊斯拉大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是马尔基西奥.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
45'+2'尤文图斯球员比达尔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
45'+2'上半场结束,博洛尼亚 0-1 尤文图斯,稍事休息,我们一会来看看下半场两队的表现.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
45'博洛尼亚换人,拉克索尔特换下Diego Pérez                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
46'尤文图斯球员夸利亚雷拉大禁区外尝试左脚射门,可惜皮球高出球门.给他传球的是比达尔.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
47'博洛尼亚球员P-科内大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是迪亚曼蒂.                   45'第45分钟，迪亚曼蒂左路传中被漏到后点，高里奇在门前12米处凌空抽射高出
47'博洛尼亚球员P-科内大禁区中央尝试右脚射门,可惜皮球高出右上角球门.给他传球的是迪亚曼蒂.                   47'第47分钟，迪亚曼蒂左路传中，科内前点距门8米处凌空垫射高出
49'尤文图斯球员马尔基西奥球门左侧小角度尝试右脚射门,可惜皮球高出右上角球门.给他传球的是比达尔.                   47'第47分钟，迪亚曼蒂左路传中，科内前点距门8米处凌空垫射高出
50'博洛尼亚球员P-科内拼抢犯规,对手获得控球权.                   47'第47分钟，迪亚曼蒂左路传中，科内前点距门8米处凌空垫射高出
50'夸利亚雷拉为尤文图斯赢得一个任意球.                   47'第47分钟，迪亚曼蒂左路传中，科内前点距门8米处凌空垫射高出
60'尤文图斯球员洛伦特大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是奥邦纳.                   60'第60分钟，略伦特左侧禁区前沿左脚抽射被库尔奇封出近门柱
60'库尔奇将球处理出底线,尤文图斯获得角球.                   60'第60分钟，略伦特左侧禁区前沿左脚抽射被库尔奇封出近门柱
62'射门!!!尤文图斯球员洛伦特大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是佩鲁索.                   60'第60分钟，略伦特左侧禁区前沿左脚抽射被库尔奇封出近门柱
63'博洛尼亚球员纳塔利拼抢犯规,对手获得控球权.                   60'第60分钟，略伦特左侧禁区前沿左脚抽射被库尔奇封出近门柱
63'夸利亚雷拉为尤文图斯在对方半场,赢得一个任意球.                   60'第60分钟，略伦特左侧禁区前沿左脚抽射被库尔奇封出近门柱
68'尤文图斯球员夸利亚雷拉一脚直塞球给阿萨莫阿,但是边裁举旗显示后者已经越位.                   68'第68分钟，夸利亚雷拉直传禁区，阿萨莫阿推射入网，但越位在先
70'尤文图斯换人,特维斯换下夸利亚雷拉                   68'第68分钟，夸利亚雷拉直传禁区，阿萨莫阿推射入网，但越位在先
71'比达尔将球处理出底线,博洛尼亚获得角球.                   68'第68分钟，夸利亚雷拉直传禁区，阿萨莫阿推射入网，但越位在先
73'博洛尼亚球员里斯塔尔多大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.                   72'第72分钟，略伦特反越位形成单刀，在门前30米处被出击的库尔奇封出，博洛尼亚随打出后反击，克里斯塔尔多截下解围球，突入禁区右侧斜射偏出左门柱
74'尤文图斯球员比达尔一脚直塞球给特维斯,但是边裁举旗显示后者已经越位.                   72'第72分钟，略伦特反越位形成单刀，在门前30米处被出击的库尔奇封出，博洛尼亚随打出后反击，克里斯塔尔多截下解围球，突入禁区右侧斜射偏出左门柱
75'奥邦纳将球处理出底线,博洛尼亚获得角球.                   72'第72分钟，略伦特反越位形成单刀，在门前30米处被出击的库尔奇封出，博洛尼亚随打出后反击，克里斯塔尔多截下解围球，突入禁区右侧斜射偏出左门柱
82'博洛尼亚球员莫莱奥小禁区左侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是迪亚曼蒂.                   82'第82分钟，迪亚曼蒂右路左脚起球，莫莱奥后点距门8米处顶出弹地球偏出近门柱
83'迪亚曼蒂为博洛尼亚在左路,赢得一个任意球.                   82'第82分钟，迪亚曼蒂右路左脚起球，莫莱奥后点距门8米处顶出弹地球偏出近门柱
83'尤文图斯球员马尔基西奥拼抢犯规,对手获得控球权.                   82'第82分钟，迪亚曼蒂右路左脚起球，莫莱奥后点距门8米处顶出弹地球偏出近门柱
83'黄牌！尤文图斯球员马尔基西奥因为恶意犯规,被主裁判出示黄牌.                   82'第82分钟，迪亚曼蒂右路左脚起球，莫莱奥后点距门8米处顶出弹地球偏出近门柱
84'尤文图斯球员特维斯一脚直塞球给比达尔,但是边裁举旗显示后者已经越位.                   82'第82分钟，迪亚曼蒂右路左脚起球，莫莱奥后点距门8米处顶出弹地球偏出近门柱
90'+2'暂停结束,球员们重新开始比赛.                   90'尤文第90分钟锁定胜局，特维斯左侧开出角球，基耶利尼前点距门8米处头球被库尔奇指尖一托还是入近角，2比0
90'+2'尤文图斯马尔基西奥受伤倒地,比赛暂停                   90'尤文第90分钟锁定胜局，特维斯左侧开出角球，基耶利尼前点距门8米处头球被库尔奇指尖一托还是入近角，2比0
90'+4'下半场结束,博洛尼亚 0-2 尤文图斯                   90'尤文第90分钟锁定胜局，特维斯左侧开出角球，基耶利尼前点距门8米处头球被库尔奇指尖一托还是入近角，2比0
