1'拉诺齐亚为国际米兰在对方半场,赢得一个任意球.                   1'国米队员臂缠黑纱，赛前默哀1分钟，悼念25日去世的米拉尼
82'Dnipro Dnipropetrovsk换人,塞莱兹诺夫换下马祖克                   81'第81分钟，罗坦左脚任意球贴右门柱而出
83'Dnipro Dnipropetrovsk球员马修斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是罗坦.                   81'第81分钟，罗坦左脚任意球贴右门柱而出
90'国际米兰球员奥斯瓦尔多拼抢犯规,对手获得控球权.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'罗坦为Dnipro Dnipropetrovsk赢得一个任意球.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+1'Dnipro Dnipropetrovsk球员罗坦一脚直塞球给布鲁诺-加玛,但是边裁举旗显示后者已经越位.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+2'国际米兰球员瓜林拼抢犯规,对手获得控球权.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+2'罗坦为Dnipro Dnipropetrovsk在对方半场,赢得一个任意球.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+3'瓜林为国际米兰在右路,赢得一个任意球.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+3'Dnipro Dnipropetrovsk球员弗拉德拼抢犯规,对手获得控球权.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+4'国际米兰球员坎帕尼亚罗拼抢犯规,对手获得控球权.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+4'弗拉德为Dnipro Dnipropetrovsk赢得一个任意球.                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
90'+5'下半场结束,国际米兰 2-1 Dnipro Dnipropetrovsk                   90'第90分钟，科诺片卡左路传中，替补前锋谢列兹尼奥夫头球入网，但越位在先
