1'上半场比赛开始！                   1'第1分钟两队都比较谨慎
50'穆萨基奥越位在先                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
50'慢镜来看判罚没有问题                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
50'罗德里格斯左路交给博纳文图拉，再分给罗马尼奥利                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
51'转移到中路，苏索晃动后左脚远射，汉达诺维奇将球托出横梁                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
51'AC米兰左路的角球                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
51'博纳文图拉传中，什克里尼亚尔头球解围                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
51'博里尼远射，汉达诺维奇倒地将球扑住                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
52'罗德里格斯回传后场，博努奇交给博里尼                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
52'长传上来，贝西诺顶给米兰达                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
52'直传，被断球                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
52'博里尼的长传，前插的库特罗内越位                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
52'米兰达带球，交给什克里尼亚尔                   49'AC米兰第49分钟进球无效，穆萨基奥直传，安德烈-席尔瓦禁区右侧变线摆脱，在门前13米处左脚低射击中左门柱内侧弹回，穆萨基奥右侧小角度补射入近角，但越位在先
56'佩里西奇接应巴雷罗传球时越位了                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
56'博里尼右路上来了，回传给苏索                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
57'苏索晃动后左脚弧线球打门，球擦着立柱内侧入网！                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
57'1：1                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'博努奇交给什克里尼亚尔，长传球，被拦截                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'罗马尼奥利控球，交给了罗德里格斯                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'斜长传交给了博里尼                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'传中，汉达诺维奇将球摘下                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'长友佑都长传，被苏索挡出边线                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
58'意甲著名的烟火又开始在场内蔓延                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
59'库特罗内分边，罗德里格斯传中，米兰达解围不远                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
59'还是AC米兰控球                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
59'穆萨基奥上来了，回传给苏索                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
59'回传一下，转移到了罗马尼奥利脚下                   56'AC米兰强攻终于收到成效，第56分钟，博里尼右侧卸下左路长传转移回敲，苏索虚晃闪开加利亚尔迪尼，在门前20米处左脚弧线球蹭草皮入远角，1比1
47'回复：用户fmoy21yszt 03:30 举报回复 国米加油（上场鼓励）                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
47'坎德雷瓦右路的强突，罗马尼奥利又是只能阻挡犯规                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
47'穆萨基奥的解围                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'博努奇直传被拦截                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'长友佑都直传，被穆萨基奥断球                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'博里尼接应交给比格利亚，转移给了罗德里格斯                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'传中打在了丹布罗西奥身上                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'直传，坎德雷瓦得球，送到中路的佩里西奇                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
48'佩里西奇交给贝西诺，远射，打偏了                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
49'AC米兰控球                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
49'苏索带球，分边给了博里尼                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
49'回做一下，穆萨基奥直传到梦内的席尔瓦                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
49'席尔瓦左脚劲射击中门柱，穆萨基奥补射入网！但是。。。                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
50'穆萨基奥越位在先                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
50'慢镜来看判罚没有问题                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
50'罗德里格斯左路交给博纳文图拉，再分给罗马尼奥利                   47'又过2分钟，博里尼右路传球，库特罗内争顶蹭到后点，博纳文图拉在门前8米处小角度低射被汉达诺维奇没收
81'斜长传找到了博里尼                   81'AC米兰第81分钟再度扳平
81'博里尼斜传后点，博纳文图拉倒地铲射，被汉达诺维奇扑了一下，但球还是越过了球门线！                   81'AC米兰第81分钟再度扳平
82'这球博纳文图拉铲射，汉达诺维奇挡住了，但球弹到立柱后再碰到汉达诺维奇的大腿反弹越过了门线                   81'AC米兰第81分钟再度扳平
82'要看看这球算在谁的帐上                   81'AC米兰第81分钟再度扳平
82'佩里西奇前场得球分给长友佑都                   81'AC米兰第81分钟再度扳平
83'下底传中被穆萨基奥挡出边线                   81'AC米兰第81分钟再度扳平
83'巴雷罗接应直传，加格里亚迪尼传中                   81'AC米兰第81分钟再度扳平
83'球打在比格利亚身上再反弹到加格里亚迪尼脚下出底线                   81'AC米兰第81分钟再度扳平
83'多纳鲁马长传上来                   81'AC米兰第81分钟再度扳平
84'罗马尼奥利控球                   81'AC米兰第81分钟再度扳平
84'转移给了穆萨基奥                   81'AC米兰第81分钟再度扳平
84'罗德里格斯外围来一脚远射，打偏了                   81'AC米兰第81分钟再度扳平
88'埃德尔带球，球碰自己手了                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
88'博纳文图拉左路拿球，过了卡塞洛                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
88'回传，比格利亚挑传，汉达诺维奇将球拿住                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
88'贝西诺事冲入禁区横拔                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
89'伊卡尔迪脚后跟传球，埃德尔跟进打门被罗德里格斯倒地封出底线                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
89'国际米兰的角球，中路人仰马翻！                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
90'罗德里格斯拉人犯规，点球！                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
90'伊卡尔迪准备主罚                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
90'伊卡尔迪骗过了多纳鲁马，推射球门右下角球进！                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
90'这有可能成为绝杀一球                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
91'伊卡尔迪上演帽子戏法                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
91'刚才罗德里格斯还吃到黄牌                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
91'下半场补时3分钟                   88'第88分钟，贝西诺中场长驱直入横传，伊卡尔迪脚后跟做球，埃德尔右侧距门12米处推射被里卡多-罗德里格斯挡出底线，国米右侧开出角球，丹布罗西奥遭里卡多-罗德里格斯抱摔倒地，点球
