4'范-迪吉克将球处理出底线,巴塞罗那获得角球.                   4'开场4分钟，阿尔维斯远射偏出
74'巴塞罗那换人,桑切斯换下佩德罗                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'马尔格鲁为凯尔特人赢得一个任意球.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'巴塞罗那球员布斯克茨拼抢犯规,对手获得控球权.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'黄牌！巴塞罗那球员布斯克茨因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'巴尔特拉为巴塞罗那赢得一个任意球.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
75'进球啦！！！巴塞罗那球员法布雷加斯大禁区中央头球,球从右上角飞进球门,球进了!助攻的是桑切斯. 凯尔特人 0-1 巴塞罗那.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
77'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
77'布斯克茨为巴塞罗那赢得一个任意球.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
77'黄牌！凯尔特人球员萨马拉斯因为恶意犯规,被主裁判出示黄牌.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
77'凯尔特人球员卡亚尔手球犯规,对手获得球权.                   74'第74分钟，桑切斯换下佩德罗，布斯克茨对马尔格鲁犯规，被黄牌警告
77'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
77'布斯克茨为巴塞罗那赢得一个任意球.                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
77'黄牌！凯尔特人球员萨马拉斯因为恶意犯规,被主裁判出示黄牌.                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
77'凯尔特人球员卡亚尔手球犯规,对手获得球权.                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
78'巴塞罗那换人,特略换下法布雷加斯                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
78'巴塞罗那球员哈维一脚直塞球给特略,但是边裁举旗显示后者已经越位.                   77'第77分钟，萨马拉斯对布斯克茨犯规吃到黄牌
89'凯尔特人球员卡亚尔拼抢犯规,对手获得控球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
89'伊涅斯塔为巴塞罗那在对方半场,赢得一个任意球.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
89'巴塞罗那换人,宋换下伊涅斯塔                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'萨马拉斯为凯尔特人赢得一个任意球.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'巴塞罗那球员桑切斯拼抢犯规,对手获得控球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'黄牌！巴塞罗那球员桑切斯因为恶意犯规,被主裁判出示黄牌.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+1'射门!!!巴塞罗那球员内马尔大禁区外右脚射门,被对方守门员横身扑出.给他传球的是桑切斯.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+2'巴塞罗那球员桑切斯手球犯规,对手获得球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+2'凯尔特人球员马尔格鲁一脚直塞球给詹姆斯-福雷斯特,但是边裁举旗显示后者已经越位.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+3'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+3'阿尔维斯为巴塞罗那赢得一个任意球.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+4'凯尔特人球员萨马拉斯拼抢犯规,对手获得控球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+4'阿尔维斯为巴塞罗那赢得一个任意球.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+5'范-迪吉克为凯尔特人赢得一个任意球.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+5'巴塞罗那球员内马尔拼抢犯规,对手获得控球权.                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
90'+5'下半场结束,凯尔特人 0-1 巴塞罗那                   88'第88分钟，内马尔禁区内左脚射门被福斯特倒地封出，桑切斯左侧补射又被福斯特封出近门柱
