1'上半场比赛开始！！                   1'切尔西第1分钟强力施压
52'摩西拿球下底，内切横传，被奥尔森挡出了底线                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
52'切尔西获得右侧角球机会！！                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
52'小法角球开出到禁区，速度不够，法比安斯基出击将球拿到                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
52'佩德罗中场右路拿球，遭遇三人围堵                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
53'奥尔森放铲，将球破坏出边线！                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
53'目前小法已经完成了4次射门，切尔西最高！！                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
53'西古德森前场拿球，内切摩西                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
53'面对路易斯的补防，穿裆，球被断啦                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
54'科克中场抢断，分球左侧给到奥尔森                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
54'奥尔森直塞给前插的卡罗尔                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
54'卡罗尔拿球内切，阿斯皮利奎塔回防卡位，球出底线                   51'切尔西第51分钟险些破门，阿扎尔禁区左侧下底回传，小法禁区边缘内第一时间射门打中横梁弹出
68'科克右路拿球，强突被阿隆索破坏出边线                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
68'费尔中场拿球，斜传转移到左侧找西古德森                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
68'西古德森拿球内切，挑过防守球员                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
69'西古德森面对补防的阿斯皮利奎塔，再挑                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
69'阿斯皮利奎塔有手球嫌疑，裁判没吹                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
69'阿斯皮利奎塔停球，将球大脚解围                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
70'切尔西的过顶球到禁区右侧找摩西                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
70'摩西头球摆渡到门前，科斯塔停球                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
70'费尔南德斯出脚一捅，科斯塔倒地                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
70'禁区混战中，科斯塔坐在了皮球上                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
70'裁判鸣哨，吹罚了科斯塔护球违例！                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
71'慢镜回放显示，西古德森之前挑过摩西，禁区再挑阿斯皮利奎塔，皮球貌似打在了后者的右手臂上！                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
71'可以说切尔西逃过一劫！！                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
71'切尔西进球！！2-1！！！                   68'第68分钟，西古德森摆脱摩西突入禁区左侧，他脚后跟挑球突破阿斯皮利奎塔时令后者手球犯规，但裁判未予判罚
72'佩德罗的进球！！                   72'切尔西第72分钟再次超出，小法传球，佩德罗25码处弧线球射门，法比安斯基扑救稍慢令皮球从手边滑过弹地入网，2-1
74'小法的直塞球给到佩德罗，佩德罗停球转身，禁区外的远射，法比安斯基倒地晚了点，球从其腋下弹地后入网！                   72'切尔西第72分钟再次超出，小法传球，佩德罗25码处弧线球射门，法比安斯基扑救稍慢令皮球从手边滑过弹地入网，2-1
75'全场比赛74分钟，切尔西再次领先！！                   72'切尔西第72分钟再次超出，小法传球，佩德罗25码处弧线球射门，法比安斯基扑救稍慢令皮球从手边滑过弹地入网，2-1
75'路易斯后场防守，踢翻了洛伦特，犯规                   72'切尔西第72分钟再次超出，小法传球，佩德罗25码处弧线球射门，法比安斯基扑救稍慢令皮球从手边滑过弹地入网，2-1
75'路易斯被主裁判出示了黄牌警告！！                   72'切尔西第72分钟再次超出，小法传球，佩德罗25码处弧线球射门，法比安斯基扑救稍慢令皮球从手边滑过弹地入网，2-1
84'3-1！！！                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
84'科斯塔的进球，锁定胜局！！                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
85'阿扎尔左路拿球，内切强突下底，倒三角回传门前，科斯塔前点凌空扫射，打进！！                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
85'切尔西换人：22号威廉和5号祖玛上，换下15号摩西和10号阿扎尔！                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
86'阿隆索左路拿球，面对逼抢，回传库尔图瓦                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
86'库尔图瓦大脚将球开到前场                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
87'奥尔森左路拿球，分球给到小阿尤                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
87'小阿尤拿球没机会，回传科克                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
87'科克再给后场的莫森，控制一下                   84'切尔西第84分钟锁定胜局，阿扎尔禁区左侧传中，科斯塔小禁区前凌空扫射入网，3-1
