5'射门!!!拜仁慕尼黑球员穆勒大禁区中央头球,被对方守门员横身扑出.给他传球的是里贝里.                   5'开场5分钟，里贝里左路传中，穆勒在门前11米处冲顶被特尔施特根没收
71'布劳维斯将球处理出底线,拜仁慕尼黑获得角球.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
72'拜仁慕尼黑球员丹特大禁区中央头球,被防守球员封堵.给他传球的是克罗斯.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
72'射门!!!拜仁慕尼黑球员里贝里大禁区外右脚射门,被对方守门员横身扑出.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
72'拜仁慕尼黑球员沙基里球门右侧小角度左脚射门,被防守球员封堵.给他传球的是穆勒.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
72'温特将球处理出底线,拜仁慕尼黑获得角球.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
73'温特将球处理出底线,拜仁慕尼黑获得角球.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
74'门兴球员诺德维特大禁区中央右脚射门,被防守球员封堵.给他传球的是赫尔曼.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
74'温特将球处理出底线,拜仁慕尼黑获得角球.                   71'第71分钟，戈麦斯突入禁区右侧被布劳韦斯铲倒，主裁判韦尔茨没给点球而是角球，克罗斯右侧开出，丹特在门前12米处头球被挡出，里贝里在门前25米处半凌空抽射被特尔施特根神勇封出左门柱
78'射门!!!拜仁慕尼黑球员阿拉巴球门左侧小角度左脚射门,被对方守门员横身扑出.给他传球的是里贝里.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
78'射门!!!拜仁慕尼黑球员施魏因斯泰格大禁区外右脚射门,被对方守门员横身扑出.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
79'丹特将球处理出底线,门兴获得角球.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
79'门兴换人,鲁普换下赫尔曼                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
80'门兴球员扬奇克拼抢犯规,对手获得控球权.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
80'博阿滕为拜仁慕尼黑赢得一个任意球.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
80'拜仁慕尼黑换人,皮萨罗换下穆勒                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
81'温特将球处理出底线,拜仁慕尼黑获得角球.                   78'第78分钟，阿拉巴在门前20米处低射被特尔施特根倒地没收
47'拜仁慕尼黑球员克罗斯一脚直塞球给穆勒,但是边裁举旗显示后者已经越位.                   47'补时第2分钟，克罗斯禁区右侧下底回敲，戈麦斯在在门前6米处准备射门，但扬奇克下铲破坏，拜仁错失绝杀
48'射门!!!拜仁慕尼黑球员施魏因斯泰格大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是穆勒.                   47'补时第2分钟，克罗斯禁区右侧下底回敲，戈麦斯在在门前6米处准备射门，但扬奇克下铲破坏，拜仁错失绝杀
50'拜仁慕尼黑球员穆勒一脚直塞球给里贝里,但是边裁举旗显示后者已经越位.                   47'补时第2分钟，克罗斯禁区右侧下底回敲，戈麦斯在在门前6米处准备射门，但扬奇克下铲破坏，拜仁错失绝杀
