1'上半场比赛开始！                   1'第1分钟主队占据优势
29'孔卡角球开前点，蔡慧康头球砸在横梁上出界！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
29'上港连续的围攻，一浪高过一浪                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
30'吕文君右路传中                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
30'上港进球了！！！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
30'达维！！！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
30'吕文君右路半高球传中到禁区，孔卡头球漏过，后插上的达维弹射入死角！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
30'上港2-0领先亚泰！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
31'用户3285152135：亚泰门将好火，要不然已经4:0了                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
31'伊斯梅洛夫后场大脚开出，还是上港球权                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
31'孔卡挑传禁区前，吕文君胸部卸球，垫射高出横梁！                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
32'吕文君前场拿球，犹豫了，被断                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
32'吕文君反抢犯规了                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
32'张笑飞左路和队友2过1，下底拿到一个角球                   29'连续进攻的上港第29分钟再次进球，达维中场分球后，自己往禁区里冲，吕文君观察一下后斜线送球入禁区，达维拍马赶到，直接起左脚凌空射门，皮球擦地飞入大门左侧，2比0
31'用户3285152135：亚泰门将好火，要不然已经4:0了                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
31'伊斯梅洛夫后场大脚开出，还是上港球权                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
31'孔卡挑传禁区前，吕文君胸部卸球，垫射高出横梁！                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
32'吕文君前场拿球，犹豫了，被断                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
32'吕文君反抢犯规了                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
32'张笑飞左路和队友2过1，下底拿到一个角球                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
33'杜震宇角球开门前，被头球解围，还是角球                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
33'这次去前点，高度不够                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
33'胡斯蒂左路传中，后点被孙祥解围                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
34'孔卡外围控球，杜震宇身后放倒了他                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
34'杜震宇左路直塞，被蔡慧康挡出边线                   31'第31分钟吕文君禁区外挑球后直接抽射稍稍高出
39'阿克斯斜传禁区，被出击的颜骏凌没收                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
39'孔卡挑传禁区，被宋振瑜没收                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
40'韩德明中场背身接应，被金周荣推倒                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
40'裴帅接应左路传球，领球进禁区，颜骏凌出击倒地把球封住                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
41'王燊超右路拿球，趟大了                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
41'顺势踩到了上抢的张笑飞腿上，犯规                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
42'胡斯蒂中场拿球，分右路                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
42'蒋哲右路逼抢孙祥，犯规了                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
42'80N90L：亚泰加油上港只喜欢孔卡                   39'第39分钟杜震宇左路传球，裴帅后脚跟巧妙卸球后单刀杀入禁区，但颜骏凌飞身出击把球死死压住
51'吕文君左路传中被宋振瑜没收                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
51'蒋哲斜传禁区前，韩德明没有拿到                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
51'上港进球了！！！                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
51'孔卡！！！                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
52'武磊中路突破撕破防线，直接面对宋振瑜横敲，孔卡推空门得手！                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
52'上港3-1领先亚泰！                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
52'韩德明背身拿球，金周荣抢断犯规了                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
53'孙祥后场大脚踢在对手身上出边线                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
54'杜震宇左路强行传中，被颜骏凌没收                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
54'孔卡左路做球给海森                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
54'海森到禁区前横带，再敲左路套上的孔卡                   51'第51分钟，上港中圈断球，武磊转身拿球后，利用速度快速从对方三人合围中杀了进去，顺利的直线趟球进入禁区，宋振瑜打算再来一次神勇扑单刀，但武磊及时把球转移到中路，无人看守的孔卡轻松推射空门得分，3比1
53'孙祥后场大脚踢在对手身上出边线                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
54'杜震宇左路强行传中，被颜骏凌没收                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
54'孔卡左路做球给海森                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
54'海森到禁区前横带，再敲左路套上的孔卡                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
55'孔卡小角度射门打在了边网上                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
55'马祖禁区内接应左路斜传，敲门前，没有队友包抄                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
55'武磊中场抢断，急停滑倒了                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
55'马祖右路传中，被头球解围                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
56'孔卡中路拿球，塞左侧肋部的海森，没有过去                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
56'吕文君右路拿球转身，也是滑倒了                   53'第53分钟上港连续配合，但孔卡最后左脚零角度射门打在边网上
64'孔卡左路拿球，出了边线                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
65'吕文君右路拿球被破坏出边线                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
65'武磊左路拿球，横敲禁区前                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
65'上港进球了！！！                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
65'达维！！！还是武磊的助攻！                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
66'武磊接应孔卡直塞进禁区左侧，没有选择自己打，回敲点球点，达维推射破门！                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
66'上港4-1领先亚泰！                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
66'用户3285152135：亚泰后防就靠门将                   64'第64分钟上港再次在左路掀起波澜，武磊左路带球，观察片刻后传球给孔卡，后者再往禁区腹地送球，武磊接球后突然倒三角往外传，导致长春所有防守队员一瞬间失去焦点，无人盯防的达维推射地滚球进，4比1，上港再次扩大比分
