2'曼联球员纳尼大禁区外右脚射门,被防守球员封堵.给他传球的是香川真司.                   1'双方第1分钟均显得小心谨慎
32'曼联球员鲁尼大禁区中央尝试头球,可惜皮球稍稍高出球门.给他传球的是纳尼.                   29'西布朗第29分钟险些破门，阿马尔菲塔诺左路传中，贝拉希诺10码处冲顶，皮球擦右侧立柱偏出
46'曼联球员埃尔南德斯大禁区中央左脚射门,被防守球员封堵.给他传球的是安德森.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
47'射门!!!西布罗姆维奇球员贝拉赫诺大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是斯瑟格农.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
47'德赫亚将球处理出底线,西布罗姆维奇获得角球.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
48'西布罗姆维奇球员乔纳斯-奥尔森拼抢犯规,对手获得控球权.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
48'鲁尼为曼联赢得一个任意球.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
48'西布罗姆维奇球员阿尼切贝拼抢犯规,对手获得控球权.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
48'纳尼为曼联赢得一个任意球.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
49'里奇维尔将球处理出底线,曼联获得角球.                   46'1分钟后，纳尼右路传中，鲁尼小禁区前头球攻门高出
45'布特纳将球处理出底线,西布罗姆维奇获得角球.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
45'西布罗姆维奇球员斯瑟格农小禁区左侧尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是雅各布.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
45'+2'里奇维尔为西布罗姆维奇赢得一个任意球.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
45'+2'曼联球员纳尼拼抢犯规,对手获得控球权.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
45'+4'上半场结束,曼联 0-0 西布罗姆维奇,稍事休息,我们一会来看看下半场两队的表现.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
45'曼联换人,贾努扎伊换下香川真司                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
46'曼联球员埃尔南德斯大禁区中央左脚射门,被防守球员封堵.给他传球的是安德森.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
47'射门!!!西布罗姆维奇球员贝拉赫诺大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是斯瑟格农.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
47'德赫亚将球处理出底线,西布罗姆维奇获得角球.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
48'西布罗姆维奇球员乔纳斯-奥尔森拼抢犯规,对手获得控球权.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
48'鲁尼为曼联赢得一个任意球.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
48'西布罗姆维奇球员阿尼切贝拼抢犯规,对手获得控球权.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
48'纳尼为曼联赢得一个任意球.                   45'西布朗第45分钟再失良机，雅克布接角球前点头球摆渡，塞塞尼翁小禁区左侧抽射打偏
82'曼联球员鲁尼一脚直塞球给费莱尼,但是边裁举旗显示后者已经越位.                   82'第37分钟，塞塞尼翁回传，贝拉希诺25码处射门偏出右侧立柱
83'西布罗姆维奇球员里奇维尔拼抢犯规,对手获得控球权.                   82'第37分钟，塞塞尼翁回传，贝拉希诺25码处射门偏出右侧立柱
83'菲尔-琼斯为曼联赢得一个任意球.                   82'第37分钟，塞塞尼翁回传，贝拉希诺25码处射门偏出右侧立柱
85'曼联球员纳尼一脚直塞球给费莱尼,但是边裁举旗显示后者已经越位.                   82'第37分钟，塞塞尼翁回传，贝拉希诺25码处射门偏出右侧立柱
47'射门!!!西布罗姆维奇球员贝拉赫诺大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是斯瑟格农.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
47'德赫亚将球处理出底线,西布罗姆维奇获得角球.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
48'西布罗姆维奇球员乔纳斯-奥尔森拼抢犯规,对手获得控球权.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
48'鲁尼为曼联赢得一个任意球.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
48'西布罗姆维奇球员阿尼切贝拼抢犯规,对手获得控球权.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
48'纳尼为曼联赢得一个任意球.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
49'里奇维尔将球处理出底线,曼联获得角球.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
50'曼联球员安德森大禁区外尝试左脚射门,可惜皮球高出球门.                   47'第47分钟，塞塞尼翁传球，贝拉希诺禁区左侧12码处劲射被德赫亚扑出近角
54'进球啦！！！西布罗姆维奇球员阿玛尔菲塔诺大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是穆隆布. 曼联 0-1 西布罗姆维奇.                   54'西布朗第54分钟打破僵局，穆卢姆布传球，从马赛租借而来的阿马尔菲塔诺径直突破费迪南德后进入禁区，最后在8码处晃倒德赫亚后挑射破门
57'西布罗姆维奇球员比利-琼斯拼抢犯规,对手获得控球权.                   54'西布朗第54分钟打破僵局，穆卢姆布传球，从马赛租借而来的阿马尔菲塔诺径直突破费迪南德后进入禁区，最后在8码处晃倒德赫亚后挑射破门
57'布特纳为曼联在左路,赢得一个任意球.                   54'西布朗第54分钟打破僵局，穆卢姆布传球，从马赛租借而来的阿马尔菲塔诺径直突破费迪南德后进入禁区，最后在8码处晃倒德赫亚后挑射破门
57'进球啦！！！曼联球员鲁尼右脚射门,球从右上角飞进球门,球进了! 曼联 1-1 西布罗姆维奇.                   54'西布朗第54分钟打破僵局，穆卢姆布传球，从马赛租借而来的阿马尔菲塔诺径直突破费迪南德后进入禁区，最后在8码处晃倒德赫亚后挑射破门
59'西布罗姆维奇球员穆隆布大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是贝拉赫诺.                   59'第59分钟，贝拉希诺传球，穆卢姆布远射偏出
60'鲁尼将球处理出底线,西布罗姆维奇获得角球.                   59'第59分钟，贝拉希诺传球，穆卢姆布远射偏出
61'西布罗姆维奇球员乔纳斯-奥尔森大禁区中央头球,命中门柱横梁.给他传球的是阿玛尔菲塔诺.                   59'第59分钟，贝拉希诺传球，穆卢姆布远射偏出
62'西布罗姆维奇球员斯瑟格农大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是阿尼切贝.                   59'第59分钟，贝拉希诺传球，穆卢姆布远射偏出
62'西布罗姆维奇球员斯瑟格农大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是阿尼切贝.                   62'第62分钟，鲁尼直传安德森，迈希尔及时出击从巴西人脚下没收皮球
65'斯瑟格农为西布罗姆维奇在对方半场,赢得一个任意球.                   62'第62分钟，鲁尼直传安德森，迈希尔及时出击从巴西人脚下没收皮球
65'曼联球员菲尔-琼斯拼抢犯规,对手获得控球权.                   62'第62分钟，鲁尼直传安德森，迈希尔及时出击从巴西人脚下没收皮球
65'黄牌！曼联球员菲尔-琼斯因为恶意犯规,被主裁判出示黄牌.                   62'第62分钟，鲁尼直传安德森，迈希尔及时出击从巴西人脚下没收皮球
65'斯瑟格农为西布罗姆维奇在对方半场,赢得一个任意球.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
65'曼联球员菲尔-琼斯拼抢犯规,对手获得控球权.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
65'黄牌！曼联球员菲尔-琼斯因为恶意犯规,被主裁判出示黄牌.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
66'射门!!!西布罗姆维奇球员阿玛尔菲塔诺大禁区外右脚射门,被对方守门员横身扑出.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
66'德赫亚将球处理出底线,西布罗姆维奇获得角球.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
67'进球啦！！！西布罗姆维奇球员贝拉赫诺大禁区外左脚射门,球从右下角飞进球门,球进了!助攻的是阿玛尔菲塔诺. 曼联 1-2 西布罗姆维奇.                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
68'曼联换人,费莱尼换下安德森                   65'第65分钟，菲尔-琼斯禁区前对塞塞尼翁战术犯规被罚黄牌，阿马尔菲塔诺25码处任意球直接射门，德赫亚飞身托出左上角
68'曼联换人,费莱尼换下安德森                   68'第68分钟，费莱尼换下安德森
70'西布罗姆维奇球员贝拉赫诺拼抢犯规,对手获得控球权.                   68'第68分钟，费莱尼换下安德森
70'费莱尼为曼联赢得一个任意球.                   68'第68分钟，费莱尼换下安德森
80'西布罗姆维奇球员斯瑟格农大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是穆隆布.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
80'西布罗姆维奇球员雅各布拼抢犯规,对手获得控球权.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
80'范佩西为曼联赢得一个任意球.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
81'西布罗姆维奇球员阿玛尔菲塔诺拼抢犯规,对手获得控球权.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
81'贾努扎伊为曼联在对方半场,赢得一个任意球.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
82'曼联球员鲁尼一脚直塞球给费莱尼,但是边裁举旗显示后者已经越位.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
83'西布罗姆维奇球员里奇维尔拼抢犯规,对手获得控球权.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
83'菲尔-琼斯为曼联赢得一个任意球.                   80'第80分钟，穆卢姆布头球摆渡，塞塞尼翁禁区边缘内劲射打偏出近角
