10'太靠近门将，切赫将球没收                   10'第10分钟，米尔纳斜传，亚亚-图雷禁区左侧底线附近的传中滑门而过
18'切尔西门前真是风声鹤唳                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
19'阿奎罗单刀机会！！！                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
19'想过门将，唉！没机会了                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
19'阿奎罗自己把球趟出了底线                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
19'切尔西这防守漏洞很多啊                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
19'曼城至少获得了两次必进球机会                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
20'席尔瓦再次拿到皮球，转身交给了亚亚图雷                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
21'左路有了空当，克里希的传中球被卡希尔顶出界外                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
21'曼城今天在中间排出三后腰看起来效果还不错                   18'第18分钟，路易斯传球失误被罗德维尔断下，席尔瓦斜传，阿圭罗禁区左侧晃过出击的切赫，但皮球却被带出底线
30'埃弗顿的主帅莫耶斯也到了现场                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
31'虽然没有进球，但是今天这场比赛并不沉闷                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
31'两队的攻防节奏进行得很快                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
31'唯一欠缺的就是进球                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
31'阿扎尔又一次面对萨巴莱塔，这一次没能过去                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
32'亚亚图雷为曼城逼得了一个角球                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
32'曼城上半场的第四次角球了                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
33'席尔瓦传后点，拉米雷斯头球一顶！                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
33'好险，曼城差点又抢到点                   30'第30分钟，克里希左路传中，罗德维尔小禁区边缘抢在路易斯之前头球攻门高出横梁
39'毕竟膝盖关节所在，被踢中很难受                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
39'罗德维尔都快成了中锋，几次传中球都是他在禁区里边抢点                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
39'阿奎罗底线传中，萨巴莱塔一脚抽射，被后卫挡出                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
39'曼城这次进攻又是差点进球                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
39'场上又有人倒地受伤                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
39'马塔...                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
40'还好问题并不大，比赛继续                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
40'切尔西得到了一个角球                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
41'马塔给前点，角度太低被解围出去                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
41'罗德维尔一脚远射！打得很突然                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
41'切赫不敢怠慢，单掌一托！角球了                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
42'又是罗德维尔抢到头球，甩头攻门！顶得太正                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
42'切赫将球接住了                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
42'切尔西定位球防守屡次被对方抢到头球                   39'第39分钟，阿圭罗禁区左侧传中，无人防守的萨巴莱塔禁区边缘内半凌空抽射被卡希尔头球顶出
41'马塔给前点，角度太低被解围出去                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
41'罗德维尔一脚远射！打得很突然                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
41'切赫不敢怠慢，单掌一托！角球了                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
42'又是罗德维尔抢到头球，甩头攻门！顶得太正                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
42'切赫将球接住了                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
42'切尔西定位球防守屡次被对方抢到头球                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
43'如果不是切赫，恐怕早就丢球了                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
43'科尔被萨巴莱塔铲倒在地                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
43'裁判掏出黄牌，给了萨巴莱塔                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
44'阿扎尔定位球传中，给得太低                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
44'登巴巴抢球又犯规了                   41'第41分钟，阿圭罗传球，罗德沃尔30码处远射被切赫托出横梁
43'如果不是切赫，恐怕早就丢球了                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
43'科尔被萨巴莱塔铲倒在地                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
43'裁判掏出黄牌，给了萨巴莱塔                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
44'阿扎尔定位球传中，给得太低                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
44'登巴巴抢球又犯规了                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
45'兰帕德大范围转移球，拉米雷斯没能在第一时间把球接住                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
45'上半场比赛差不多快结束了                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
46'恐怕进球得看下半场了                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
46'上半场要补时2分钟                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
46'曼城今天的犯规有些多，3名球员领有黄牌                   43'第43分钟，萨巴莱塔绊倒阿什利-科尔被罚黄牌，但阿扎尔任意球传中缺乏威胁
48'阿奎罗来了个倒勾打门！                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
48'来自席尔瓦的边路传中，阿奎罗半转身的倒勾打门！可惜打偏了                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
48'动作很漂亮，角度太偏                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
49'切尔西来了脚远射，兰帕德将球打在了罗德维尔的腿上                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
50'马塔转移下，阿扎尔在左路                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
50'内切之后自己打门！哈特终于做出了一次扑救，将球压在身下                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
50'上半场哈特几乎很少见到                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
50'亚亚图雷带球转身，突然的直塞！                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
50'可惜稍微给大了一些，切赫及时出击将球没收                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
51'点球！！！                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
51'登巴巴制造了点球                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
51'哈特出击的时候扑倒了登巴巴                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
51'兰帕德来操刀                   48'第48分钟，席尔瓦左路同亚亚-图雷踢墙配合后传中，阿圭罗12码处钩射偏出
52'被扑了出去！！！                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
52'神奇的扑救！                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
52'哈特将功补过，向右侧一扑！                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
52'切尔西只获得了一个角球                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
52'传中找到卡希尔，头球顶高了一些                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
53'米尔纳被绊倒在地，裁判还是没吹                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
53'今天曼城几次进攻中倒地裁判貌似都没有理会                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
53'这也引起了主场球迷的不满                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
54'罗德维尔继续在禁区里面制造威胁，停球可惜出了底线                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
55'席尔瓦挑过后卫头顶！                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
55'阿奎罗头球一点，没能第一时间打门！                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
55'可惜啊，这球停球之后再打已经被卡希尔卡住了角度                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
55'角球传中，阿奎罗把球拿下来                   52'切尔西第52分钟错失良机，伊娃诺维奇斜传，登巴-巴摆脱科洛-图雷突入禁区内被乔-哈特出击绊倒，兰帕德主罚点球低射左下角被乔-哈特神勇扑出
55'席尔瓦挑过后卫头顶！                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
55'阿奎罗头球一点，没能第一时间打门！                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
55'可惜啊，这球停球之后再打已经被卡希尔卡住了角度                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
55'角球传中，阿奎罗把球拿下来                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
57'阿奎罗又得到单刀！                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
57'米尔纳的直塞，阿奎罗面对切赫，挑过了门将！                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
57'可惜球还是打高了                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
57'阿奎罗浪费了3次绝佳机会了                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
58'切尔西在前场争抢犯规                   55'第55分钟，席尔瓦直传，阿圭罗突入禁区右侧的射门被卡希尔飞身封铲挡出
63'又是亚亚图雷！！！                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
63'席尔瓦底线转身，回敲给了插上的图雷，一趟之后闪开角度，推射球门远角！这一次打得太刁，切赫也是毫无办法                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
64'进球之后曼奇尼反倒坐不住了，站起来给球员提个醒                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
65'米尔纳传中，切赫出来把球摘下                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
65'切尔西要换人                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
65'奥斯卡和莫塞斯准备出场                   63'曼城第63分钟打破僵局，席尔瓦禁区左侧回传，亚亚-图雷晃过米克尔后禁区左肋11码处面对卡希尔推射远角入网
68'咦，字幕给错了吗                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
68'之前拉米雷斯并没有下去                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
68'换下的是阿扎尔                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
68'马塔的角球传中质量不高                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
68'今天马塔几次罚角球不是高就是低                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
68'相比之下席尔瓦的传球更具威胁                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
69'席尔瓦隐蔽的脚后跟传球，想象力不错，不过对方防守球员太多                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
71'VILLA-利亚群雄:换阿扎尔干什么！---阿扎尔今天在左边路发挥一般嘛                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
71'路易斯带球过了半场，要被抢断！                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
71'席尔瓦脚底下快得多，曼城反抢之后直传特维斯                   68'第68分钟，摩西和奥斯卡分别换下兰帕德和阿扎尔
81'贝尼特斯最后的杀手锏，搏命一击了                   81'第81分钟，托雷斯替换米克尔出场
81'科尔低平球传中，科洛图雷站位不错，大脚解围                   81'第81分钟，托雷斯替换米克尔出场
81'曼城在前面只留下了阿奎罗和特维斯                   81'第81分钟，托雷斯替换米克尔出场
81'这两人都是小快灵，打反击够用                   81'第81分钟，托雷斯替换米克尔出场
81'米尔纳有些跑不动了                   81'第81分钟，托雷斯替换米克尔出场
81'特维斯的传球出了边线                   81'第81分钟，托雷斯替换米克尔出场
82'图雷打远射！这球打得太偏                   81'第81分钟，托雷斯替换米克尔出场
83'曼城还有两个换人名额                   81'第81分钟，托雷斯替换米克尔出场
83'刚才看到哲科跟纳斯里都在场下热身                   81'第81分钟，托雷斯替换米克尔出场
84'特维斯！！！                   81'第81分钟，托雷斯替换米克尔出场
84'曼城2比0！                   81'第81分钟，托雷斯替换米克尔出场
85'这球打得无可挑剔，死角！                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
85'又是席尔瓦，横敲一下，特维斯抬脚就打，弧顶处的打门直挂死角                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
85'切尔西恐怕没什么希望了                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
86'点球没进，真是不能怪谁的                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
86'阿奎罗反跑，再传中，给大了出了边线                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
87'曼城只需要控制住球，等待比赛结束了                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
87'切尔西也有些抢不动，体力差不多了                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
88'亚亚图雷被路易斯绊倒，曼城的边路定位球                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
88'曼城定位球开出来，还是在中场控制                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
88'奥斯卡断球后交给了托雷斯                   85'曼城第85分钟扩大比分，阿圭罗带球突破受阻，席尔瓦传球，特维斯禁区弧顶劲射破门
