13'射门!!!不来梅球员埃利亚右侧很远处左脚射门,被对方守门员横身扑出.给他传球的是亨特.                   13'开场13分钟，埃利亚右侧禁区边缘左脚射门被诺伊尔得到
27'进球啦！！！拜仁慕尼黑球员范比滕大禁区中央头球,球从左下角飞进球门,球进了!助攻的是克罗斯. 不来梅 0-2 拜仁慕尼黑.                   27'第27分钟，克罗斯右侧开出任意球，范比滕小禁区前沿顶弹地球入左下角，2比0，不来梅首次单赛季德甲连续6轮至少丢2球
33'不来梅球员亨特直接任意球尝试左脚射门,可惜皮球稍稍高出球门.                   33'第33分钟，洪特右侧左脚任意球高出
33'不来梅球员卡尔迪罗拉一脚直塞球给亨特,但是边裁举旗显示后者已经越位.                   33'第33分钟，洪特右侧左脚任意球高出
35'不来梅球员加西亚手球犯规,对手获得球权.                   33'第33分钟，洪特右侧左脚任意球高出
36'拜仁慕尼黑球员里贝里大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.                   33'第33分钟，洪特右侧左脚任意球高出
46'卢金亚-穆隆戈蒂为不来梅赢得一个任意球.                   46'1分钟后，里贝里禁区边缘低射偏出
46'拜仁慕尼黑球员格策危险动作,对手获得控球权.                   46'1分钟后，里贝里禁区边缘低射偏出
46'拉菲尼亚将球处理出底线,不来梅获得角球.                   46'1分钟后，里贝里禁区边缘低射偏出
47'不来梅球员彼得森大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是加西亚.                   46'1分钟后，里贝里禁区边缘低射偏出
38'进球啦！！！拜仁慕尼黑球员里贝里大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是穆勒. 不来梅 0-3 拜仁慕尼黑.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
39'不来梅球员卡尔迪罗拉拼抢犯规,对手获得控球权.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
39'里贝里为拜仁慕尼黑在对方半场,赢得一个任意球.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
39'黄牌！不来梅球员卡尔迪罗拉因为恶意犯规,被主裁判出示黄牌.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
40'彼得森为不来梅赢得一个任意球.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
40'拜仁慕尼黑球员范比滕拼抢犯规,对手获得控球权.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
41'卢金亚-穆隆戈蒂为不来梅赢得一个任意球.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
41'拜仁慕尼黑球员曼朱基齐拼抢犯规,对手获得控球权.                   38'拜仁第38分钟再添一分， 穆勒右路反越位切入禁区低传，里贝里在门前6米处左脚停球右脚推进空门，3比0，不来梅上次德甲上半时丢3球是2004年5月2比6负勒沃库森
43'射门!!!不来梅球员亨特小禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是埃利亚.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
43'拜仁慕尼黑球员里贝里一脚直塞球给阿拉巴,但是边裁举旗显示后者已经越位.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
45'不来梅球员马基亚迪拼抢犯规,对手获得控球权.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
45'拉菲尼亚为拜仁慕尼黑在右路,赢得一个任意球.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
45'黄牌！不来梅球员马基亚迪因为恶意犯规,被主裁判出示黄牌.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
45'+1'上半场结束,不来梅 0-3 拜仁慕尼黑,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
46'卢金亚-穆隆戈蒂为不来梅赢得一个任意球.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
46'拜仁慕尼黑球员格策危险动作,对手获得控球权.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
46'拉菲尼亚将球处理出底线,不来梅获得角球.                   43'第43分钟，埃利亚直塞，洪特禁区右侧左脚小角度推射被诺伊尔封出
51'拜仁慕尼黑球员穆勒大禁区中央头球,被防守球员封堵.给他传球的是拉菲尼亚.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
51'卢金亚-穆隆戈蒂将球处理出底线,拜仁慕尼黑获得角球.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
51'不来梅球员彼得森拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
51'克罗斯为拜仁慕尼黑在右路,赢得一个任意球.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
52'拜仁慕尼黑球员里贝里大禁区外右脚射门,被防守球员封堵.给他传球的是阿拉巴.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
53'沃尔夫为不来梅赢得一个任意球.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
53'拜仁慕尼黑球员曼朱基齐拼抢犯规,对手获得控球权.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
54'射门!!!拜仁慕尼黑球员格策大禁区右侧右脚射门,被对方守门员横身扑出.                   51'下半时开始6分钟，拉菲尼亚右路传中，曼朱基奇冲顶被卢金亚挡出右门柱
46'卢金亚-穆隆戈蒂为不来梅赢得一个任意球.                   46'1分钟后，拉菲尼亚传中，曼朱基奇禁区内停球距门6米处外脚背弹射被沃尔夫封出左门柱
46'拜仁慕尼黑球员格策危险动作,对手获得控球权.                   46'1分钟后，拉菲尼亚传中，曼朱基奇禁区内停球距门6米处外脚背弹射被沃尔夫封出左门柱
46'拉菲尼亚将球处理出底线,不来梅获得角球.                   46'1分钟后，拉菲尼亚传中，曼朱基奇禁区内停球距门6米处外脚背弹射被沃尔夫封出左门柱
47'不来梅球员彼得森大禁区右侧尝试右脚射门,可惜皮球稍稍高出球门.给他传球的是加西亚.                   46'1分钟后，拉菲尼亚传中，曼朱基奇禁区内停球距门6米处外脚背弹射被沃尔夫封出左门柱
60'进球啦！！！拜仁慕尼黑球员曼朱基齐球门线跟前右脚射门,球从左下角飞进球门,球进了!助攻的是里贝里. 不来梅 0-4 拜仁慕尼黑.                   60'第60分钟，穆勒直传，里贝里禁区右侧下底低传，曼朱基奇后点勾进空门，4比0
61'不来梅换人,埃基吉换下迪桑托                   60'第60分钟，穆勒直传，里贝里禁区右侧下底低传，曼朱基奇后点勾进空门，4比0
61'不来梅换人,巴格弗雷德换下马基亚迪                   60'第60分钟，穆勒直传，里贝里禁区右侧下底低传，曼朱基奇后点勾进空门，4比0
61'拜仁慕尼黑换人,丹特换下博阿滕                   60'第60分钟，穆勒直传，里贝里禁区右侧下底低传，曼朱基奇后点勾进空门，4比0
68'进球啦！！！拜仁慕尼黑球员穆勒大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是格策. 不来梅 0-5 拜仁慕尼黑.                   68'第68分钟，拜仁左路起球，格策禁区右侧停球低传，穆勒前点距门10米处推入近角，5比0，不来梅首次德甲主场对拜仁丢5球，上次主场丢5球是1月对阵多特蒙德
70'拜仁慕尼黑换人,基希霍夫换下克罗斯                   68'第68分钟，拜仁左路起球，格策禁区右侧停球低传，穆勒前点距门10米处推入近角，5比0，不来梅首次德甲主场对拜仁丢5球，上次主场丢5球是1月对阵多特蒙德
71'不来梅换人,耶尔德勒姆换下亨特                   68'第68分钟，拜仁左路起球，格策禁区右侧停球低传，穆勒前点距门10米处推入近角，5比0，不来梅首次德甲主场对拜仁丢5球，上次主场丢5球是1月对阵多特蒙德
82'巴格弗雷德将球处理出底线,拜仁慕尼黑获得角球.                   82'第82分钟，皮萨罗禁区左侧背身倚人脚后跟磕球，阿拉巴下底传中，里贝里在门前5米处轻松推进，6比0
82'进球啦！！！拜仁慕尼黑球员里贝里球门线跟前右脚射门,球从左上角飞进球门,球进了!助攻的是阿拉巴. 不来梅 0-6 拜仁慕尼黑.                   82'第82分钟，皮萨罗禁区左侧背身倚人脚后跟磕球，阿拉巴下底传中，里贝里在门前5米处轻松推进，6比0
