59'鲁能泰山队长传球！佩莱争抢时踢到了曹阳！                   59'第59分钟，阿奇姆彭制造点球，他亲自操刀主罚以勺子点球破门
65'天津泰达队再得角球机会                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
65'买提江发角球到后点！对方破坏出来！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
65'阿切安庞前场得球，突破交给米克尔！                   62'第17分钟，天津泰达再次尝试远射，但球打在防守队员身上出底线
68'郭皓外围远射！！王大雷没收！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
68'刘军帅争顶犯规！天津泰达队后场任意球！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
69'后场鲁能泰山队得球，走左路反击！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
69'随着比赛时间越来越少！鲁能泰山队员心态有些变化！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
69'塔尔德利中场得球，鲁能泰山队中路反击！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
70'佩莱把球转移到右路，张驰交给塔尔德利！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
70'塔尔德利分边！张驰横传禁区，佩莱倒地倒勾没能打上！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
70'外围鲁能泰山队得球！远射偏出！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
71'鲁能泰山队后场得球！大脚长传，巴斯蒂安斯把球顶回来！                   68'第23分钟，天津泰达突进中回传，惠家康禁区外大力远射，球被王大雷勉强挡出
72'天津泰达队右路直传进攻！被破坏出边线                   72'第27分钟，山东鲁能获得第一次射门机会
73'界外球发出来！                   72'第27分钟，山东鲁能获得第一次射门机会
73'天津泰达队右路传球进攻！                   72'第27分钟，山东鲁能获得第一次射门机会
73'天津泰达队在前场抢球犯规！                   72'第27分钟，山东鲁能获得第一次射门机会
73'鲁能泰山队左路横传禁区！对方破坏出来！                   72'第27分钟，山东鲁能获得第一次射门机会
74'惠家康后场控球，张驰抢球犯规！                   72'第27分钟，山东鲁能获得第一次射门机会
75'巴斯蒂安斯后场得球！右路长传进攻！                   72'第27分钟，山东鲁能获得第一次射门机会
75'皮球直接出边线                   72'第27分钟，山东鲁能获得第一次射门机会
75'界外球发出来！吴兴涵分边                   72'第27分钟，山东鲁能获得第一次射门机会
82'吴兴涵禁区内接球！横传球被对方后卫护球交给杜佳！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
82'阿切安庞在前场右路接球！戴琳背后犯规！吃到黄牌！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
83'任意球发到禁区内！！！王大雷出击没能拿到球！门前混乱，插上队员头球顶了一下，很高啊！！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
83'皮球落下来，王大雷回防把球打出！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
84'角球发到禁区内前点！对方把球破坏出来！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
85'蒿俊闵后场抢球犯规！！天津泰达队再得任意球机会                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
85'不过从慢镜来看，是进攻队员压人犯规！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
85'买提江发任意球直接打门，虽然偏了！王大雷还是没收！                   82'第37分钟，金敬道突入禁区，被对方后卫碰倒在地，但主裁判并未判罚点球
68'郭皓外围远射！！王大雷没收！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
68'刘军帅争顶犯规！天津泰达队后场任意球！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
69'后场鲁能泰山队得球，走左路反击！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
69'随着比赛时间越来越少！鲁能泰山队员心态有些变化！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
69'塔尔德利中场得球，鲁能泰山队中路反击！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
70'佩莱把球转移到右路，张驰交给塔尔德利！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
70'塔尔德利分边！张驰横传禁区，佩莱倒地倒勾没能打上！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
70'外围鲁能泰山队得球！远射偏出！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
71'鲁能泰山队后场得球！大脚长传，巴斯蒂安斯把球顶回来！                   68'第68分钟，米克尔得球斜塞撕开山东鲁能防线，惠家康突入禁区直面王大雷，但是他的捅射被王大雷挡出底线
79'还是吹到了蒿俊闵进球！                   79'第79分钟，山东鲁能扳平比分
79'战术角球发出来！蒿俊闵左路斜射！！谁也没能碰到！皮球直接入网！！！                   79'第79分钟，山东鲁能扳平比分
79'天津泰达队要换人啦！                   79'第79分钟，山东鲁能扳平比分
80'李源一上场，换下杨帆！                   79'第79分钟，山东鲁能扳平比分
80'天津泰达队右路直传球！对方破坏出边线                   79'第79分钟，山东鲁能扳平比分
80'界外球发出来！米克尔回传一脚！                   79'第79分钟，山东鲁能扳平比分
80'阿切安庞横向带球                   79'第79分钟，山东鲁能扳平比分
80'突然劲射！吉尔把球挡出来！                   79'第79分钟，山东鲁能扳平比分
81'被扳平后天津泰达队也有些着急！                   79'第79分钟，山东鲁能扳平比分
81'买提江前场得球一脚远射！！皮球偏出！                   79'第79分钟，山东鲁能扳平比分
81'王大雷大脚开球到前场！对方争顶下来！                   79'第79分钟，山东鲁能扳平比分
82'吴兴涵禁区内接球！横传球被对方后卫护球交给杜佳！                   79'第79分钟，山东鲁能扳平比分
82'阿切安庞在前场右路接球！戴琳背后犯规！吃到黄牌！                   79'第79分钟，山东鲁能扳平比分
82'吴兴涵禁区内接球！横传球被对方后卫护球交给杜佳！                   82'第82分钟，买提江禁区外远射稍稍偏出
82'阿切安庞在前场右路接球！戴琳背后犯规！吃到黄牌！                   82'第82分钟，买提江禁区外远射稍稍偏出
83'任意球发到禁区内！！！王大雷出击没能拿到球！门前混乱，插上队员头球顶了一下，很高啊！！                   82'第82分钟，买提江禁区外远射稍稍偏出
83'皮球落下来，王大雷回防把球打出！                   82'第82分钟，买提江禁区外远射稍稍偏出
84'角球发到禁区内前点！对方把球破坏出来！                   82'第82分钟，买提江禁区外远射稍稍偏出
85'蒿俊闵后场抢球犯规！！天津泰达队再得任意球机会                   82'第82分钟，买提江禁区外远射稍稍偏出
85'不过从慢镜来看，是进攻队员压人犯规！                   82'第82分钟，买提江禁区外远射稍稍偏出
85'买提江发任意球直接打门，虽然偏了！王大雷还是没收！                   82'第82分钟，买提江禁区外远射稍稍偏出
87'吴兴涵在前场得球！！高嘉润上抢犯规！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
87'鲁能泰山队得到位置不错的任意球机会！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
88'蒿俊闵发任意球直接打门！！可惜打高！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
88'杜佳大脚开球过中场！对方争顶下来                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
89'鲁能泰山队长传球到前场！！对方抢断下来！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
89'惠家康左路带球进攻！崔鹏犯规！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
89'崔鹏亮鞋底了！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
89'这动作确实有些大！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
89'米克尔怎么了？吃到了黄牌！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
90'他在向裁判理论着什么！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
90'自领黄牌！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
90'天津泰达队再次换人：换上20号                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
90'阿切安庞在前场得球！                   87'第87分钟，刚刚替补登场的高嘉润放倒吴兴涵，送给山东鲁能禁区前任意球，蒿俊闵直接射门高出
