11'天津泰达今天身穿白色球衣！                   9'第9分钟，泰达继续攻势，外围长传球到右路，乔纳森内切左脚一记搓射高出横梁
44'挑传禁区左侧！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
44'惠家康得球下底！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
45'传中到小禁区前沿！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
45'乔纳森力压防守头球攻门！！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
45'GOOOOOOOOOOOOOOOOOOOOOAL！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
46'上半场补时2分钟！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
46'巴索戈中场拿球被犯规了！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
47'任意球快发给伊沃！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
47'伊沃被买提江铲倒！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
47'裁判给了买提江黄牌！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
47'河南建业前场右侧任意球！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
46'裁判哨响！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
46'下半场开始了！                   44'第44分钟，泰达再下一城，前场左边路惠家康送出精准传中，皮球准确找到后点的乔纳森，乔纳森高高跃起力压柯钊头槌破门，泰达2-0扩大领先优势
46'上半场补时2分钟！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
46'巴索戈中场拿球被犯规了！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
47'任意球快发给伊沃！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
47'伊沃被买提江铲倒！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
47'裁判给了买提江黄牌！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
47'河南建业前场右侧任意球！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
48'裁判哨响！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
48'上半场比赛结束！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
48'天津泰达2比0领先河南建业！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
46'裁判哨响！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
46'下半场开始了！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'建业反击长传！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'双方拼抢！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'胡靖航得球！左侧被犯规了！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'球给左侧柯钊！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'传中到后点！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
49'被解围了！                   46'第46分钟，王飞突破被放倒，泰达获得前场定位球机会，泰达定位球开出被伊沃断下
52'乔纳森长传前场左侧！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
52'传中到禁区内！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
52'球偏出了边线！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
52'建业换人了！杨阔换下王飞！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
55'巴索戈得球失误！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
55'冯卓毅抢回来！                   52'第52分钟，巴索戈不满判罚砸了一下皮球吃到了黄牌
58'伊沃得球交给里卡多！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'回传失误了！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'阿奇姆彭右侧人球分过！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'柯钊铲出了边线！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'边线球给出来！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'里卡多得球长传！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
58'巴斯蒂安斯解围了！                   57'第57分钟，泰达反击，右边路阿奇姆彭人球分过，柯钊直接倒地铲球出边线
65'惠佳康连续突破！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
65'分球被破坏出界！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
66'巴索戈得球突破！交给伊沃！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
66'伊沃远射打中防守球员！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
66'球出了底线！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
66'伊沃角球给前点！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
66'被解围出去！                   63'第63分钟，泰达进攻，赵宏略回敲给赵英杰，后者内切远射偏出底线
75'阿奇姆彭分左侧赵宏略！                   75'第75分钟，杨帆换下了乔纳森
75'小范围配合！                   75'第75分钟，杨帆换下了乔纳森
75'泰达左侧传中！                   75'第75分钟，杨帆换下了乔纳森
75'被解围出去！                   75'第75分钟，杨帆换下了乔纳森
75'伊沃得球直塞右侧里卡多！                   75'第75分钟，杨帆换下了乔纳森
75'里卡多斜传禁区！                   75'第75分钟，杨帆换下了乔纳森
75'巴索戈得球横传！                   75'第75分钟，杨帆换下了乔纳森
75'伊沃推射空门！                   75'第75分钟，杨帆换下了乔纳森
75'但是越位了！                   75'第75分钟，杨帆换下了乔纳森
76'泰达换人了！                   75'第75分钟，杨帆换下了乔纳森
76'杨帆换下乔纳森！                   75'第75分钟，杨帆换下了乔纳森
78'建业用马兴煜换下冯卓毅！                   75'第75分钟，杨帆换下了乔纳森
79'马兴煜分给胡靖航！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
79'交给伊沃！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
79'斜传马兴煜！直接一脚远射！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
79'偏出了底线！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
80'杜佳长传前场！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
80'马兴煜得球长传前场左侧！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
80'球出了边线！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
80'后场球给出来！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
81'顾操得球交给伊沃！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
82'里卡多拼抢犯规了！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
82'顾操得球交给马兴煜！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
82'直塞给巴索戈！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
82'直接内切远射！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
82'被挡出去！                   79'第79分钟，伊沃斜传给马兴煜，后者横拉一步直接远射可惜没打上力量
86'泰达换人！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
86'赵英杰被曹阳换下！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
86'顾操长传前场！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
86'泰达的拼抢犯规！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
86'建业中路任意球！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
86'距离球门28米！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
88'伊沃直接远射！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
88'球打高了！                   86'第86分钟，建业获得定位球机会，伊沃直接打门高出横梁
93'马兴煜分左侧柯钊！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'传中到后点！被解围出去！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'外围拼抢泰达的犯规！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'建业任意球给到禁区后点！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'巴索戈得球反击！被断了！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'顾操得球给到禁区弧顶！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'巴索戈得球挑传禁区！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
93'被解围出了底线！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
95'角球给到中路！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
95'被解围出去！                   92'第92分钟，建业获得定位球机会，任意球开到禁区后，巴索戈拿球被断下
