2'帕尔马球员桑塔克罗切拼抢犯规,对手获得控球权.                   1'第1分钟，AC米兰主动出击，但难以找到射门机会
41'AC米兰球员德斯特罗大禁区中央右脚射门,被防守球员封堵.给他传球的是本田圭佑.                   39'第39分钟，罗德里格斯分球，巴雷拉禁区右侧低射被迭戈-洛佩斯扑出，拉米拿球后没有直接破坏，而是想晃过对方球员，结果被诺切里诺断下，诺切里诺射门太正，被迭戈-洛佩斯得到
57'进球啦！！！AC米兰球员梅内斯大禁区右侧左脚射门,球从左下角飞进球门,球进了!助攻的是切尔奇. AC米兰 2-1 帕尔马.                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
58'帕尔马球员瓦雷拉拼抢犯规,对手获得控球权.                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
58'梅内斯为AC米兰在左路,赢得一个任意球.                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
60'帕尔马球员加洛帕拼抢犯规,对手获得控球权.                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
60'埃辛为AC米兰赢得一个任意球.                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
60'帕尔马换人,里斯波利换下桑塔克罗切                   57'下半时开始后，切尔奇表现活跃，连续策动几次进攻，第57分钟终于帮助球队再度领先，他突破罗德里格斯后禁区右侧回敲，梅内在门前13米处左脚低射穿后卫裆下入远角，2比1，这是他本赛季联赛第12球，创造个人单赛季联赛进球纪录，其中攻入帕尔马4球(主客场各2球)
64'射门!!!帕尔马球员罗德里格斯大禁区外左脚射门,被对方守门员横身扑出.                   64'第64分钟，罗德里格斯禁区前沿半凌空射门被迭戈洛佩斯得到
65'帕尔马换人,马奥利换下马里加                   64'第64分钟，罗德里格斯禁区前沿半凌空射门被迭戈洛佩斯得到
66'安德烈-科斯塔为帕尔马赢得一个任意球.                   64'第64分钟，罗德里格斯禁区前沿半凌空射门被迭戈洛佩斯得到
66'AC米兰球员梅内斯拼抢犯规,对手获得控球权.                   64'第64分钟，罗德里格斯禁区前沿半凌空射门被迭戈洛佩斯得到
66'射门!!!AC米兰球员切尔奇大禁区外左脚射门,被对方守门员横身扑出.给他传球的是德斯特罗.                   64'第64分钟，罗德里格斯禁区前沿半凌空射门被迭戈洛佩斯得到
75'射门!!!AC米兰球员蒙塔里大禁区外左脚射门,被对方守门员横身扑出.                   75'第75分钟，梅内突破防线无私横传，切尔奇禁区右侧趟过戈比射门，被米兰特扑出底线
75'帕尔马球员戈比拼抢犯规,对手获得控球权.                   75'第75分钟，梅内突破防线无私横传，切尔奇禁区右侧趟过戈比射门，被米兰特扑出底线
75'切尔奇为AC米兰赢得一个任意球.                   75'第75分钟，梅内突破防线无私横传，切尔奇禁区右侧趟过戈比射门，被米兰特扑出底线
76'进球啦！！！AC米兰球员扎卡尔多大禁区中央左脚射门,球从左上角飞进球门,球进了!助攻的是梅内斯. AC米兰 3-1 帕尔马.                   75'第75分钟，梅内突破防线无私横传，切尔奇禁区右侧趟过戈比射门，被米兰特扑出底线
77'帕尔马换人,Lukas Haraslin换下瓦雷拉                   75'第75分钟，梅内突破防线无私横传，切尔奇禁区右侧趟过戈比射门，被米兰特扑出底线
