1'上半场比赛开始！                   1'开场1分钟国安利用前场抢断形成首次攻势，邵佳一大力远射将球打飞
40'王晓龙禁区前接乌塔卡回敲，远射打偏！                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
41'哈蒂布前场拼抢被吹了犯规                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
41'莫雷诺右路拿球被徐云龙绊倒，任意球                   38'第38分钟，乌塔卡争高点为国安策动攻势，张稀哲向右侧带球过程中连续虚晃，挑射时打高
44'朴成前场斜传禁区，球被王大雷没收                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
44'国安进球了！！！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
45'但是边裁示意越位！邵佳一！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
45'邵佳一禁区内接应队友传中，甩头攻门入网，但是越位在先                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
45'进球无效                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
45'国安马上再进一球！这次没有问题！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'进球的是乌塔卡！！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'乌塔卡接应队友传球，带入禁区晃开李建滨的防守，低射远角叩开王大雷的十指关！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'北京国安1-0领先上海申花！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'上半场补时3分钟                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
47'申花右路传中，直接传出了底线                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'下半场比赛开始！                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'申花力争要在后45分钟里扳回比分                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
46'王晓龙前场拿球被郑凯木绊倒                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
47'之前柏佳骏和邵佳一在争顶中双双倒地，接受治疗                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
47'应该没有大碍                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
47'张稀哲任意球开后点，王长庆大脚解围                   44'第44分钟，国安右路连续传中，朴成找到禁区中路的邵佳一，后者头球破门，但被判定越位无效，慢镜头显示越位判罚准确
49'上半场比赛结束！                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
49'张稀哲直塞禁区被李建滨拦截                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
49'托兰佐中场拿球转身，斜向送到禁区内，杨智抢在哈蒂布之前倒地把球没收                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
50'张稀哲前场做球被托兰佐破坏                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
50'哈蒂布中场拿球摆脱，申花转移右路进攻                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
50'张稀哲中场斜传左路身后，戴琳抢先解围出边线                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
51'张辛昕左路传中到门前，邵佳一抢点打在李建滨身上折射，王大雷反应很快把球托出，角球！                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
51'朴成左路接应张稀哲回敲，似传似射旋远角打高                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
52'宋博轩左路背身接应，周挺推人犯规了                   49'进入下半场申花连续在前场打出快速传递，第49分钟，托兰佐斜传几乎为哈蒂布创造单刀机会，杨智及时出击将球拦截
56'莫雷诺中场拿球遭到马季奇顶防，球丢了                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
56'国安再进一球！                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
56'乌塔卡梅开二度！！                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
56'王晓龙送身后，乌塔卡反越位进禁区，推远角破门！                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
56'国安2-0领先申花！                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
57'宋博轩前场接应，手触球了                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
58'王长庆右路助攻，下底横扫中路，达迪没有接应上                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
58'外围托兰佐抢第二落点，球趟大了                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
58'右路王长庆拼抢犯规了                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
58'郑凯木中场拦截绊人犯规                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
59'宋博轩拿球过中场被拦截，国安反击                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
59'周挺右路传后点被王长庆解围                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
59'莫雷诺后场拿球，张辛昕拉人了                   56'第56分钟，国安将比分扩大――国安中场抢断后张稀哲策动攻势，王晓龙左侧直接将球垫给了中路并不越位的乌塔卡，乌塔卡前冲形成单刀球，禁区内面对王大雷冷静斜射破门，国安2-0领先
60'莫雷诺斜传左路，周挺把球破坏                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
60'宋博轩左路接应柏佳骏回敲，球又趟大了                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
60'达迪禁区内接应队友传中，转身射门被封堵                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
61'国安长传反击被戴琳拦截                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
61'乌塔卡禁区右侧拿球，横扫被李建滨铲出底线                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
62'乌塔卡右路传中被郑凯木解围，外围张稀哲倒地扫射被王大雷扑了一下，球砸在横梁上弹回，王大雷再把球抱住！                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
62'宋博轩左路传中被郎征头球解围                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
63'莫雷诺中场断球，走右边路突破反击                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
63'莫雷诺斜传禁区前，达迪插上禁区内迎球抽射远角打偏！                   60'第60分钟，托兰佐左路传中，达迪禁区中路停球攻门被国安防线封堵
63'莫雷诺中场断球，走右边路突破反击                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
63'莫雷诺斜传禁区前，达迪插上禁区内迎球抽射远角打偏！                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
64'乌塔卡禁区前做球，李建滨倒地拦截                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
64'张稀哲左路突破，闪过包夹被绊倒，任意球                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
65'张稀哲任意球横敲禁区内，一片混战                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
65'托兰佐解围没有踢上，乌塔卡拉球被李建滨界外                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
65'国安角球去前点，达迪头球解围                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
66'申花左路进攻配合失误                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
66'王晓龙右路传中，前点被李建滨解围                   63'申花在第63分钟错过机会，莫雷诺中场抢断后右路连过两人分球到左侧空档，达迪禁区内面对杨智攻门打偏
70'申花角球被解围，继续角球没有形成威胁                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
71'莫雷诺后场出球直接给到张稀哲脚下                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
71'朴成禁区前远射被封堵                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
72'托兰佐中场丢球了                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
72'乌塔卡拿球进禁区，在戴琳干扰下倒地，裁判示意比赛继续                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
72'王长庆右路传中，球直接被杨智摘下                   69'第69分钟，申花由哈蒂布左侧斜传，莫雷诺禁区内抢点头球顶偏
70'申花角球被解围，继续角球没有形成威胁                   70'第70分钟，朴成外围攻门被封堵
71'莫雷诺后场出球直接给到张稀哲脚下                   70'第70分钟，朴成外围攻门被封堵
71'朴成禁区前远射被封堵                   70'第70分钟，朴成外围攻门被封堵
72'托兰佐中场丢球了                   70'第70分钟，朴成外围攻门被封堵
72'乌塔卡拿球进禁区，在戴琳干扰下倒地，裁判示意比赛继续                   70'第70分钟，朴成外围攻门被封堵
72'王长庆右路传中，球直接被杨智摘下                   70'第70分钟，朴成外围攻门被封堵
73'柏佳骏左路顶防邵佳一犯规了                   70'第70分钟，朴成外围攻门被封堵
73'柏佳骏左路顶防邵佳一犯规了                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
74'邵佳一起身顶撞柏佳骏被拉开                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
74'申花换人，宋博轩被姜坤换下                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
75'姜坤左路接应哈蒂布做球，直接斜传禁区被杨智拿到                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
76'柏佳骏左路插上敲给姜坤，后者传中被拦截                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
76'国安后场传接球捣脚                   73'第73分钟，柏佳俊背后逼抢邵佳一时连续有踢人动作，邵佳一很愤怒地向柏佳俊理论被双方球员分开
89'格隆禁区右侧接卡努特做球，拉开角度斜射打偏                   88'第88分钟，格隆突入禁区右侧后低射打偏
89'格隆底线前吸引三人包夹，李建滨把球断走                   88'第88分钟，格隆突入禁区右侧后低射打偏
89'达迪右路拿球被徐云龙破坏出边线                   88'第88分钟，格隆突入禁区右侧后低射打偏
90'哈蒂布禁区内回敲，戴琳跟上射门打高！                   88'第88分钟，格隆突入禁区右侧后低射打偏
91'国安换人，张呈栋换下了王晓龙                   88'第88分钟，格隆突入禁区右侧后低射打偏
91'下半场补时3分钟！                   88'第88分钟，格隆突入禁区右侧后低射打偏
47'申花右路传中，直接传出了底线                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'邵佳一前场传球被郑凯木拦截                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'申花反击，宋博轩斜传转移力量太大                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'柏佳骏后场直传球找禁区前的哈蒂布，球给出了底线                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
49'上半场比赛结束！                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
47'之前柏佳骏和邵佳一在争顶中双双倒地，接受治疗                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
47'应该没有大碍                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
47'张稀哲任意球开后点，王长庆大脚解围                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'托兰佐斜传找到哈蒂布，哈蒂布回敲                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'王长庆右路传中被解围                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
48'宋博轩左路拿球，传球被邵佳一破坏                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
49'张稀哲直塞禁区被李建滨拦截                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
49'托兰佐中场拿球转身，斜向送到禁区内，杨智抢在哈蒂布之前倒地把球没收                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
50'张稀哲前场做球被托兰佐破坏                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
50'哈蒂布中场拿球摆脱，申花转移右路进攻                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
50'张稀哲中场斜传左路身后，戴琳抢先解围出边线                   47'补时第2分钟，格隆推进中于禁区外弧线球攻门打偏
