4'河南建业队左路控球，左侧的传中球被顾超没收                   4'第4分钟，河南建业队前场左路起球直接旋向球门，顾超出击将球稳稳摘下
46'河南建业队走右路推进，中场阿甘把球拦截下来                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
46'主裁判一声哨响，上半场比赛结束                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
47'凭借18分钟约翰逊的进球和45分钟拉斐尔的进球，河南建业队2－0领先杭州绿城！                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
46'下半场比赛开始                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
46'河南建业队长传球到前场，防守队员头球顶给门将                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
47'杭州绿城队左路推进，禁区前沿球被拦截                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
47'杭州绿城队前场抢断，汪嵩的传中，桑科大脚踢出来                   44'第44分钟，阿甘禁区前沿接队友回做拔脚怒射高出横梁
50'石柯后场得球，大脚开到中场被对方抢下来                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
50'约翰逊前场左侧控球，连续晃倒两名队员，斜传到门前，石柯大脚解围                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
50'约翰逊今天状态不错！                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
50'杭州绿城队两名外援则显得有点沉闷                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
51'杭州绿城队右侧控球，汪嵩分球给阿甘，后者带球交到王林的脚下                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
51'河南建业队断球长传，直接找约翰逊，石柯冲抢把球碰出了边线                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
53'河南建业队中场控球，约翰逊接应横敲球被拦截下来                   50'下半场易边再战，第50分钟约翰逊前场左侧控球，连续晃倒两名队员斜传到门前，石柯赶紧大脚解围
57'河南建业队获得角球机会                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
57'角球开到后点，头球摆渡，第二落点被对方抢到顶出来                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
58'外围河南建业队再次抢断，尹鸿博的打门偏出底线                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
58'河南建业队今天的就地逼抢做得不错，而且也很有效果                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
59'人缘太山的天空建业加油。靠自己是最可靠的。【是呀，机会应该把握在自己手中】                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
59'河南建业队还想要继续扩大比分呀，进攻势头不减                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
60'孙大镐控球，转移到赵宇豪的脚下，直传球找拉蒙，球传大了                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
60'河南建业队准备换人：张帅上场换下了祝一帆                   57'第57分钟，建业队开出角球第一点被顶出，外围建业队反抢成功尹鸿博的打门偏出
64'接下来对杭州绿城队来说将变得更加困难了！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
64'拉斐尔进球！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
65'河南建业队中路的直塞球穿透了对方的防线，拉斐尔突入禁区内面对门将扫射破门！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
65'拉斐尔梅开二度，可以说锁定胜局啦！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
66'少一人落后三球，本场比赛对杭州绿城队来说变得非常困难了！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
67'阿甘被桑科挤倒之后，倒在地上还踢了桑科一脚，这可完全是报复性的动作呀！                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
67'不过主裁判和裁判都没看到，也没有给牌！不过慢镜回放，确实有点不应该呀                   64'河南建业队在第64分钟继续进球――张帅前场中路的直塞球穿透对方防线，拉斐尔快速前插入禁区，他领好球在后卫回追和门将出击封堵的包夹之下，仍冷静推射远角，皮球越过顾超滚入球门，3-0
77'河南建业队的进攻赢得一个角球机会                   75'第75分钟尹鸿博重炮远射打高
77'角球开到禁区内，顾操抢点头球攻门偏出底线                   75'第75分钟尹鸿博重炮远射打高
77'河南建业队中场控球，在阿甘的逼他下把球回传给了门将                   75'第75分钟尹鸿博重炮远射打高
78'孙大镐控球，转移到顾超的脚下，直接起脚开过中场，尹鸿博争顶时犯规                   75'第75分钟尹鸿博重炮远射打高
90'河南建业队用完了三个换人名额                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
90'河南建业了前场控球，转移到李昭楠的脚下，回作给了莫扎帕                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
90'下半场比赛补时4分钟                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
92'杭州绿城队右侧是控球，王林挑传球想给汪嵩，直接出了边线                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
92'杭州绿城队后场抢断下来，王林直塞球给汪嵩，背身再转移给到孙大镐的脚下                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
93'大范围转移球到左侧，球被解围出了边线                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
93'界外球掷到场内，左路的强行突破，二过二没有打成                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
93'河南建业队反击，斜长传交到了徐洋的脚下，回敲中路                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
93'杭州绿城队断球，走中路渗透，球转移到石柯的脚下，大范围转移球到左侧                   90'90分钟战罢，河南建业主场3-0完胜杭州绿城，拿到保级关键三分
