11'亨德森将球处理出底线,埃弗顿获得角球.                   10'两队英超历史上首次在前10分钟分别进球
75'利物浦球员摩西拼抢犯规,对手获得控球权.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
75'巴里为埃弗顿赢得一个任意球.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
75'利物浦球员亨德森拼抢犯规,对手获得控球权.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
75'巴克利为埃弗顿赢得一个任意球.                   72'埃弗顿第72分钟扳平比分，卢卡库25码处任意球射门被米格诺莱勉强扑出，米拉拉斯禁区左侧传中，麦卡锡射门打空，卢卡库12码处推射破门，2-2
78'射门!!!利物浦球员苏亚雷斯小禁区左侧头球,被对方守门员横身扑出.给他传球的是杰拉德.                   78'第78分钟，杰拉德右路传中，苏亚雷斯远点小禁区边缘头球攻门被霍华德扑出底线
78'霍华德将球处理出底线,利物浦获得角球.                   78'第78分钟，杰拉德右路传中，苏亚雷斯远点小禁区边缘头球攻门被霍华德扑出底线
79'利物浦球员苏亚雷斯被主裁判出示了一张黄牌.                   78'第78分钟，杰拉德右路传中，苏亚雷斯远点小禁区边缘头球攻门被霍华德扑出底线
79'利物浦换人,斯图里奇换下卢卡斯                   78'第78分钟，杰拉德右路传中，苏亚雷斯远点小禁区边缘头球攻门被霍华德扑出底线
81'利物浦球员斯图里奇大禁区右侧右脚射门,被防守球员封堵.给他传球的是摩西.                   78'第78分钟，杰拉德右路传中，苏亚雷斯远点小禁区边缘头球攻门被霍华德扑出底线
81'利物浦球员斯图里奇大禁区右侧右脚射门,被防守球员封堵.给他传球的是摩西.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
82'射门!!!埃弗顿球员德乌洛费乌大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是米拉拉斯.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
82'射门!!!埃弗顿球员德乌洛费乌小禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是巴里.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
82'米尼奥莱将球处理出底线,埃弗顿获得角球.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
82'进球啦！！！埃弗顿球员卢卡库大禁区中央头球,球从左上角飞进球门,球进了!助攻的是米拉拉斯. 埃弗顿 3-2 利物浦.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
83'埃弗顿换人,斯通换下皮纳尔                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
84'摩西为利物浦在右路,赢得一个任意球.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
84'埃弗顿球员巴里拼抢犯规,对手获得控球权.                   81'第81分钟，米拉拉斯传球，德乌洛费乌禁区左侧的低射被米格诺莱用腿挡出
89'黄牌！埃弗顿球员迪斯汀因为恶意犯规,被主裁判出示黄牌.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
89'进球啦！！！利物浦球员斯图里奇大禁区中央头球,球从左上角飞进球门,球进了!助攻的是杰拉德. 埃弗顿 3-3 利物浦.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+1'摩西为利物浦在右路,赢得一个任意球.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+1'埃弗顿球员巴里拼抢犯规,对手获得控球权.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+1'利物浦球员摩西球门线跟前尝试头球,可惜皮球高出球门.给他传球的是苏亚雷斯.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+3'射门!!!利物浦球员苏亚雷斯大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是米尼奥莱.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+3'霍华德将球处理出底线,利物浦获得角球.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+3'利物浦球员库蒂尼奥大禁区中央右脚射门,被防守球员封堵.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+3'利物浦球员库蒂尼奥一脚直塞球给斯图里奇,但是边裁举旗显示后者已经越位.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+4'射门!!!埃弗顿球员德乌洛费乌球门右侧小角度右脚射门,被对方守门员横身扑出.给他传球的是麦卡锡.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+4'米尼奥莱将球处理出底线,埃弗顿获得角球.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+5'埃弗顿球员麦卡锡大禁区中央左脚射门,被防守球员封堵.给他传球的是科尔曼.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+5'下半场结束,埃弗顿 3-3 利物浦                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
90'+5'埃弗顿球员巴里被主裁判出示了一张黄牌.                   89'利物浦第89分钟扳平比分，杰拉德右路任意球传中，斯图里奇前点8码处头球顶入远角，3-3
