1'比赛开始了，拜仁开球                   1'罗斯托夫第1分钟回收防守，基米希左路任意球高出
63'扎纳耶夫扑救下来后，自己也是重重撞在门柱上。。                   60'基米希第60分钟梅开二度
90'拜仁再入一球，贝尔纳特，，5-0了                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
90'果然，和昨晚上港和全北的比分一样啊，小播又想起了这场亚冠                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
91'拜仁后场推进，长传给到左侧里贝里，杀到禁区内，倒三角回给贝尔纳特，禁区左肋一记扫射，轰入远角                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
91'听说巴萨那边已经打了凯尔特人7球了。太凶了                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
91'比赛进入到伤停补时                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
92'补时3分钟的时间                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
92'拜仁中场控制，比达尔给桑切斯，自己往前突                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
92'被卡拉切夫绊倒在地                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
92'拜仁最后时刻前场还有定位球良机                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
93'比达尔和阿拉巴站在球前，27米靠右的位置                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
93'还是阿拉巴来踢                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
93'助跑，左脚一记轰门，落叶斩绕过人墙偏出底线                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
93'扎纳耶夫门球开出来                   90'第90分钟，贝尔纳特后场拿球高速反击分球，里贝里禁区左侧低传，贝尔纳特在门前8米处左脚推射入网，5比0
