68'王永珀在场边活动！看来要准备上场！                   68'第68分钟，山东鲁能后防线连续解围失误，帕托得球轻松低射破门
48'界外球发出来，鲁能泰山队横传门前！双方争顶，又被破坏                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
49'姚均晟左路带球突破！王晓龙上抢！推人犯规！                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
49'鲁能泰山队得到任意球机会                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
49'任意球发到禁区后点！张鹭把球托出底线！角球                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
50'角球发到禁区内！被破坏出来                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
50'前场鲁能泰山队得球右路传球，打在帕托身上出边线                   47'开场2分钟，天津权健后场长传球制造威胁，帕托带球到禁区弧顶处，突然远射高出横梁
57'鲁能泰山队传球出界                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
57'鲁能泰山队换人：崔鹏上场，换下吴兴涵！                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
58'裴帅接球！转身打门！！偏出！                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
59'维特塞尔左路突破传球！被破坏出来！                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
60'塔尔德利传球！金敬道右路带球突破！                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
60'没能打正啊！                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
60'天津权健队中路反击！直传球被断                   57'第12分钟，山东鲁能打出快速反击，塔尔德利得球杀到禁区底线附近倒三角回传，佩莱跟进推射打在权敬源身上偏出球门
63'鲁能泰山队攻到前场！双方发生了争执！                   62'第17分钟，天津权健也获得不错的机会
64'后场鲁能泰山队得球！左路反击！                   62'第17分钟，天津权健也获得不错的机会
64'鲁能泰山队左路直传球！塔尔德利绕前接球！                   62'第17分钟，天津权健也获得不错的机会
65'王杰拉人犯规！吃到黄牌！                   62'第17分钟，天津权健也获得不错的机会
65'鲁能泰山队得到前场任意球机会                   62'第17分钟，天津权健也获得不错的机会
65'蒿俊闵发任意球到区内！崔鹏前插倒地！                   62'第17分钟，天津权健也获得不错的机会
72'天津权健队传禁区！被破坏出底线                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
72'帕托发出界外球！天津权健队斜传禁区！王大雷没收                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
73'对不起！把比分给大家写反了！目前天津权健队领先！                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
73'鲁能泰山队攻到前场！传球被断！                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
73'帕托右路进攻！崔鹏铲球犯规！                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
73'塔尔德利左路接球！横传一脚                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
74'鲁能泰山队中路突破！造成对方犯规                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
75'前场任意球机会                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
75'任意球发到禁区内！！张驰头球顶门！还是顶高啦！                   72'第27分钟，蒿俊闵角球传到禁区，佩莱前点头球后蹭，球被门前的后卫解围
86'金敬道分球到右路！！蒿俊闵突破横传门前！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
86'张鹭出击把球没收！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
87'在这次防守中，权景元起到了作用！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
87'鲁能泰山队快速反击！直传交塔尔德利！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
88'权景元迎面上抢！把球抢断下来                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
88'杨旭右路下底！金敬道抢球出底线！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
89'雨还在下！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
89'界外球发出来！天津权健队打控制球！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
89'吉尔把球抢断下来！                   86'第41分钟，吴伟抬脚过高对佩莱犯规，被主裁判黄牌警告
96'主裁判掏黄牌！各打五十大板！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
96'给了张鹭和塔尔德利各一张黄牌！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
96'本来是角球机会！张鹭抱着球！绝对黄牌！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
96'角球发到禁区内！对方把球顶出底线！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
96'鲁能泰山队继续角球！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
97'鲁能泰山队进球啦！！佩莱！1-1                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
97'绝地扳平！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
97'补时已经6分钟了！裁判考虑到了延误的时间！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
98'角球发到禁区内！！佩莱在门前倒勾打门！皮球应声入网！！！！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
98'打平啦～～～～～～                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
98'中圈开球！到前导播！裁判哨响！                   96'下半场易边再战，第51分钟，蒿俊闵送出过顶球，禁区内争顶被解围，张弛禁区外凌空抽射将球射高
79'帕托右路接球！金敬道背后有动作！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
79'主裁判给金敬道出示了黄牌！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
79'任意球发出来！鲁能泰山队断球！转移右路！塔尔德利没能接到！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
81'王永珀右路带球！被包夹！把球回传！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
81'糜昊伦左路下底横传！杨君故意漏球！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
82'王永珀外围得球！一脚远射！打偏！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
82'天津权健队攻到前场！几名队员撞在了一块！！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
82'错过了进攻战机！                   79'第79分钟，金敬道放倒帕托，被黄牌警告
83'天津权健队有队员抽筋了！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
83'天津权健队换人，苏缘杰上场，换下王晓龙！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'塔尔德利接球没能控好！球到右！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'杨君抢球犯规！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'崔鹏右路横传球到禁区！！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'张鹭与后卫配合失误！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'界外球发出来，鲁能泰山队右路传球！佩莱争抢犯规！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
85'鲁能泰山队换人：刘军帅上场，换下张驰！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
86'金敬道分球到右路！！蒿俊闵突破横传门前！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
86'张鹭出击把球没收！                   83'第83分钟，苏缘杰换下抽筋的王晓龙
86'金敬道分球到右路！！蒿俊闵突破横传门前！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
86'张鹭出击把球没收！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
87'在这次防守中，权景元起到了作用！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
87'鲁能泰山队快速反击！直传交塔尔德利！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
88'权景元迎面上抢！把球抢断下来                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
88'杨旭右路下底！金敬道抢球出底线！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
89'雨还在下！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
89'界外球发出来！天津权健队打控制球！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
89'吉尔把球抢断下来！                   86'第86分钟，山东鲁能边路突破横传，权敬源抢在塔尔德利之前解围，球稍稍偏出立柱
