4'皇家社会球员贝拉大禁区中央左脚射门,被防守球员封堵.给他传球的是卡纳莱斯.                   4'开场仅4分钟，贝拉两次禁区内的射门均被皇马后卫封堵
25'C-马丁内斯将球处理出底线,皇家马德里获得角球.                   22'第22分钟，贝拉左路传中，格里兹曼12码处抢在拉莫斯之前头球攻门偏出右上角
42'射门!!!皇家社会球员贝拉大禁区外左脚射门,被对方守门员横身扑出.给他传球的是埃卢斯顿多.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
42'拉莫斯将球处理出底线,皇家社会获得角球.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
43'贝尔加拉为皇家社会在右路,赢得一个任意球.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
43'皇家马德里球员加雷斯-贝尔拼抢犯规,对手获得控球权.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
43'皇家社会球员格里兹曼大禁区中央左脚射门,被防守球员封堵.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
43'伊利亚拉门迪将球处理出底线,皇家社会获得角球.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
45'射门!!!皇家马德里球员本泽马大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是加雷斯-贝尔.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
45'进球啦！！！皇家马德里球员伊利亚拉门迪大禁区中央右脚射门,球从右下角飞进球门,球进了! 皇家社会 0-1 皇家马德里.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
45'+2'上半场结束,皇家社会 0-1 皇家马德里,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，埃鲁斯通多传球，贝拉禁区前射门被迭戈-洛佩斯救下
45'射门!!!皇家马德里球员本泽马大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是加雷斯-贝尔.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
45'进球啦！！！皇家马德里球员伊利亚拉门迪大禁区中央右脚射门,球从右下角飞进球门,球进了! 皇家社会 0-1 皇家马德里.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
45'+2'上半场结束,皇家社会 0-1 皇家马德里,稍事休息,我们一会来看看下半场两队的表现.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
47'皇家社会球员祖鲁图萨拼抢犯规,对手获得控球权.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
47'拉莫斯为皇家马德里赢得一个任意球.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
48'皇家社会球员冈萨雷斯拼抢犯规,对手获得控球权.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
48'卡瓦哈尔为皇家马德里在右路,赢得一个任意球.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
48'黄牌！皇家社会球员冈萨雷斯因为恶意犯规,被主裁判出示黄牌.                   45'皇马第45分钟打破僵局，贝尔挑传，本泽马禁区左侧劲射被布拉沃勉强扑出，伊利亚拉门迪小禁区前补射入网
47'皇家社会球员祖鲁图萨拼抢犯规,对手获得控球权.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
47'拉莫斯为皇家马德里赢得一个任意球.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
48'皇家社会球员冈萨雷斯拼抢犯规,对手获得控球权.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
48'卡瓦哈尔为皇家马德里在右路,赢得一个任意球.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
48'黄牌！皇家社会球员冈萨雷斯因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
49'皇家马德里球员拉莫斯大禁区中央头球,命中门柱横梁.给他传球的是阿隆索.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
50'贝拉为皇家社会在对方半场,赢得一个任意球.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
50'皇家马德里球员伊利亚拉门迪拼抢犯规,对手获得控球权.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
50'黄牌！皇家马德里球员伊利亚拉门迪因为恶意犯规,被主裁判出示黄牌.                   47'2分钟后，伊利亚拉门迪对贝拉犯规也得到黄牌
47'皇家社会球员祖鲁图萨拼抢犯规,对手获得控球权.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
47'拉莫斯为皇家马德里赢得一个任意球.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
48'皇家社会球员冈萨雷斯拼抢犯规,对手获得控球权.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
48'卡瓦哈尔为皇家马德里在右路,赢得一个任意球.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
48'黄牌！皇家社会球员冈萨雷斯因为恶意犯规,被主裁判出示黄牌.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
49'皇家马德里球员拉莫斯大禁区中央头球,命中门柱横梁.给他传球的是阿隆索.                   46'1分钟后，摩德里奇开出角球，贝尔头球攻门偏出
61'暂停结束,球员们重新开始比赛.                   61'第61分钟，阿隆索任意球远射稍稍高出横梁
61'皇家马德里球员阿隆索直接任意球尝试右脚射门,可惜皮球稍稍高出球门.                   61'第61分钟，阿隆索任意球远射稍稍高出横梁
62'皇家社会球员卡纳莱斯大禁区外尝试左脚射门,可惜皮球偏出球门.给他传球的是格里兹曼.                   61'第61分钟，阿隆索任意球远射稍稍高出横梁
63'皇家社会换人,阿吉雷谢换下祖鲁图萨                   61'第61分钟，阿隆索任意球远射稍稍高出横梁
66'进球啦！！！皇家马德里球员加雷斯-贝尔大禁区外左脚射门,球从左下角飞进球门,球进了! 皇家社会 0-2 皇家马德里.                   66'皇马第66分钟扩大比分，布拉沃大脚开球失误，贝尔左路30码外射入左下角，2-0
68'射门!!!皇家社会球员埃卢斯顿多大禁区中央头球,被对方守门员横身扑出.                   66'皇马第66分钟扩大比分，布拉沃大脚开球失误，贝尔左路30码外射入左下角，2-0
69'皇家马德里球员本泽马大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊利亚拉门迪.                   66'皇马第66分钟扩大比分，布拉沃大脚开球失误，贝尔左路30码外射入左下角，2-0
69'皇家马德里球员本泽马大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是伊利亚拉门迪.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
70'皇家社会球员阿吉雷谢拼抢犯规,对手获得控球权.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
70'拉莫斯为皇家马德里赢得一个任意球.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
71'皇家社会球员贝尔加拉拼抢犯规,对手获得控球权.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
71'加雷斯-贝尔为皇家马德里赢得一个任意球.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
71'黄牌！皇家社会球员贝尔加拉因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
72'皇家马德里球员伊斯科大禁区中央右脚射门,被防守球员封堵.给他传球的是卡瓦哈尔.                   69'第69分钟，伊利亚拉门迪传球，本泽马25码处低射擦左下角偏出
82'皇家社会球员格里兹曼大禁区左侧左脚射门,被防守球员封堵.                   82'第82分钟，格里兹曼禁区左侧的射门被卡瓦哈尔封堵
83'射门!!!皇家社会球员格里兹曼大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是阿吉雷谢.                   82'第82分钟，格里兹曼禁区左侧的射门被卡瓦哈尔封堵
83'洛佩兹将球处理出底线,皇家社会获得角球.                   82'第82分钟，格里兹曼禁区左侧的射门被卡瓦哈尔封堵
84'阿吉雷谢将球处理出底线,皇家马德里获得角球.                   82'第82分钟，格里兹曼禁区左侧的射门被卡瓦哈尔封堵
85'进球啦！！！皇家马德里球员佩佩大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是拉莫斯. 皇家社会 0-3 皇家马德里.                   82'第82分钟，格里兹曼禁区左侧的射门被卡瓦哈尔封堵
85'进球啦！！！皇家马德里球员佩佩大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是拉莫斯. 皇家社会 0-3 皇家马德里.                   85'皇马第85分钟锁定胜局，拉莫斯远点接迪马利亚角球头球摆渡，佩佩10码处扫射破门，3-0
86'皇家马德里换人,莫拉塔换下加雷斯-贝尔                   85'皇马第85分钟锁定胜局，拉莫斯远点接迪马利亚角球头球摆渡，佩佩10码处扫射破门，3-0
87'皇家马德里球员摩德里奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是本泽马.                   85'皇马第85分钟锁定胜局，拉莫斯远点接迪马利亚角球头球摆渡，佩佩10码处扫射破门，3-0
88'皇家马德里换人,卡塞米罗换下阿隆索                   85'皇马第85分钟锁定胜局，拉莫斯远点接迪马利亚角球头球摆渡，佩佩10码处扫射破门，3-0
88'进球啦！！！皇家马德里球员莫拉塔大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是迪马利亚. 皇家社会 0-4 皇家马德里.                   85'皇马第85分钟锁定胜局，拉莫斯远点接迪马利亚角球头球摆渡，佩佩10码处扫射破门，3-0
88'皇家马德里换人,卡塞米罗换下阿隆索                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
88'进球啦！！！皇家马德里球员莫拉塔大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是迪马利亚. 皇家社会 0-4 皇家马德里.                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
90'皇家马德里球员卡瓦哈尔手球犯规,对手获得球权.                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
90'+1'黄牌！皇家马德里球员卡瓦哈尔因为故意手球,被主裁判出示黄牌.                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
90'+2'皇家社会球员卡纳莱斯手球犯规,对手获得球权.                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
90'+3'射门!!!皇家马德里球员迪马利亚大禁区外左脚射门,被对方守门员横身扑出.给他传球的是本泽马.                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
90'+3'下半场结束,皇家社会 0-4 皇家马德里                   88'第88分钟，迪马利亚直传，莫拉塔突破至12码处单刀推射破门，4-0
