6'永昌队的主场气氛也是十分火爆啊                   6'第6分钟，毛剑卿禁区内拿球，利用队友跑动假传真射，好在顾超站位较好将球没收
28'毛剑卿倒在了地上                   26'第26分钟，隆东边路突破到禁区内回传中路，毛剑卿得球调整劲射，球被防守队员挡出底线
29'比赛继续，顾超大脚开球                   26'第26分钟，隆东边路突破到禁区内回传中路，毛剑卿得球调整劲射，球被防守队员挡出底线
40'绿城右路拿球                   40'第40分钟，毛剑卿送出传中，隆东边路得球杀入禁区，面对防守队员强行射门，被对手封出禁区
40'没有机会给到禁区，回传到中场                   40'第40分钟，毛剑卿送出传中，隆东边路得球杀入禁区，面对防守队员强行射门，被对手封出禁区
41'永昌左路拿球被绿城断下                   40'第40分钟，毛剑卿送出传中，隆东边路得球杀入禁区，面对防守队员强行射门，被对手封出禁区
42'绿城斜传到右路，随后传中被门将没收了                   40'第40分钟，毛剑卿送出传中，隆东边路得球杀入禁区，面对防守队员强行射门，被对手封出禁区
56'对不起，刚才掉线了，                   53'下半场易边再战，第53分钟，乔罗禁区前沿接球后直接选择远射，球稍稍打偏
56'现在比赛进行到55分钟了，比分还是0-0                   53'下半场易边再战，第53分钟，乔罗禁区前沿接球后直接选择远射，球稍稍打偏
59'绿城任意球机会，球打在人墙身上弹出                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
59'阿甘的抢点破门高出                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
60'永昌右路进攻，斜传门前被门将得到                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
60'绿城前场任意球机会，给到右路                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
62'双方目前都还没有换人调整                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
62'永昌队右路突破，门前毛剑卿头球攻门，偏出                   59'第59分钟，杭州绿城前场断球，阿甘边路带球内切远射，球被关震没收
72'绿城错过破门良机，范晓冬送出精准直塞，陈柏良小角度打门高出横梁                   72'第72分钟，范晓冬送出直塞，陈柏良边路得球杀入禁区，面对门将小角度射门，球打高了
73'毛剑卿被黄凤涛换下了                   72'第72分钟，范晓冬送出直塞，陈柏良边路得球杀入禁区，面对门将小角度射门，球打高了
85'黄希扬吃到一张黄牌                   85'第85分钟，谢鹏飞内切闪开空当突然远射，球未打上力量，被门将没收
86'黄世博拿球被拉倒了                   85'第85分钟，谢鹏飞内切闪开空当突然远射，球未打上力量，被门将没收
86'永昌获得任意球机会                   85'第85分钟，谢鹏飞内切闪开空当突然远射，球未打上力量，被门将没收
87'任意球给到前点被顶出                   85'第85分钟，谢鹏飞内切闪开空当突然远射，球未打上力量，被门将没收
88'绿城反击，谢鹏飞的射门给了门将。                   85'第85分钟，谢鹏飞内切闪开空当突然远射，球未打上力量，被门将没收
93'经过3分钟补时，比赛结束了                   92'第92分钟，谢鹏飞小角度射门被防守队员挡出
94'双方0-0互交白卷                   92'第92分钟，谢鹏飞小角度射门被防守队员挡出
94'今天的直播就到这里，再见                   92'第92分钟，谢鹏飞小角度射门被防守队员挡出
