10'拉维奇拿球，传球禁区，球被解围出来                   10'第10分钟，拉维奇角球传中，姆比亚俯身头球冲顶破门
57'中圈附近，赵宇豪将球断下                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
57'姆比亚送出直传球，球直接出了底线                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
58'车世伟将球断下                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
58'阿洛伊西奥拿球，外围来一脚打门                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
58'球被扑了出来                   55'第10分钟，河北华夏再次取得进球，拉维奇开出角球，姆比亚摆脱防守队员小禁区内俯身冲顶将球砸入球门，河北华夏2-0领先
69'拉维奇拿球，被犯规了                   69'第24分钟，天津泰达长传禁区，迪亚涅依靠身体拿到皮球后连续摆脱两名后卫，直接期间爆射，可惜将球打飞
71'张呈栋禁区外围拿球，来一脚射门                   69'第24分钟，天津泰达长传禁区，迪亚涅依靠身体拿到皮球后连续摆脱两名后卫，直接期间爆射，可惜将球打飞
71'打偏了                   69'第24分钟，天津泰达长传禁区，迪亚涅依靠身体拿到皮球后连续摆脱两名后卫，直接期间爆射，可惜将球打飞
71'中圈争抢，球出界，亿利球权                   69'第24分钟，天津泰达长传禁区，迪亚涅依靠身体拿到皮球后连续摆脱两名后卫，直接期间爆射，可惜将球打飞
72'赵明剑拿球传球中路，力量大了，出了底线                   69'第24分钟，天津泰达长传禁区，迪亚涅依靠身体拿到皮球后连续摆脱两名后卫，直接期间爆射，可惜将球打飞
78'赵明剑回传给杜威                   77'第32分钟，天津泰达定位球传入禁区内，古德利快速插上凌空端射，杨程在门线上将球挡出
79'拉维奇传球被挡出了边线                   77'第32分钟，天津泰达定位球传入禁区内，古德利快速插上凌空端射，杨程在门线上将球挡出
80'迪亚涅被换下了，雷永池上场                   77'第32分钟，天津泰达定位球传入禁区内，古德利快速插上凌空端射，杨程在门线上将球挡出
80'华夏这边也换人                   77'第32分钟，天津泰达定位球传入禁区内，古德利快速插上凌空端射，杨程在门线上将球挡出
80'李行换下了姆比亚                   77'第32分钟，天津泰达定位球传入禁区内，古德利快速插上凌空端射，杨程在门线上将球挡出
83'阿洛伊西奥接球没接稳，出了边线                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
84'亿利发边线球                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
84'争抢球，裁判吹了犯规                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
85'张呈栋传球禁区，球被挡出底线                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
85'角球机会                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
85'角球开出来，球被解围出来                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
85'中圈古德利将球控制下来                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
86'雷永池带球突破，球丢了                   83'第38分钟，白岳峰飞铲姆比亚，被马宁黄牌警告
39'进球了！！！！！！！！！！！                   39'第39分钟，河北华夏将比分扩大为4-0
39'等下看下慢镜头回放                   39'第39分钟，河北华夏将比分扩大为4-0
40'尹鸿博中路拿球，直塞找到阿洛伊西奥，横传球给到插上的张呈栋，来一脚射门，将球打进                   39'第39分钟，河北华夏将比分扩大为4-0
40'继续看比赛                   39'第39分钟，河北华夏将比分扩大为4-0
40'咦，裁判这边出示了红牌呀                   39'第39分钟，河北华夏将比分扩大为4-0
40'白岳峰吃到了黄牌，两黄变一红，下场了                   39'第39分钟，河北华夏将比分扩大为4-0
41'古德利因为抗议也吃到了一张黄牌                   39'第39分钟，河北华夏将比分扩大为4-0
41'亿利这边已经4球落后，还被罚下一人，局势非常不利呀                   39'第39分钟，河北华夏将比分扩大为4-0
41'OK继续看比赛把                   39'第39分钟，河北华夏将比分扩大为4-0
42'胡人天传球禁区，球被解围出来                   39'第39分钟，河北华夏将比分扩大为4-0
45'伊德耶被换下了，赵宏略上场                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
45'上半场补时2分钟                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
45'尹鸿博传球阿洛伊西奥，带球突破，躺球过人，没能成功                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
46'杜佳大脚将球开出来                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
46'中圈争抢                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
46'尹鸿博将球控制下来                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
47'裁判哨响，吹响了上半场比赛结束的哨音                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
47'华夏4比0领先                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
46'OK，下半场比赛开始                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
46'杜威换下了高准翼                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
47'双方激烈逼抢                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
47'亿利获得定位球机会                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
48'球开到禁区，球被解围出来                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
48'买提江将球控制下来                   45'第45分钟，天津泰达再次换人，赵宏略换下伊德耶
58'车世伟将球断下                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
58'阿洛伊西奥拿球，外围来一脚打门                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
58'球被扑了出来                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
59'郭浩拿球，传球禁区，球被解围出来                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
60'赵明剑传球禁区，球被解围出了底线                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
60'华夏角球机会                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
61'角球开出来，禁区争抢，球出了底线                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
61'华夏继续角球机会                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
61'角球开出来，裁判哨响，攻方犯规                   58'第58分钟，阿洛伊西奥禁区内觅得机会小角度斜射，球被杜佳快速倒地没收
62'惠家康拿球，传球禁区，球被杨程抱住                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
62'中圈争抢，裁判哨响，吹了姆比亚的犯规                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
62'还给了姆比亚一张黄牌                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
63'亿利定位球机会                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
63'阿洛伊西奥将球断下来                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
64'阿洛伊西奥传球禁区，拉维奇插上的头球攻门                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
64'顶偏了呀                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
65'杜佳将球开出来                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
65'赵明剑将球控制下来                   62'第62分钟，姆比亚铲倒胡人天，被黄牌警告
71'张呈栋禁区外围拿球，来一脚射门                   70'第70分钟，张呈栋边路突然起脚尝试吊射，球击中横梁上沿弹出底线
71'打偏了                   70'第70分钟，张呈栋边路突然起脚尝试吊射，球击中横梁上沿弹出底线
71'中圈争抢，球出界，亿利球权                   70'第70分钟，张呈栋边路突然起脚尝试吊射，球击中横梁上沿弹出底线
72'赵明剑拿球传球中路，力量大了，出了底线                   70'第70分钟，张呈栋边路突然起脚尝试吊射，球击中横梁上沿弹出底线
