1'上半场比赛开始！                   1'阿森纳第1分钟展开围攻
35'角球传得比较贴近门里，科斯切尔尼头球解围                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
35'蒙雷亚尔中场防守犯规                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
36'巴拉甘斜传上来，科斯切尔尼头球解围                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
36'福肖得球交给巴拉甘                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
36'再传禁区，切赫空中将球摘下                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
36'穆斯塔菲捂着右小腿倒地禁区内！                   33'米堡第33分钟又险些破门，特劳雷左路传中，内格雷多前点头球攻门打中科斯切尔尼后偏转，拉米雷斯近距离头球攻门再次被切赫神勇救出
58'厄齐尔左路得球，交给桑切斯                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
58'传到高位埃尔内尼                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
58'伊沃比接应回做                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
58'穆斯塔菲压上来远射打在克莱顿身上出边线                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
59'特劳雷中线附近拿球开始加速                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
59'带球冲进了禁区低射远角被切赫倒地扑出底线                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
59'拉米雷斯传中，前点，克莱顿顶一下蹭薄了                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
60'桑切斯左路带球冲上来，德鲁恩将球拦截出边线                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
60'贝莱林插上传中，阿亚拉卡住位置解围                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
60'拉米雷斯带球反击，传右路的内格雷多                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
61'内格雷多速度没有优势，强挤过去被科斯切尔尼断下                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
61'桑切斯前场接应转身后被回防的克莱顿将球捅走                   58'米堡仍然保持反击威胁，第58分钟，特劳雷速度强突禁区右侧的劲射被切赫扑出远角
67'沃尔科特停球有点大被阿亚拉解围                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
67'科奎林前场铲断，直传，厄齐尔再一顺                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
67'桑切斯插上小角度打门力量不足被巴尔德斯将球扑住                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
68'阿森纳换人，卢卡斯换下了伊沃比                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
68'福肖长传球，直接飞出底线                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
68'贝莱林右路长传，给太大了，巴尔德斯将球没收                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
69'科奎林传到弧顶，厄齐尔分左路                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
69'蒙雷亚尔停得不好，跌跌撞撞下碰球出底线                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
70'回复：蓝色天空不可飞  23:24 举报回复  上一场欧冠阿森纳打得太尽了（或许吧，而且比赛安排在周六，休息时间确实少）                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
70'埃尔内尼直传被克莱顿拦截一下                   67'第67分钟，沃尔科特直传，桑切斯禁区右侧10码处射门角度太正被巴尔德斯再次救出
93'斯图亚尼换下了内格雷多                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
94'阿森纳机会，张伯伦传门前，厄齐尔抢前将球垫入大门                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
94'可惜是越位                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
94'沃尔科特送中路，科奎林直传                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
94'沃尔科特推射打偏，不过也越位在先                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
95'弗兰德大脚长传上来                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
95'科斯切尔尼直传，桑切斯没有停好                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
95'特劳雷解围不远                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
96'不过，主裁判鸣哨了                   93'第93分钟，张伯伦突入禁区右侧传射，厄齐尔捅射破门因越位在先被判无效
