3'鲁能泰山队左路攻到前场，对方犯规                   3'比赛第3分钟，北京国安队发动进攻，费祖拉乌禁区内转身射门，球被王大雷没收
23'主裁判给郎征出示了黄牌！                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
24'郑铮发任意球直接打门，被人墙挡出来                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
24'金敬道回传球，鲁能泰山队把球转移到左路                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
24'刘彬彬左路横传，洛维远射被挡出来                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
24'刘彬彬二次进攻，打门时没能压住                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
26'鲁能泰山队前场丢球，洛维争抢放倒了马季奇                   23'第23分钟，山东鲁能反击，张文钊突破几乎形成单刀，但郎征犯规阻断进攻，主裁判向郎征出示黄牌警告
29'马季奇在前场得球，一脚超级远射！！王大雷站位靠前啦，越过王大雷进入网内！！                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
29'马季奇破门扳平比分，请为他发来贺电！                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
30'阿洛伊西奥突破被侵犯，鲁能泰山队得到前场任意球机会                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
30'郑铮和洛维站在球前！                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
31'洛维发任意球直接打门，皮球穿过人墙，从后点出底线                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
31'杨智大脚开球到前场，对方争抢犯规                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
31'中场任意球发出来，北京国安队走右路进攻                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
32'北京国安队右路横传球，乌索把球破坏出来                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
32'阿洛伊西奥中场得球，直传球被断                   29'第29分钟，北京国安队扳平比分，马季奇禁区外送出超级远射，站位靠前的王大雷扑救不及，场上比分变为1-1平
36'界外球发出来，北京国安队连续在前场短传，一脚大力远射，被王大雷挡出！                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
36'张稀哲的这脚远射太有威胁了！                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
37'北京国安队右路配合失误，鲁能泰山队断球，交给乌索                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
38'乌索直传球，张文钊下底横向突破，徐云龙有犯规动作，球出底线，但裁判并没有吹                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
38'徐云龙铲球动作确实有些大，并亮了鞋底                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
38'徐云龙与张文钊交流了一下，表现的非常友好                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
38'后场鲁能泰山队得球大脚长传，对方又开回来                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
39'密州丹溪：库卡用人唯亲，死用阿洛和王彤，不死才怪。[回复]应该给王小胖机会，应该多给韩鹏机会                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
39'中场北京国安队大脚长传，赵和靖没能把球停下来，球出底线                   36'第36分钟，北京国安前场配合，张稀哲禁区外弧线球攻门，王大雷将球扑出
44'刘彬彬左路斜传禁区，周挺跳起来挡球，手球犯规，吃到了黄牌                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
45'洛维发任意球到禁区内前点，戴琳头球顶门，皮球从远门柱偏出！！！                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
45'杨智大脚开球到中场，洛维把球抢下来，被对方放倒                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'虞山居士：这不是踢球了，这是踢人呀！[回复]洛维在争头球时，徐云龙背后的动作确实有些大                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'鲁能泰山队进球啦！！阿洛伊西奥，2-1                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'后场鲁能泰山队得球，大脚长传前场找洛维！洛维突破到禁区斜传，阿洛伊西奥接球转身打门，球进啦！                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'鲁能泰山队这次传得好，洛维斜传更妙，阿洛伊西奥转身漂亮，打门球进！                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'下半场比赛开始                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'北京国安队长传前场，对方把球破坏回来                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'洛维中场拿球，传到前场左路，周挺控球，没能控好，球出边线                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'界外球发出来，鲁能泰山队左路传禁区，郎征把球破坏                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
46'鲁能泰山队得到角球机会                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'角球发到前点，郑铮过渡，对方破坏出来                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'洛维接队友传球，横传禁区！阿洛伊西奥抢点打门球进啦！！                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'助理裁判举旗啦！！越位在先，是洛维接球时处于越位位置！                   44'第44分钟，汪强后场失误，德扬断球形成单刀，但王大雷扑救将球没收
47'后场鲁能泰山队得球，大脚长传前场找洛维！洛维突破到禁区斜传，阿洛伊西奥接球转身打门，球进啦！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
47'鲁能泰山队这次传得好，洛维斜传更妙，阿洛伊西奥转身漂亮，打门球进！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
48'上半场比赛结束，鲁能泰山队2-1领先于北京国安队！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
47'角球发到前点，郑铮过渡，对方破坏出来                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
47'洛维接队友传球，横传禁区！阿洛伊西奥抢点打门球进啦！！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
47'助理裁判举旗啦！！越位在先，是洛维接球时处于越位位置！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
48'后场鲁能泰山队得球，对方上抢犯规，中后场任意球                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
48'任意球发到对方禁区内，杨智没收！                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
49'北京国安队右路前传，对方把球抢断下来                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
49'阿洛伊西奥控球，周挺背后抢球犯规，放倒了阿洛伊西奥                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
49'后场北京国安队断球，右路长传，戴琳把球顶出边线                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
50'李翰博右路突破，在郑铮的防守下球出底线                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
50'阿洛伊西奥在前场得球，一脚远射，打偏啦                   47'第47分钟，山东鲁能进攻，乌索倒钩形成传中，洛维横扫门前，阿洛伊西奥包抄破门，但边裁示意越位在先，进球无效
52'任意球发出来，鲁能泰山队左路传球被断，北京国安队反击，戴琳中场把球铲了一下，延缓了对方的进攻                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
52'北京国安队进球啦！费祖拉胡，2-2                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
52'河大成在前场拿球推到禁区内，费祖拉胡推射破门得分！                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
53'中场时鲁能泰山队换了一名队员，麦克格文换下了王彤！                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
53'北京国安队右路长传，郑铮把球破坏出边线                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
54'周挺发出界外球，真示被郑铮破坏                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
54'更正一下，麦克格文上场换下的是金敬道                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
54'王彤还在场上，右路突破横传禁区，对方把球破坏                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
54'郑铮左路带球突破，被李翰博放倒                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
55'鲁能泰山队得到了前场左路任意球机会                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
55'洛维发任意球到禁区内，乱军中皮球被夹在了多人中间，球落地后被杨智没收                   52'第52分钟，北京国安扳平比分，河大成中场直塞，王大雷出击，费祖拉乌后插上单刀推射破门，场上比分变为2-2平
59'刘彬彬左路带球快速反击，马季奇战术犯规！！吃到了黄牌                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
59'对于黄牌，这位裁判还是比较敢出的！                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
60'王海龙666：鲁能还能逆转吗？一统[回复]个人感觉会的，两度领先被扳平，还会第三次领先的！                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
60'张文钊外线得球，一脚远距离打门，被杨智扑出！                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
61'马季奇在前场接球，球在快出边时马季奇把球救回来，不过到了对方脚下                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
61'阿洛伊西奥在前场左路拿球，河大成上抢动作过大，直接把阿洛伊西奥推开，吃到了黄牌                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
62'洛维发任意球到禁区内，阿洛伊西奥倒在门前，主裁判没有吹                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
62'刚才倒在禁区内的是汪强啊！他在争顶头球时依住了对手，倒在地上                   59'第59分钟，马季奇放倒刘彬彬，前者被主裁判黄牌警告
61'马季奇在前场接球，球在快出边时马季奇把球救回来，不过到了对方脚下                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
61'阿洛伊西奥在前场左路拿球，河大成上抢动作过大，直接把阿洛伊西奥推开，吃到了黄牌                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
62'洛维发任意球到禁区内，阿洛伊西奥倒在门前，主裁判没有吹                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
62'刚才倒在禁区内的是汪强啊！他在争顶头球时依住了对手，倒在地上                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
63'周挺右路斜传球到门前，皮球滑门而过！                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
63'北京国安队换人：宋博轩上场，换下张稀哲                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
63'陈志钊上场换下李翰博                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
63'一次换了两名队员                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
64'北京国安队左路传球失误，出边线                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
64'界外球发出来，北京国安队断球左路反击，被卡住了路线                   61'第61分钟，河大成推倒阿洛伊西奥，也被黄牌警告
73'痴情小男人_53662：一统，你觉得今天裁判的判罚公平吗？必须真心话回答我！中国有这些垃圾裁判咱们联赛的水平也上不去！！！赞同的顶起来！！！[回复]有些偏差，但没有太大的问题吧！站在中间立场来看裁判                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
73'北京国安队右路突破，逼得角球机会                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
73'裁判哨响，告诉乌索和马季奇，不要缠在一齐                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
73'角球发到前点，对方破坏出来                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
74'宋博轩右路进攻，戴琳上抢把球破坏出边线                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
74'后场鲁能泰山队断球反击，没能传好啊                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
74'洛维急啦，上抢动作有些大，放倒了马季奇                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
75'替补上场的宋博轩受伤啦，坐在地上                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
75'任意球发到门前，郑铮住球                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
76'鲁能泰山队目前进攻力量不足，不过防守还不错                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
76'阿洛伊西奥直传球，刘彬彬接球转身回传                   73'第73分钟，宋博轩送出直塞，德扬跟进小角度射门，王大雷倒地将球扑出
79'王大雷立功啦！！！北京国安队左路横传，马季奇抢点劲射，必进之球啊！！王大雷把球扑出！                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
80'用户3736271514：怎么那么偏向国安呢[回复]你说甚？？咋是鲁能球迷，怎么会偏向？我解说本场，必须中立！                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
80'鲁能泰山队换人，要换下王彤啦，换上了王永珀！！！                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
81'王永珀的出场，这对鲁能泰山队来说是好消息！                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
81'洛维在前场右路拿球，转身突破被放倒！                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
82'洛维发任意球到禁区内，北京国安队得球快速反击，二打一啦！！刘彬彬的速度好快，回防把球铲掉                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
82'战术角球发出来，挑传门前，王大雷把球没收                   79'第79分钟，北京国安打出快速反击，陈志钊边路带球突击中回传，德扬前点故意一漏，中路跟进的马季奇劲射，王大雷迅速倒地侧扑将球挡出
88'乌索带球突破到禁区内！！被绊倒啦！裁判没有吹！                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
88'乌索在禁区内被徐云龙放倒！最起码是阻挡犯规啦！                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
88'北京国安队左路突破，被挡在身后，进攻队员推人犯规                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
89'北京国安队换人：朴成上场换下河大成！                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
89'鲁能泰山队右路突破横传禁区，对方顶出来，乌索得球再分到边路                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
89'鲁能泰山队右路再突破，郎征把球破坏出底线                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
89'鲁能泰山队进球啦！！可惜阿洛伊西奥越位啊！                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
90'鲁能泰山队右路横传禁区，洛维倒勾打门，阿洛伊西奥后点补射球进！但越位在先                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
90'比赛进入补时阶段，要补时 3 分钟                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
91'洛维中路突破传球，对方回传门将，险些出错                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
91'杨智出击把球大脚开到前场                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
91'王永珀右路突破，达扬诺维奇边拉带扯，犯规                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
91'任意球发出来，阿洛伊西奥外围远射，打偏啦！                   88'第88分钟，乌索突入禁区，过人时被阻挡，但裁判没有任何表示
90'鲁能泰山队右路横传禁区，洛维倒勾打门，阿洛伊西奥后点补射球进！但越位在先                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
90'比赛进入补时阶段，要补时 3 分钟                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
91'洛维中路突破传球，对方回传门将，险些出错                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
91'杨智出击把球大脚开到前场                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
91'王永珀右路突破，达扬诺维奇边拉带扯，犯规                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
91'任意球发出来，阿洛伊西奥外围远射，打偏啦！                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
92'杨智大脚开球过中场，球在空中已经出边一                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
92'界外球发出来传到禁区内，杨智没收                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
93'达扬诺维奇右路直传球，被郑铮挡出边线                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
93'周挺右路横传禁区，戴琳把球解围出来                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
93'全场比赛结束，最终双方2-2握手言和！                   90'第90分钟，山东鲁能边路王永珀弧线球传中，麦克格文摆渡，洛维倒钩射门，阿洛伊西奥门前垫射破门，但裁判示意越位在先
