6'鲁本长传球~~直接传给了对方后卫                   6'第6分钟，杭州绿城边路传中，谈杨头球摆渡到后点，跟进队友射门未能踢正部位
17'裁判没有鸣哨~~~                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
18'永昌队的后卫还在举手示意没有犯规的时候                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
18'埋伏在后点的拉蒙头球攻门~~顶高了                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
18'比赛打了快20分钟，绿城逐渐占据了场上主动                   15'第15分钟，拉蒙禁区外重炮轰门被后卫挡出底线
22'谈杨的护球能力还是不错                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
22'对方两名球员上抢只有犯规才能阻止                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
23'拉蒙连续过人~~把球挑入禁区！！                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
23'冯刚插上头球攻门~~没顶上力量                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
24'永昌这边打了一个快速反击                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
24'右边路孙昊晟的射门打在了边网上                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
24'嘿，有球员倒在了永昌队的禁区内                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
24'裁判示意比赛继续~~~                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
25'裁判认为拉蒙跟对方后卫的身体接触是合理冲撞~                   22'第22分钟，拉蒙边路拿球内切连续摆脱两人防守后送出外脚背妙传，冯刚在防守球员紧贴下俯身头球攻门，球被关震没收
28'绿城队长传到对方禁区~~                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
28'又有球员倒地~~不过依然不是点球                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
28'谈杨在禁区外接球，一脚远射~~                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
28'放了高射炮                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
30'永昌现在很难过半场                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
30'禁区外加比奥内塔被绊倒了                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
30'裁判吹罚了定位球                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
30'这个球位置不错，可以直接射门了                   27'第27分钟，陈中流送出直塞，拉蒙故意一漏，谈杨禁区前扣球过人后爆杆射门将球打飞
38'永昌断球反击~                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
38'人太少了~                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
38'把球传给门迪的时候被绿城队后卫断走                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'赵荣亨在中场拦截犯规                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'裁判给了他一张黄牌                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'绿城把球吊入禁区~                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'谈杨头球点下来~~~                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'冯刚内切打门~~被挡出底线                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
39'角球传向后点，门迪头球解围出禁区                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
40'陈中流往边路分，队友的跑位没有形成默契                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
40'球出了边线                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
41'两队在中场失误越来越多                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
41'绿城前场三角传递~撕开了一个口子                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
41'拉蒙左脚传中~~太靠近门将了                   38'第38分钟，赵荣亨对谈杨犯规，被主裁判黄牌警告
43'永昌突然加强了中前场的逼抢                   42'第42分钟，许博放倒带球快速反击的拉蒙，也被主裁判黄牌警告
43'不过绿城还是把球导了出来                   42'第42分钟，许博放倒带球快速反击的拉蒙，也被主裁判黄牌警告
43'拉蒙带球突破被放倒                   42'第42分钟，许博放倒带球快速反击的拉蒙，也被主裁判黄牌警告
43'裁判给了犯规的许博一张黄牌                   42'第42分钟，许博放倒带球快速反击的拉蒙，也被主裁判黄牌警告
45'陈中流在边路起脚传中，被门将关震没收                   42'第42分钟，许博放倒带球快速反击的拉蒙，也被主裁判黄牌警告
