13'C罗左路进攻内切传给了右路的贝尔，埃瓦尔的防守把角度封的很死。                   13'第13分钟，卡瓦哈尔传球，本泽马禁区右侧的射门被没收
55'今天门将戈耶拿的表现还是不错的。                   54'第54分钟，哈梅斯-罗德里格斯左路任意球传中，拉莫斯小禁区前头球攻门被伊鲁雷塔勉强扑出，越位位置的本泽马小角度射空门偏出
57'下半场比赛的10分钟双方互有攻守，埃瓦尔表现还是不错的。                   54'第54分钟，哈梅斯-罗德里格斯左路任意球传中，拉莫斯小禁区前头球攻门被伊鲁雷塔勉强扑出，越位位置的本泽马小角度射空门偏出
57'埃瓦尔禁区的拿球有点不自信啊，打门的机会就被浪费了。                   54'第54分钟，哈梅斯-罗德里格斯左路任意球传中，拉莫斯小禁区前头球攻门被伊鲁雷塔勉强扑出，越位位置的本泽马小角度射空门偏出
70'皇马又进球了！3比0！                   69'皇马第69分钟锁定胜局，马塞洛底线附近抢回皮球，哈梅斯-罗德里格斯传回门前，无人防守的本泽马10码处劲射破门，3-0
71'来自于本泽马的破门，但是这个球似乎提前出界了，埃瓦尔球员都在抗议。                   69'皇马第69分钟锁定胜局，马塞洛底线附近抢回皮球，哈梅斯-罗德里格斯传回门前，无人防守的本泽马10码处劲射破门，3-0
71'马努下场了，换上了安赫尔。                   69'皇马第69分钟锁定胜局，马塞洛底线附近抢回皮球，哈梅斯-罗德里格斯传回门前，无人防守的本泽马10码处劲射破门，3-0
72'今天皇马的两个进球都有一点争议啊，慢镜头来看这个球也不太好判断是否已经出界了。                   69'皇马第69分钟锁定胜局，马塞洛底线附近抢回皮球，哈梅斯-罗德里格斯传回门前，无人防守的本泽马10码处劲射破门，3-0
72'这边埃瓦尔球员的情绪也有点急躁了，阿鲁亚巴雷纳的犯规吃到了黄牌。                   69'皇马第69分钟锁定胜局，马塞洛底线附近抢回皮球，哈梅斯-罗德里格斯传回门前，无人防守的本泽马10码处劲射破门，3-0
83'裁判认为是人墙有手球，雷达尔的手球。                   83'第83分钟，阿尔本托萨禁区内手球犯规，C-罗纳尔多主罚点球命中这是他本赛季第20粒联赛入球
84'C罗稳稳的把点球罚进！这样C罗12轮进了20个球，而且还有一场没打，也就是说11场比赛进了20个球。                   83'第83分钟，阿尔本托萨禁区内手球犯规，C-罗纳尔多主罚点球命中这是他本赛季第20粒联赛入球
85'简直恐怖的不行啊，进了点球之后C罗被阿韦罗亚换下。                   83'第83分钟，阿尔本托萨禁区内手球犯规，C-罗纳尔多主罚点球命中这是他本赛季第20粒联赛入球
85'这个12轮20球的记录估计短期之内很难有人打破了。                   83'第83分钟，阿尔本托萨禁区内手球犯规，C-罗纳尔多主罚点球命中这是他本赛季第20粒联赛入球
87'今天本泽马相对来说踢的比较郁闷啊，除了一个进球之外没有拿球机会后脑勺还被撞了几次。                   86'第86分钟，伊鲁雷塔出击扑接高球脱手，随后又在防守时令本泽马摔倒，裁判拒绝判罚极刑
88'贝尔外围的直接打门，高出了横梁。                   86'第86分钟，伊鲁雷塔出击扑接高球脱手，随后又在防守时令本泽马摔倒，裁判拒绝判罚极刑
88'虽然大比分落后于皇马，现场的观众似乎还是挺兴奋的，不停地跳着舞蹈。                   86'第86分钟，伊鲁雷塔出击扑接高球脱手，随后又在防守时令本泽马摔倒，裁判拒绝判罚极刑
89'埃瓦尔的好机会！后点接到队友的传球，莱基齐侧身凌空打门，动作很舒展，但是没有打到门框范围内啊。                   86'第86分钟，伊鲁雷塔出击扑接高球脱手，随后又在防守时令本泽马摔倒，裁判拒绝判罚极刑
