2'冯潇霆长传球给前场左路塔利斯卡！                   2'比赛第2分钟，范云龙将带球的塔利斯卡铲倒，主裁判对其进行口头警告
15'再给前场中路郑智！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
15'郑智直塞球给禁区内左肋！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
15'高拉特策应左脚打门！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
15'皮球被门将张思鹏扑出去！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
16'爱你也爱她但还是最爱你：贵州首发怎么四个外援啊？——法图斯是港籍                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
17'曾诚大脚开球给中场附近！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
17'唐鑫把球抢断下来！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
17'唐鑫回传给后场中路韩鹏飞！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'韩鹏飞长传球给前场左侧！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'裁判吹了斯蒂夫的越位！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'恒大后场定位球！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'曾诚开球给后场左侧冯潇霆！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'冯潇霆再给中圈里面的保利尼奥！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'保利尼奥斜传球给前场右路邓涵文！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'邓涵文直塞球给禁区内右肋！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
18'韩鹏飞把球大脚踢出边线！                   15'第15分钟，恒大在大禁区前又形成围攻，塔利斯卡得球，可能有些着急，打一脚抽射，可惜打高了
25'中场附近郑智把球控制！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'郑智回传给后场右侧邓涵文！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'再倒脚给门将曾诚！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'曾诚大脚开球给中场右路找到保利尼奥！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'保利尼奥低平球给身前的郜林！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'郜林再给左路插上的李学鹏！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
25'蒋亮过来把球解围出边线！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
26'恒大边线发球给中场，双方争抢！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
26'裁判吹了梅方的犯规！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
26'恒丰中场快发定位球给前场右路！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
27'范云龙把球停下来！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
27'右脚搓传吊向禁区内前点！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
27'苏亚雷斯抢点头球攻门！！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
27'这球被门将曾诚抱住没收！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'郑凯木带球反击！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'一脚低平球给前场右侧！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'裁判吹了进攻的耶拉维奇争抢犯规！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'恒大后场开定位球给中场的保利尼奥！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'保利尼奥再给右路插上的郜林！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'郜林禁区右侧起球传中！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
28'禁区内蒋亮把球解围出底线！                   25'第25分钟，恒丰中圈获得定位球机会，韩鹏飞右脚起球给到大禁区前沿右侧，范云龙起球到小禁区，苏亚雷斯跟进甩头攻门被曾诚稳稳抱住
43'恒丰中场发边线球给左路！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
43'这是范云龙自己把球停出边线！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
43'恒发右侧发球给右路的郜林！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
43'郜林再给前场中路保利尼奥！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
43'保利尼奥回做给中场左路的李学鹏！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
43'李学鹏给身边的塔利斯卡！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
44'塔利斯卡长传球给前场禁区内！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
44'高拉特头球冲顶！！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
44'皮球出了底线啊！球门球！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
45'张思鹏大脚开球给中场附近！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
45'李学鹏争抢断下来！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
45'李学鹏分球给身边的保利尼奥！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
45'保利尼奥斜传球给前场右侧邓涵文！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
45'邓涵文再给中线上的郑智！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'郑智斜线球找前场左侧李学鹏！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'李学鹏分球给前场中路塔利斯卡1                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'塔利斯卡回做给中场的郑智！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'郑智再回传给后场门将曾诚                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'中圈红衣恒大开球！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'下半场比赛开始！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'开球给右路的邓涵文！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'邓涵文直传球给身前！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'唐鑫把球断下来！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'邓涵文继续逼抢！把球踢出边线！                   43'第43分钟，塔利斯卡大禁区前直接输送一脚长传球，高拉特快速插上甩头攻门，将皮球稍稍顶高，但高拉特的这次打门存在着越位的嫌疑
46'郑智斜线球找前场左侧李学鹏！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'李学鹏分球给前场中路塔利斯卡1                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'塔利斯卡回做给中场的郑智！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'郑智再回传给后场门将曾诚                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'梅方把球给中圈附近的塔利斯卡！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'塔利斯卡低平球给前场左路的李学鹏！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'李学鹏挑传给禁区内左肋！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'法图斯把球顶出去！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'外围李学鹏把球碰出了底线！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'张思鹏大脚开球给前场中路！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'中圈红衣恒大开球！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'下半场比赛开始！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'开球给右路的邓涵文！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'邓涵文直传球给身前！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'唐鑫把球断下来！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
46'邓涵文继续逼抢！把球踢出边线！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'唐鑫发球被保利尼奥拦截了！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'保利尼奥分球给后场中路冯潇霆！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'冯潇霆一脚长传球给前场中路高拉特！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'高拉特横敲给禁区前沿！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'苏亚雷斯大脚把球解围出边线！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'恒大左侧发球给高拉特！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
47'高拉特传中球给前点！韩鹏飞把球解围出左侧底线！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'恒大的左侧角球机会！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'于汉超开出角球给到禁区内后点右路！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'法图斯把球解围出去！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'外围右侧双方争抢！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'郑凯木把球抢到！分球给中圈里面！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
48'裁判吹了保利尼奥对苏亚雷斯的犯规！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
49'中场范云龙开球长传给前场中路！梅方把球解围出底线                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
49'恒丰的右侧角球机会！                   46'第46分钟，李学鹏左侧边线球掷出边线球给高拉特，高拉特传中被韩鹏飞挡出底线，恒大左路角球由于汉超开出，小禁区前沿右侧保利尼奥把球一顶，法图斯跟进把球破坏出禁区
54'郑凯木把球给右边路，这球传出了边线啊！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
54'恒大后场发球给左路的高拉特！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
54'高拉特再给后场中路冯潇霆！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
54'冯潇霆斜传球给中场右路的保利尼奥！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
55'保利尼奥再给中场的郑智！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
55'郑智分球给边路的于汉超！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
55'于汉超停球出边线了！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
55'恒丰后场发球给左侧！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
55'双方争抢！是蒋亮把球碰出边线！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
56'恒大边线发球给前场右路！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
56'苏亚雷斯把球踢出边线解围！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
56'郑智把球给中场附近的邓涵文！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
56'邓涵文停球没收住！出边线了！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
57'恒丰中场发球给左侧的唐鑫！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
57'这球被冯潇霆破坏出边线！                   54'第54分钟，塔利斯卡得球右路低平球传中，小禁区前沿高拉特转身低射被张思鹏挡出
