9'巴勒莫球员内斯托罗夫斯基拼抢犯规,对手获得控球权.                   9'巴勒莫近9次意甲对阵尤文全负，仅打进1球，连续880分钟未能攻破斑马球门
42'巴勒莫球员内斯托罗夫斯基拼抢犯规,对手获得控球权.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
42'马尔基西奥为尤文图斯赢得一个任意球.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
43'戈尔达尼加为巴勒莫赢得一个任意球.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
43'尤文图斯球员普亚卡拼抢犯规,对手获得控球权.                   40'尤文第40分钟扩大比分，斯图拉罗右肋断球遇恩里克阻挡倒地，迪巴拉在门前26米处左脚任意球挂近角，2比0
63'进球啦！！！尤文图斯球员伊瓜因大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是迪巴拉. 尤文图斯 3-0 巴勒莫.                   63'尤文第63分钟再添一分，阿尔维斯右路低传，迪巴拉捅传禁区右侧，伊瓜因在门前6米处挑射入远角，3比0
65'巴洛格为巴勒莫在对方半场,赢得一个任意球.                   63'尤文第63分钟再添一分，阿尔维斯右路低传，迪巴拉捅传禁区右侧，伊瓜因在门前6米处挑射入远角，3比0
65'尤文图斯球员贝纳蒂亚拼抢犯规,对手获得控球权.                   63'尤文第63分钟再添一分，阿尔维斯右路低传，迪巴拉捅传禁区右侧，伊瓜因在门前6米处挑射入远角，3比0
66'巴勒莫球员萨尔来大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是Toni Sunjic.                   63'尤文第63分钟再添一分，阿尔维斯右路低传，迪巴拉捅传禁区右侧，伊瓜因在门前6米处挑射入远角，3比0
89'进球啦！！！尤文图斯球员迪巴拉大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是伊瓜因. 尤文图斯 4-0 巴勒莫.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+2'恩巴洛为巴勒莫赢得一个任意球.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+2'尤文图斯球员迪巴拉拼抢犯规,对手获得控球权.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+2'林孔将球处理出底线,巴勒莫获得角球.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+3'进球啦！！！巴勒莫球员乔切夫 大禁区中央头球,球从右上角飞进球门,球进了!助攻的是迪亚曼蒂. 尤文图斯 4-1 巴勒莫.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+4'恩巴洛为巴勒莫在对方半场,赢得一个任意球.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+4'尤文图斯球员Juan Cuadrado拼抢犯规,对手获得控球权.                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
90'+5'下半场结束,尤文图斯 4-1 巴勒莫                   89'第89分钟，伊瓜因前场抢断戈尔达尼加，在对方拉拽下突入禁区脚底回拉，迪巴拉在门前15米处左脚推进右下角，4比0
