4'一个变向转身，范晓冬补防犯规！！                   4'第4分钟，拉维奇弧线球传中，桂宏后点停球后射门被吴亚轲挡出
42'蒋哲插上接应，球被金周荣放铲一捅                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
42'球打在出击的杨程身上弹起！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
42'禁区内的混战，蒋哲再想补射，被杨程将球拿到！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
43'桂宏前场中路拿球，强突后的打门，被挡出底线！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
43'华夏幸福获得角球，没能形成威胁！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
43'拉维奇中场抢断，强突反击，被伊斯梅洛夫放倒在地                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
44'亚泰前场进攻，赢得角球机会！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
44'角球开出到禁区，谭龙的头球，被杨程在门线上拿到                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
45'上半场比赛补时1分钟！！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
45'谭龙右路拿球，拉维奇回防逼抢，将球破坏！                   42'第42分钟，拉维奇角球传中，任航后点头球攻门偏出
56'桂宏右路拿球，强突进入禁区！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
57'面对上来的蒋哲，起脚打门！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
57'被吴亚轲打出底线，角球！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
57'拉维奇角球开出到禁区，没能形成威胁！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
57'华夏幸福换人：6号罗森文上，换下30号李行！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
58'拉维奇左路拿球，强突内切                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
59'倒三角回传到中路，桂宏一让！！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
59'尹鸿博身后的打门，被吴亚轲挡出底线！                   56'第56分钟，桂宏边路拿球内切，晃开一名防守队员后，从第二名防守队员裆下寻找机会低射，球被吴亚轲倒地扑出底线
59'倒三角回传到中路，桂宏一让！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
59'尹鸿博身后的打门，被吴亚轲挡出底线！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
60'华夏幸福获得角球机会！！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
60'亚泰换人：8号杜震宇上，换下27号张力！！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
60'华夏幸福角球开出到禁区，没能形成威胁！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
61'华夏幸福前场进攻，再次赢得右侧角球！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
62'拉维奇角球开出到前点，姆比亚的头球，顶高！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
62'胡兹蒂中场拿球，罗森文上抢犯规！！                   59'第59分钟，拉维奇边路突破到禁区底线附近倒三角回传，尹鸿博跟进推射，吴亚轲飞身将球挡出底线
61'华夏幸福前场进攻，再次赢得右侧角球！！                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
62'拉维奇角球开出到前点，姆比亚的头球，顶高！！                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
62'胡兹蒂中场拿球，罗森文上抢犯规！！                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
63'拉维奇中场拿球，直塞给到桂宏                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
63'桂宏再分左侧给尹鸿博                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
64'尹鸿博停球没机会，回传左侧给上来的姜文俊                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
64'姜文俊的边路传中，拉维奇抢点打门，打偏！！                   61'第61分钟，拉维奇角球准确传到前点，姆比亚头球顶高
70'亚泰的反击，过顶球到禁区！！                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
70'伊格哈洛停球摆脱任航，不打                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
70'再调整，接着再射，被回防金周荣挡出                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
70'何超跟进在打，被挡出了底线！！                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
70'亚泰获得右侧角球机会！！                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
71'战术角球配合，伊格哈洛越位在先！！                   70'第70分钟，伊哈洛错失得分良机，他在禁区内连续晃过两名防守队员后射门仍被补防球员挡出
83'华夏幸福获得中场任意球，没能形成威胁！！                   83'第83分钟，张笑飞犯规被黄牌警告
83'范晓冬中场拿球，金周荣的放铲，犯规！！                   83'第83分钟，张笑飞犯规被黄牌警告
84'范晓冬倒地认为应该黄牌，爆粗被赏了一张黄牌！                   83'第83分钟，张笑飞犯规被黄牌警告
84'亚泰的中场过顶球找杜震宇，越位在先！                   83'第83分钟，张笑飞犯规被黄牌警告
86'华夏幸福前场进攻，右路的传中！！                   83'第83分钟，张笑飞犯规被黄牌警告
86'董学升的头球，近在咫尺，顶偏了！！                   83'第83分钟，张笑飞犯规被黄牌警告
86'华夏幸福前场进攻，右路的传中！！                   85'第85分钟，范晓冬被金周荣侵犯，但主裁判未判黄牌，范晓冬不满判罚也被黄牌警告
86'董学升的头球，近在咫尺，顶偏了！！                   85'第85分钟，范晓冬被金周荣侵犯，但主裁判未判黄牌，范晓冬不满判罚也被黄牌警告
87'范晓冬前场中路拿球，直塞打身后                   85'第85分钟，范晓冬被金周荣侵犯，但主裁判未判黄牌，范晓冬不满判罚也被黄牌警告
88'可惜没成功，球被赵明剑拦截！！                   85'第85分钟，范晓冬被金周荣侵犯，但主裁判未判黄牌，范晓冬不满判罚也被黄牌警告
88'金周荣上来，大脚将球破坏！！                   85'第85分钟，范晓冬被金周荣侵犯，但主裁判未判黄牌，范晓冬不满判罚也被黄牌警告
94'华夏幸福的第三个换人：17号朱海威上，换下14号金周荣                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
94'华夏幸福进球了！！！绝杀啊！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
94'张呈栋！！！！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
95'这是一脚世界波啊！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
96'张呈栋右路拿球，内切后起左脚抽射，穿了伊斯梅洛夫的小门，钻进了球门左下角！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
97'亚泰前场进攻，赢得右侧角球！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
97'杜震宇主罚，开出到禁区，伊格哈洛头球！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
97'被挡出来，禁区内的混战！！                   94'第94分钟，张呈栋内切后左脚贴地龙射门，球直奔死角
