4'再次角球发到禁区内，对方破坏出来                   4'第4分钟登巴巴左路带球推到中路，瓜林推射远角偏出
30'上海申花队左路斜传禁区，登巴巴和吕征抢点，抢到一块了，没能顶到                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
31'瓜林前场强突，造成斯文森犯规                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
32'主裁判给斯文森出示了黄牌，上海申花队得到位置不错的任意球机会！                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
32'这个任意球的位置非常危险！                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
33'登巴巴发任意球直接打门！皮球越过人墙，精彩！！门将扑得也精彩，将球扑出底线！                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
33'吕征发出战术角球，横传，瓜林挑传禁区，莫雷诺没能停好球                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
33'于洋把球开出边线                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
33'界外球发出来，上海申花队把球回传，再斜传禁区                   30'第30分钟秦升中场上抢得手，瓜林带球直线往禁区中路冲击，斯文森在瓜林杀到弧顶附近铲球犯规吃到黄牌
32'主裁判给斯文森出示了黄牌，上海申花队得到位置不错的任意球机会！                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
32'这个任意球的位置非常危险！                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
33'登巴巴发任意球直接打门！皮球越过人墙，精彩！！门将扑得也精彩，将球扑出底线！                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
33'吕征发出战术角球，横传，瓜林挑传禁区，莫雷诺没能停好球                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
33'于洋把球开出边线                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
33'界外球发出来，上海申花队把球回传，再斜传禁区                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
34'登巴巴头球争顶下来，对方想解围，登巴巴倒勾打门，高出                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
34'中场上海申花队断球，长传给莫雷诺                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
34'莫雷诺左路突破回传，交给秦升                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
34'秦升强突直传，送给对手啦！！！                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
35'姜至鹏左路突破，对方犯规                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
35'任意球发到禁区内，李帅把球摘下来                   32'第32分钟秦升把球传入禁区，登巴巴扛开对方后卫，倒钩打偏
37'广州富力队长传禁区，肖智垫射，没能踢到球                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
37'李帅大脚开球到前场，开到了对方脚下                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
38'莫雷诺左路横传球到禁区内，柏佳骏推射偏出！                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
38'姜至鹏在前场断球，左路下底横传，李建滨将球破坏出来                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
38'汪嵩前场得球一脚垫射，打偏                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
39'上海申花队传球到中场，对方争抢下来                   37'第37分钟曹赟定左路拿球回侧给莫雷诺，后者送给切入禁区的柏佳骏，可惜柏佳骏一脚射门打偏
41'唐淼在前场抢球犯规                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
41'李帅大脚开球到前场！上海申花队组织左路进攻                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
41'丢球后上海申花队在前场抢球犯规                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
41'广州富力队右路长传进攻，被抢断                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
42'上海申花队右路横传禁区，对方顶出来                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
42'曹赟定左路接球射门！！被挡了一下高出！角球                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
42'吕征发角球到禁区内后点，莫雷诺头球顶门，门将没收！                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
42'姜至鹏左路带球突破，对方将球回传给李帅                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
43'莫雷诺直传球，曹赟定回传球，柏佳骏再直传禁区，被挡了出来                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
44'广州富力队左路横传禁区，被挡出来                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
44'这球没能传起来啊                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
44'布鲁尼尼奥在前场抢球犯规，放倒了吕征！                   41'在主场的申花努力打出气势，第41分钟曹赟定左路射门造成角球，吕征右侧角球开出，莫雷诺顶得太轻
54'布鲁尼尼奥与秦升发生争执                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
54'秦升上前与裁判理论，吃到了黄牌                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
54'上海申花队左路长传反击                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
54'登巴巴左路传球到禁区内，皮球到另一侧                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
54'吕征转身突破，球出底线                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
56'吕征右路接球，回传后场                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
56'吕征在右路的速度还是够快的                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
56'广州富力队大脚开球到前场，对方争顶下来                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
57'上海申花队左路长传，曹赟定没能控到，球出边线                   54'第54分钟秦升对布鲁尼尼奥犯规吃到黄牌，第58分钟李运秋飞铲布鲁尼尼奥也吃到黄牌
62'任意球发出来，广州富力队回传球                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
62'广州富力队大脚长传，布鲁尼尼奥又越位                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
62'上海申花队右路横传禁区，被破坏出来                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
62'斯文森倒在自家禁区内，裁判暂停比赛                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
63'上海申花队左路进攻逼得任意球机会                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
64'登巴巴发任意球直接打门，打在人墙上弹回来                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
64'瓜林一脚大力远射，打偏啦                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
64'后场广州富力队解围，球出边线                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
64'李运秋发界外球，上海申花队把球回传后场                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
65'李帅得球大脚长传，吕征外围一脚斜射，打高                   62'第62分钟瓜林任意球被挡出，柏佳骏硬抢下之后送球给瓜林，后者远射偏出
65'李帅得球大脚长传，吕征外围一脚斜射，打高                   65'第65分钟僵持局面被打破，李运秋右路分球，吕征开准机会下底传中，张贤秀头球解围，但只是脑袋碰到球皮一点，反而把球顶给了莫雷诺，后者胸部一垫，接着腾空而起右脚侧身扫射，2比1，申花再次反超
66'程月磊大脚开球到中场，对方抢断下来                   65'第65分钟僵持局面被打破，李运秋右路分球，吕征开准机会下底传中，张贤秀头球解围，但只是脑袋碰到球皮一点，反而把球顶给了莫雷诺，后者胸部一垫，接着腾空而起右脚侧身扫射，2比1，申花再次反超
68'上海申花队进球啦！！！莫雷诺！2-1                   65'第65分钟僵持局面被打破，李运秋右路分球，吕征开准机会下底传中，张贤秀头球解围，但只是脑袋碰到球皮一点，反而把球顶给了莫雷诺，后者胸部一垫，接着腾空而起右脚侧身扫射，2比1，申花再次反超
73'广州富力队换人：吉安努上场，换下布鲁尼尼奥                   73'第73分钟熊飞紧急入替李运秋
73'卢琳上场，换下汪嵩                   73'第73分钟熊飞紧急入替李运秋
74'雷纳迪尼奥左路突破被断                   73'第73分钟熊飞紧急入替李运秋
74'上海申花队长传前场，丢啦                   73'第73分钟熊飞紧急入替李运秋
74'上海申花队换人，2号熊飞上场，换下16号李运秋                   73'第73分钟熊飞紧急入替李运秋
75'这次是对位换人！李运秋无法坚持比赛啦！                   73'第73分钟熊飞紧急入替李运秋
75'唐淼右路横传禁区，对方顶出来！！卢琳劲射，打偏                   73'第73分钟熊飞紧急入替李运秋
76'吕征右路突破横传禁区，发力太大，直接到了另一侧                   73'第73分钟熊飞紧急入替李运秋
76'上海申花队进球啦！！！曹赟定！3-1                   73'第73分钟熊飞紧急入替李运秋
75'这次是对位换人！李运秋无法坚持比赛啦！                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
75'唐淼右路横传禁区，对方顶出来！！卢琳劲射，打偏                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
76'吕征右路突破横传禁区，发力太大，直接到了另一侧                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
76'上海申花队进球啦！！！曹赟定！3-1                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
77'...上海申花队右路长传球，莫雷诺过渡，瓜林右睡横传禁区，曹赟定抢点打门球进！                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
77'这次进攻配合真是太漂亮了！                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
77'曹赟定也显得非常兴奋                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
78'短时间内广州富力队连续丢球，对他们非常不利                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
78'广州富力队长传球，李帅出击接球，与李建滨相撞                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
78'李建滨受伤倒在地上                   75'第75分钟申花从中路策动进攻，右侧瓜林拿球后略微观察一下后传中，曹赟定卡在唐淼之前，侧身凌空怒射，球弹地后飞入大门上端，3比1，申花扩大比分
83'吉安努边路传球，熊飞解围                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
84'广州富力队现在压出来打进攻                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
84'上海申花队进球！登巴巴，4-1                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
85'上海申花队后场得球长传，登巴巴接球单刀，打门球进！                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
85'广州富力队压得太靠前                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
86'上海申花队再换人，马丁斯上场，换下莫雷诺                   83'第83分钟曹赟定在中圈附近送球，登巴巴在张耀坤身后杀出，拿球后直接杀向禁区，面对程月磊推射大门右下角，4比1，申花再次拉大比分
87'上海申花队进球！马丁斯刚刚上场十几秒就进球啦！！5-1                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
87'上海申花队右路横传中路，登巴巴挑传过渡，马丁斯抢点左脚打门球进！！！                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
87'马丁斯太兴奋啦！！刚上场十几秒就接到了登巴巴的大礼！                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
88'吕征右路突破传中，对方破坏出来                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
88'马丁斯左路突破，被破坏出边线                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
88'界外球发出来，上海申花队左路斜传禁区，对方头球解围                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
89'李建滨犯规啦！！放倒了吉安努！！                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
90'我的个天啊！！吉安努膝盖翻转！！！                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
90'主裁判不客气啦！！给李建滨第二张黄牌！！红牌罚下                   87'申花继续强攻，第87分钟吕征右路传中，门前登巴巴竟然没碰到球
