1'上半场比赛开始！                   1'双方第1分钟对抗激烈
48'达德尔得球晃动一下传中                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
48'阿拉维斯门将帕切科将球没收                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
48'上半场比赛结束！                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'伊格莱西亚斯拿球回传给达德尔，传中被拉瓜迪亚头球解围                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'达德尔左路拿球直传，武磊做墙回传                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'达德尔直接远射                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'打得比较小，帕切科将球抱                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
47'伊格莱西亚斯进球了！！！                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
48'西班牙人后场断球，梅伦多高速推进上来，直传，伊格莱西亚斯反越位成功                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
49'伊格莱西亚斯禁区右侧横传门前，球被阿拉维斯拉瓜迪亚胸口撞入自家大门！                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
49'看看算不算乌龙                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'现场的比分板显示进球的是阿拉维斯5号拉瓜迪亚（乌龙球）                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'下半场好像武磊也活跃了一点                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'希望越踢越好                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'埃尔莫索回传给门将洛佩斯                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'传右侧的纳尔多                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
50'梅伦多接应分给洛佩斯                   47'西班牙人第47分钟扩大比分，梅伦多直传，博尔哈禁区右侧传中武磊，拉瓜迪亚前点解围不慎自摆乌龙，2-0
88'战术角球，约翰尼传中                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
88'罗兰的倒钩打门，打偏了                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
88'图马西回传给门将帕切科                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
89'左侧阿拉维斯的进攻                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
89'被断了                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
89'伊格莱西亚斯接应                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
89'交给加西亚，回传给门将洛佩斯                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
89'长传左侧球出边线                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'加西亚左侧的直传                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'达德尔将球踢在埃利脚上出底线                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'西班牙人左侧的角球                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'西班牙人在不断消耗时间                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'战术角球                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
90'达德尔传中                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'被解围了                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'下半场补时7分钟                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'也正常                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'看VAR也用了三分钟                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'慢镜看，加西亚先越位了                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
91'约翰尼斜传禁区，罗兰的小角度劲射                   88'阿拉维斯第88分钟险些扳平，罗兰角球混战中10码处倒钩射门，皮球擦右侧立柱偏出
