8'孔蒂很满意，向着弟子竖起来大拇指！！                   8'第8分钟，阿扎尔脚后跟妙传，莫拉塔禁区右肋10码处低射远角仍然偏出
59'莫拉塔的头球！！！                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
61'阿扎尔前场左路拿球，面对胡安弗兰，往上线带了两步，右脚传中，前点的阿隆索虚晃一枪，身后的莫拉塔甩头轰门，顶进远角！                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
62'切尔西前场再攻，阿扎尔强突到禁区                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
62'横传中路，小法近在咫尺的推射，竟然打偏了！！                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
62'孔蒂在场边很失望啊！！                   59'切尔西第59分钟扳平比分，阿扎尔左路传中，莫拉塔前点小禁区边缘蹭入远角，1-1
69'马竞换人：9号托雷斯上，换下了10号卡拉斯科！！                   69'前切尔西前锋托雷斯第69分钟替补出场
69'回归老东家的托雷斯，坐镇主场面对自己的前东家！！                   69'前切尔西前锋托雷斯第69分钟替补出场
70'马竞再次换人：22号盖坦上，换下11号科雷亚！                   69'前切尔西前锋托雷斯第69分钟替补出场
70'胡安弗兰右路拿球，强突过掉小法                   69'前切尔西前锋托雷斯第69分钟替补出场
70'阿隆索的补防，成功断球                   69'前切尔西前锋托雷斯第69分钟替补出场
71'阿隆索在对方的逼抢下，传球直接出边线了！                   69'前切尔西前锋托雷斯第69分钟替补出场
71'切尔西后场抢断，分球阿扎尔                   69'前切尔西前锋托雷斯第69分钟替补出场
71'阿扎尔背身拿球，戈丁上抢推翻阿扎尔，犯规！                   69'前切尔西前锋托雷斯第69分钟替补出场
72'卡希尔左路拿球，横传路易斯                   69'前切尔西前锋托雷斯第69分钟替补出场
72'路易斯面对托雷斯的逼抢，再给阿兹皮利奎塔                   69'前切尔西前锋托雷斯第69分钟替补出场
74'坎特插上拿球，一扣摆脱上抢的菲利佩                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
74'倒地打门，擦着立柱出了底线！！                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
74'切尔西中场抢断，分球给前插的莫拉塔                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
74'莫拉塔拿球进入禁区，面对出击的奥布拉克                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
74'小禁区左侧推射远角，滑门而过，出了底线！！                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
75'莫拉塔为自己错失良机很失望！！                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
76'巴卡约科中场拿球，分球给坎特                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
76'坎特回传阿兹皮利奎塔，再给巴卡约科                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
76'巴卡约科斜传转移到左前场找阿隆索                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
76'阿隆索在球出边线前，控制住                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
76'横传小法，小法再给右侧的摩西                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
77'摩西强突被回防的菲利佩拉倒在地，犯规！                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
77'马竞第三次换人：24号吉梅内斯上，换下5号帕蒂！！                   74'第74分钟，阿扎尔反击中直传，莫拉塔速度强突禁区左侧的单刀捅射偏出远角
94'切尔西进球啦，1-2！！！                   94'切尔西第94分钟压哨绝杀，阿隆索任意球混战中禁区右侧低传，巴舒亚伊前点5码处推射入网，2-1
94'巴舒亚伊的推射，绝杀啊！！                   94'切尔西第94分钟压哨绝杀，阿隆索任意球混战中禁区右侧低传，巴舒亚伊前点5码处推射入网，2-1
96'卡希尔任意球拨给威廉，威廉横传坎特，坎特再给右侧阿隆索，阿隆索内切没机会，回传坎特，坎特直塞巴卡约科，巴卡约科脚后跟再给右侧进来的阿隆索，阿隆索横传门前，巴舒亚伊抢点推射打进！                   94'切尔西第94分钟压哨绝杀，阿隆索任意球混战中禁区右侧低传，巴舒亚伊前点5码处推射入网，2-1
