3'郑涛左路带球到前场，回传球后再长传禁区，乌索把球解围出来                   3'开场仅3分钟，山东鲁能差点形成破门
47'耶夫蒂奇左路斜传禁区，有队员越位啦                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
47'辽宁宏运队右路进攻，被金敬道卡住了路线                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
48'鲁能泰山队左路长传进攻，对方把球破坏出边线                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
48'郑铮发界外球，对方头球顶到中场，金敬道抢断回传                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
49'〔互动话题〕双方各有机会，只是还没有破门。请大家猜一下最终的比赛结果：A、宏远胜 B、鲁能胜 C、双方战平！[qiangda]                   46'1分钟后，山东鲁能获得任意球，金敬道做球，阿洛伊西奥大力远射偏出
73'辽宁宏运队直传禁区，奥格布插上没有踢到球！王大雷再次没收！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
73'阿洛伊西奥挑传球，送到了张鹭的怀里！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
73'后场王永珀断球，右路快速反击，到中场横传给了蒙蒂略                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
73'鲁能泰山队围打门被挡出来，阿洛伊西奥回传乌索，再交给吕征                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
74'米切尔后场大脚解围，打在王彤身上出边线                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
74'辽宁宏运队快速反击，三打三！！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
74'杨超声右路突破直接一脚打门，偏出！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
75'辽宁宏运队换人：金泰延上场，换下耶夫蒂奇！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
75'看来辽宁宏运队有意保这一分！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
75'有影me就好：鲁能啊鲁能～～～～真急人～进一个吧～[回复]鲁能泰山队在围攻，进球快了吧！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
76'后场辽宁宏运队得球大脚长传前场左路，金泰延慢啦！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
76'球出边线                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
76'比赛还有15分钟左右的时间！看谁先打破僵局！                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
76'王永珀横传球到右路，王彤直传交给吕征                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
76'韩鹏拿球转身横传到左路                   73'第73分钟，替补登场的王永珀禁区外远射，球被后卫挡出禁区
78'陈胜山：王永岶一出，必输无疑[回复]这么小瞧小胖啊！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
78'王永珀中场带球到前场一脚劲射被扑出来！！阿洛伊西奥抢点补射，可惜打在边网上！！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
79'用户2578693477：感觉山东球员没有斗志[回复]斗志是有的，也经常围攻，但就是没能破门！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
79'辽宁宏运队长传前场，助理裁判举旗，越位！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
80'阿洛伊西奥左路突破横传，王永珀抢点劲射！！可惜打偏！！！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
80'王永珀的两脚打门很有威胁！！可惜都没能打进！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
80'辽宁宏运队左路进攻，对方把球破坏出边线                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
81'界外球发出来，打在对方手上，辽宁宏运队前场任意球机会                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
81'任意球发到禁区内，险些成大错！还好韩鹏回防把球破坏！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
81'不过好象三个人都有越位！                   78'第78分钟，山东鲁能打出快速反击，王永珀带球中突施冷箭，张鹭勉强扑出，阿洛伊西奥快速跟进打空门却打在了边网上
81'界外球发出来，打在对方手上，辽宁宏运队前场任意球机会                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
81'任意球发到禁区内，险些成大错！还好韩鹏回防把球破坏！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
81'不过好象三个人都有越位！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
82'辽宁宏运队得到角球！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
82'角球发到前点，弋腾抢点打门！！！打在边网上！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
83'吕征在前场右路拿球，孙世林抢球犯规，拉倒了吕征！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
83'吕征倒地时压了孙世林一下！孙世林受伤倒在地上                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
83'任意球发到禁区内，前点蹭了一下，皮球有争力地在滚动，张鹭没收！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
84'蒙蒂略右路横传后点，头球顶门打在吴高俊的腿上挡出来！                   81'第81分钟，丁捷任意球传到前点，鲁能中卫没有追防，漏出空当，好在韩鹏及时赶到将球解围
83'吕征在前场右路拿球，孙世林抢球犯规，拉倒了吕征！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
83'吕征倒地时压了孙世林一下！孙世林受伤倒在地上                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
83'任意球发到禁区内，前点蹭了一下，皮球有争力地在滚动，张鹭没收！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
84'蒙蒂略右路横传后点，头球顶门打在吴高俊的腿上挡出来！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
85'辽宁宏运队快速反击，詹姆斯左路斜传禁区，戴琳把球挡出！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
85'用户3639867403：相对于国安，鲁能单看每位球员都有不错的实力，但是从整体作战上看，感觉逊于国安。[回复]近段时间鲁能泰山队处于低潮，有点不会打啦！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
86'界外球发到禁区内，对方破坏出来！丁捷一脚劲射，皮球擦着立柱偏出底线！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
86'阿洛伊西奥左路横传，乌索把球分到右路，王彤斜传禁区！！阿洛伊西奥头球顶门！稍高！                   83'第83分钟，蒙蒂略任意球传中，前点头球一蹭，张鹭倒地将球没收
46'王彤右路横传禁区，乌索到位啦，头球顶门高出！                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
46'上半场比赛结束，双方都没能破门，战成0-0                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
46'下半场比赛开始                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
46'辽宁宏运队把球传到左路，王彤回防把球让出边线                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
46'界外球发出来，阿洛伊西奥断球，詹姆斯抢球出界                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
47'戴琳中场抢球犯规，吃到了黄牌                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
47'主裁判给戴琳出示了黄牌                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
47'耶夫蒂奇左路斜传禁区，有队员越位啦                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
47'辽宁宏运队右路进攻，被金敬道卡住了路线                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
48'鲁能泰山队左路长传进攻，对方把球破坏出边线                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
48'郑铮发界外球，对方头球顶到中场，金敬道抢断回传                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
49'〔互动话题〕双方各有机会，只是还没有破门。请大家猜一下最终的比赛结果：A、宏远胜 B、鲁能胜 C、双方战平！[qiangda]                   46'1分钟后，王彤边路弧线球传中，阿洛伊西奥跑出空当直接头球攻门，球竟然高出
