1'辽宁从画面右侧向左侧进攻，贵州人和从左侧向右侧进攻                   1'第1分钟双方很快便展开缠斗，攻防节奏很快
7'邱卡边路接应队友传球，出了底线                   4'辽宁队第4分钟即打破僵局――秦升在左路精确制导，皮球绕过前点打到中路，邱卡包抄到位，一个强劲的头球攻门将球砸入网窝，张烈几乎没有反应，1-0
22'现场下着雨，对双方门将的考验很大呀，容易黄油手的天气                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
22'张野传球，埃里克森把球顶出边线                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
22'辽宁边线球开出来，配合失误                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
22'埃里克森后场拿球，往前推进，丁海峰拉人犯规，战术犯规                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
23'辽宁后场拿球，贵州队逼抢比较凶                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
23'回传给张鹭，张鹭大脚给到中圈                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
24'埃里克森拿球张野和詹姆斯夹抢，被詹姆斯踢翻在地                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
24'詹姆斯有点收不住脚步，踩到了埃里克森                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
25'詹姆斯马上表示歉意，詹姆斯应该不是故意的，有点倒不开步子了                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
25'尤里禁区中路直塞找桑托斯，没有成功                   22'第22分钟，詹姆斯在与埃里克森拼抢时将其凶狠踩倒，主队球员引起不满强烈抗议，主裁判口头警告了詹姆斯
28'米切尔盯人很紧，头球解围出边线                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
28'辽宁队右侧郑涛解围，贵州队把球控制下来                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
29'左路连续的传递被断下来                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
29'贵州队把球挑给禁区前沿的桑托斯                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
29'桑托斯机敏的胸部一停，交给身后插上的埃里克森                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
30'埃里克森顺势一趟，遭到对手的侵犯                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
30'贵州队正面的定位球机会，位置不错，只是稍稍有一点远                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
30'埃里克森主罚，直接打门了，被人墙挡出                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
30'左边饶伟辉失误，出界                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
31'邱卡头球一摆，张野身后得球，不停直接端给右边路                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
31'金泰延跟进，传中，被朴柱成头球解围                   28'第28分钟，埃里克森禁区前突破被詹姆斯铲倒，埃里克森亲自主罚任意球被人墙挡出
33'上半场30多分钟了，贵州的表现难以让人满意啊，没有实质性的威胁进攻                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
33'埃里克森中路推进，轻挑一下给陈杰                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
33'陈杰插上，禁区外一脚推射，打偏了                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
34'埃里克森的传球还是不错的，策划进攻的能力很强啊                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
34'辽宁长传，邱卡停球打手犯规                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
35'丁海峰后场左路护球，刘天祺逼抢犯规                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
35'贵州左侧长传，要找尤里，郑涛把球解围掉                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
36'桑托斯右边分球，给到埃里克森，詹姆斯积极的回防，把球挡出底线                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
36'埃里克森定位球给到禁区内，落点很贼，但第一点还是被后卫解围                   33'第33分钟，埃里克森将球横向转移到大禁区，陈杰大力推射滑门而出
50'贵州队前场配合，给小了，埃里克森伸腿蹬踏了金泰延                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
51'辽宁的长传，找黑风双煞的头顶，力量有些大，被张烈得到                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
51'贵州队桑托斯头球摆渡给同伴                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
51'贵州队右路推进，埃里克森得球，没人上来逼抢                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
52'埃里克森远距离张弓搭箭，一脚爆射，打偏了，力量还是很足的                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
53'朱宝杰左路把球控下，挑传给身前的尤里，出了边线                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
53'因为下雨湿滑的缘故吗，贵州的配合失误频频啊                   50'下半场易边再战，第50分钟桑托斯禁区外摆脱防守后拔脚怒射，皮球在门前弹地后偏出球门
47'埃里克森右路突破，勉强把球传向禁区                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'中路没有队友包抄                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'.裁判吹响了上半场结束的哨音                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'凭借邱卡开场不久的强力头球，辽宁客场暂时1-0领先贵州                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'贵州队右侧直塞，埃里克森下底传中                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'但是球在传出来的一霎那先出底线了                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
47'邱卡前场得球，背身把球护住，在分边                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
48'左侧的同伴套边上来，传向禁区内                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
48'詹姆斯前点一漏，贵州队解围出禁区                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
48'外围张野跟进一脚远射，被后卫挡出边线                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
48'秦升手榴弹界外球扔出来，辽宁队前场组织                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
49'右侧张靖洋突破出了边线                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
50'贵州队前场配合，给小了，埃里克森伸腿蹬踏了金泰延                   47'落后的主队也进行换人，新晋加盟的前国脚冯仁亮登场替下了陈杰，2分钟后埃里克森前场带球突施冷箭，张鹭倒地将球抱紧
60'外围埃里克森不等落地，直接一记凌空，还是被张鹭没收                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
60'辽宁的进攻，右侧胡延强的射门被后卫挡出                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
61'贵州反击了，速度很快，桑托斯视野很好，分到右侧给尤里                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
61'尤里身前一片开阔，直接往禁区内冲击                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
62'尤里禁区右路自己打了，抽射近角，稍微偏出一点                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
62'辽宁左路短传配合，张野把球丢掉，但贵州解围不力，球还在辽宁脚下                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
63'辽宁队把球给到禁区，邱卡停球离身体有点远                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
63'贵州队后场右路把球护住，辽宁队反抢犯规                   60'贵州队展开猛攻，第60分钟贵州队快速反击，桑托斯带球快下多人跟进包抄，可惜桑托斯立功心切选择自己射门，击中边网
46'裁判鸣哨了，是吹了禁区内无球犯规吗，哦，没有，是吹了秦升的违例                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
46'上半场补时1分钟                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
46'看来秦升的界外球还是要手榴弹的方式啊，否则不太会扔了                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'埃里克森右路突破，勉强把球传向禁区                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'中路没有队友包抄                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'.裁判吹响了上半场结束的哨音                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'凭借邱卡开场不久的强力头球，辽宁客场暂时1-0领先贵州                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
46'裁判一声哨响，下半场开始                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
46'贵州队开球，刘洋一个长传，到前场                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'贵州队右侧直塞，埃里克森下底传中                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'但是球在传出来的一霎那先出底线了                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
47'邱卡前场得球，背身把球护住，在分边                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
48'左侧的同伴套边上来，传向禁区内                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
48'詹姆斯前点一漏，贵州队解围出禁区                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
48'外围张野跟进一脚远射，被后卫挡出边线                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
48'秦升手榴弹界外球扔出来，辽宁队前场组织                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
49'右侧张靖洋突破出了边线                   46'1分钟后尤里传中，桑托斯扛住杨善平倒钩打门，张鹭注意力集中侧扑将球摘下
68'辽宁队金泰延下场，换上了杨宇                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
69'贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
70'贵州队这一阵的进攻打的风生水起，他们的状态来的够晚的呀                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
70'贵州队右侧二过一的配合，没有形成默契                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
70'贵州右侧斜传禁区，杨善平头球解围                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
71'埃里克森来到右路，晃开防守，传了一记半高球到前点                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
71'桑托斯抢点没有碰到，张鹭在门前把球得到                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
71'这个球传的很贼啊，桑托斯只要稍稍碰一下，就危险了，张鹭想反应都来不及                   68'第68分钟，贵州队定位球给到后点，落点很深，朴柱成头球小角度攻门，张鹭反应奇快近距离把球揽入怀中
74'左侧饶伟辉在传，质量太差，又飘又高，且太靠近门将，张鹭轻松没收                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
74'辽宁下半场难得的一次好机会啊，杨宇禁区前沿得球，边路的同伴没人防守啊                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
75'但是杨宇没有传，自己选择打门，偏了，很可惜啊。。还是能力上的问题                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
76'丁海峰左侧防守犯规，吃到黄牌，铲倒了埃里克森                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
76'贵州队任意球没有造成威胁                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
76'右路尤里突破传中，前点没能越过防守                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
77'贵州队正面来一脚远射，打高了                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
77'杨宇中路组织进攻，给到左侧的张野                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
77'丁海峰助攻上来，辽宁队进攻犯规了                   74'第74分钟丁海峰在边路直接铲倒桑托斯，起身朝边裁喋喋不休，主裁判跑来出示黄牌
90'辽宁队大脚给到前场，继续搅局，胡延强逼抢不成，赶快退防                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
90'下半场补时4分钟                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
90'埃里克森左边拿球，交给饶伟辉                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
91'饶伟辉短传给中路的冯仁亮，冯仁亮在渗透给桑托斯                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
91'桑托斯一脚出球，传丢了                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
91'这个时候辽宁队员全都回到自己半场防守，在想打渗透就太难了                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
92'张鹭大脚把球送到前场，辽宁前场已经没有接应点了                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
92'贵州赶紧把球拿稳，继续用高空球来砸向对方的防线                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
93'左边沈田峰和朴柱成都没有拿到这个球，出了底线                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
93'刘天祺右边突破，被詹姆斯捅出边线                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
93'刘天祺右路在突，下底，还是被詹姆斯破坏掉，不过这次是出了底线                   90'90分钟战罢，贵州人和在主场0-1不敌辽宁宏运
