7'伊萨克边路拿球，被跟防的葛振推倒                   7'比赛打到第7分钟，场上才出现一脚射门，张文钊外围远射高出
23'马罗内中场拉球转身，直塞给到禁区内的刘俊楠                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
23'刘俊楠没有转身机会，回敲给到外围队友                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
24'赵作峻直传被破坏，亚泰反击                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
24'张永海中场战术犯规放倒对手                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
24'裁判黄牌警告了张永海                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
25'埃尼奥任意球传入禁区，伊萨克抢点打偏了                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
25'葛振长传，毛剑卿拉边到右路接应                   22'第22分钟长春快速反击，张永海铲飞张文钊吃到黄牌
30'雷泽克右路拿球回带，回敲王万鹏                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
30'曹添堡中路拿球被葛振绊倒，任意球                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
31'埃尼奥任意球大力抽射被刘殿座扑出！角球                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
31'埃尼奥角球开前点，雷泽克甩头攻门被刘殿座扑出！                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
32'亚泰继续开角球                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
32'角球开出到外围，裁判吹罚申鑫防守的犯规，任意球                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
32'埃尼奥任意球横推禁区前，张文钊远射打高！                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
33'于涛中场防守，把埃尼奥的出球挡出边线                   30'第30分钟长春队再次获得30米外任意球机会，埃尼奥打出一记落叶球直奔大门右下角，被刘殿座扑出，角球开出后，雷泽克抢前点头球攻门，又被刘殿座一拳打出
43'于涛拿球闪开伊萨克的追防，把球分左路                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
43'闫峰中场铲球把球断下，亚泰反击速度没打出来                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
44'毛剑卿中场反抢，安东尼奥拿球斜传身前队友                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
44'姜至鹏左路接应毛剑卿挑传，传中直接打出底线                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
44'雷泽克被裁判黄牌警告                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
44'应该是对之前的某个判罚不满，话有些多                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
45'姜至鹏左边路拿球被包夹，球被破坏出边线                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
45'葛振右路拿球，推传禁区没有找到队友                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'雷泽克越位位置回接拿球                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'毛剑卿右路拿球被断                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'..上半场比赛结束！                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'裁判基本没给补时，鸣哨结束半场                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'下半场比赛开始！                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'申鑫中圈开球                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'于涛左路拼抢被赵明剑绊倒                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
46'马罗内中场拿球分到右路                   43'第43分钟申鑫好不容易打到前场，但姜至鹏一脚打的不知所云，此时雷泽克后场犯规被补发黄牌
85'姜至鹏任意球开中路，球被解围                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
85'外围马罗内把球做入禁区，直接给到了门将怀里                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
86'安东尼奥拿球回带被孙捷绊倒                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
86'王佳玉右路传中，宋振瑜把球拿到                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
86'刘卫东左路拿球突破被葛振绊倒，任意球                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
87'埃尼奥任意球直接射门被刘殿座扑出！角球                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
88'雷泽克右路反越位，传中去后点，曹添堡头球被刘殿座扑了一下，门线上张永海解围                   85'第40分钟姜至鹏后场解围稍慢，张文钊高速插上试图把球抢下，两人在申鑫一番争夺后，姜至鹏安全把球护给刘殿座
54'申鑫开出战术角球，球被解围出半场                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
54'于涛禁区前接应姜至鹏左路的倒三角传球，远射被挡，角球                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
54'安东尼奥角球开前点，伊斯梅洛夫头球解围                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
55'右路安东尼奥再传中，高度不够                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
55'亚泰反击，4打3                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
55'埃尼奥一路带球，选择远射被蹭出底线，角球                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
56'埃尼奥角球开前点，踢疵了高度没出来                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
56'赵作峻禁区内解围了亚泰外围的起球                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
56'曹添堡禁区内背身拿球回敲，雷泽克接应                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
57'伊萨克再接雷泽克的做球，推远角被刘殿座扑出，角球！                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
57'埃尼奥角球开后点，没有找到队友的头顶                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
57'张文钊左边路拿球被葛振铲截破坏                   54'第54分钟长春队快速反击到前场，埃尼奥直线带球中远射稍微偏出
57'伊萨克再接雷泽克的做球，推远角被刘殿座扑出，角球！                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
57'埃尼奥角球开后点，没有找到队友的头顶                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
57'张文钊左边路拿球被葛振铲截破坏                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
58'亚泰左侧角球的机会                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
58'埃尼奥角球开前点，于涛头球一蹭，后点解围                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
58'张文钊右路传中绕去后点，雷泽克抢点没打上                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
59'申鑫右路传中去禁区，毛剑卿抢点蹬踏了                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
59'毛剑卿被裁判黄牌警告！                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
59'赵明剑倒地接受治疗                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
60'闫峰也是在争顶时候撞到额头，在冰敷                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
60'比赛继续                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
60'曹添堡前场拼抢犯规了                   57'第57分钟长春队右路传中，雷泽克高速接应，但他跑得太快，没把球带好，被刘殿座拿住后发起快攻，但到了长春前场，毛剑卿从后踢倒赵明剑吃到黄牌
62'毛剑卿挑传禁区，王赟第一点没有打，再做给杨家威，后者射门被封堵                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
62'姜至鹏左路下底，球被埃尼奥让出底线                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
63'雷泽克接应队友斜传，下底回敲禁区前，张文钊调整一步射门打偏！                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
64'曹添堡中场争顶时受伤倒地，接受治疗                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
64'                    62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
65'曹添堡被担架抬下，比赛继续                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
65'王赟禁区前拿球被赵明剑抢断                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
65'曹添堡回到场上，直塞被出击的刘殿座没收                   62'第62分钟长春队再次快攻到前场，雷泽克传到禁区，张文钊一个精彩的停球转身后，大力射门偏出
66'伊斯梅洛夫中路解围不远，自己跟上再把球踢出了边线                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
66'申鑫后场长传，球被宋振瑜拿到                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
67'姜至鹏左路传中，毛剑卿鱼跃头球没顶上力量                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
67'伊萨克中场拿球被断                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
67'于涛斜传右路，张笑飞把球解围出边线                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
68'姜至鹏中场直塞禁区，直接给到了赵明剑脚下                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
69'申鑫右路进攻被破坏                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
69'埃尼奥右路突破，回扣转身被断                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
69'安东尼奥中场拿球分边，毛剑卿传禁区落点不好                   66'第66分钟姜至鹏左路传中，毛剑卿鱼跃头球偏出
71'本场比赛到场观众6870人                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
71'工作日下午的比赛对于上座率影响比较大                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
72'安东尼奥直塞禁区，毛剑卿拿好球射门前球被破坏                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
73'                    71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
73'曹添堡左路传中，后点队友没有及时赶上                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
74'王赟右路插上，底线前转身传中被王万鹏头球解围                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
74'申鑫换人，江晓辰换下毛剑卿                   71'第71分钟安东尼奥巧妙直塞禁区，毛剑卿领球转身后强行射门，但在赵明剑强力拦截下，球没打出力量
73'                    73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
73'曹添堡左路传中，后点队友没有及时赶上                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
74'王赟右路插上，底线前转身传中被王万鹏头球解围                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
74'申鑫换人，江晓辰换下毛剑卿                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
75'亚泰也换人，张文钊被刘卫东换下                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
75'姜至鹏斜传禁区，球被宋振瑜拿到                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
76'申鑫球打到禁区内，宋振瑜出击把球倒地抱住                   73'第73分钟双方此时同时换人，长春队用刘卫东换下张文钊，申鑫用江晓辰换下毛剑卿
77'江晓辰右路拿球横敲，杨家威禁区内射门打高！                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
78'雷泽克中场拿球，转移右路                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
79'张笑飞左路拿球，雷泽克中路接应，搓射打偏！                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
79'亚泰换人，伊萨克被孙捷换下                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
80'江晓辰右路领球下底，球先出底线了                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
80'申鑫换人，王佳玉换下于涛                   77'第77分钟雷泽克在和马罗内抢球时摔倒，但雷泽克快速起身后，第一时间抢射，皮球稍稍高出
79'张笑飞左路拿球，雷泽克中路接应，搓射打偏！                   79'第79分钟申鑫用王佳玉换下于涛
79'亚泰换人，伊萨克被孙捷换下                   79'第79分钟申鑫用王佳玉换下于涛
80'江晓辰右路领球下底，球先出底线了                   79'第79分钟申鑫用王佳玉换下于涛
80'申鑫换人，王佳玉换下于涛                   79'第79分钟申鑫用王佳玉换下于涛
81'江晓辰右路突破，张笑飞把球破坏出边线                   79'第79分钟申鑫用王佳玉换下于涛
81'王赟前场背身接应，回敲直接传出边线                   79'第79分钟申鑫用王佳玉换下于涛
82'姜至鹏中场断球，强行突破被阻截                   79'第79分钟申鑫用王佳玉换下于涛
86'安东尼奥拿球回带被孙捷绊倒                   86'第86分钟埃尼奥左路任意球稍稍偏出
86'王佳玉右路传中，宋振瑜把球拿到                   86'第86分钟埃尼奥左路任意球稍稍偏出
86'刘卫东左路拿球突破被葛振绊倒，任意球                   86'第86分钟埃尼奥左路任意球稍稍偏出
87'埃尼奥任意球直接射门被刘殿座扑出！角球                   86'第86分钟埃尼奥左路任意球稍稍偏出
88'雷泽克右路反越位，传中去后点，曹添堡头球被刘殿座扑了一下，门线上张永海解围                   86'第86分钟埃尼奥左路任意球稍稍偏出
89'埃尼奥中路突破趟过张永海，小角度射门被刘殿座扑住                   86'第86分钟埃尼奥左路任意球稍稍偏出
89'姜至鹏左路迎球传中，直接被宋振瑜拿到                   86'第86分钟埃尼奥左路任意球稍稍偏出
87'埃尼奥任意球直接射门被刘殿座扑出！角球                   87'第87分钟埃尼奥右路起速，他带球到禁区内强行射门被刘殿座扑住
88'雷泽克右路反越位，传中去后点，曹添堡头球被刘殿座扑了一下，门线上张永海解围                   87'第87分钟埃尼奥右路起速，他带球到禁区内强行射门被刘殿座扑住
89'埃尼奥中路突破趟过张永海，小角度射门被刘殿座扑住                   87'第87分钟埃尼奥右路起速，他带球到禁区内强行射门被刘殿座扑住
89'姜至鹏左路迎球传中，直接被宋振瑜拿到                   87'第87分钟埃尼奥右路起速，他带球到禁区内强行射门被刘殿座扑住
90'王佳玉右路传中被伊斯梅洛夫解围                   87'第87分钟埃尼奥右路起速，他带球到禁区内强行射门被刘殿座扑住
89'埃尼奥中路突破趟过张永海，小角度射门被刘殿座扑住                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
89'姜至鹏左路迎球传中，直接被宋振瑜拿到                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
90'王佳玉右路传中被伊斯梅洛夫解围                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
91'亚泰换人，埃尼奥被巴亚诺换下                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
91'下半场补时5分钟！                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
91'申鑫右侧角球开门前，宋振瑜双拳把球击出                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
92'外围申鑫长传进禁区，宋振瑜出击把球摘下，同时摔倒在地                   89'”第89分钟长春队用后卫埃德尔换下埃尼奥
94'杨家威前场禁区内拼抢犯规                   93'第93分钟杨家威禁区内强行倒钩没碰到球
95'补时马上要到点了                   93'第93分钟杨家威禁区内强行倒钩没碰到球
96'葛振右路传中，王佳玉前点倒地，裁判没有吹罚                   93'第93分钟杨家威禁区内强行倒钩没碰到球
