5'洛伦特右翼横拔，比达尔前插连停带过过了梅德尔横扫门前，特维斯抢前点弹射破门                   5'尤文第5分钟取得领先
82'波多尔斯基这球稍嫌送得靠前了一点                   81'第81分钟，波多尔斯基几乎助攻国米反超
82'博努奇出言不逊，也吃到黄牌                   81'第81分钟，波多尔斯基几乎助攻国米反超
82'尤文的门前风声鹤唳                   81'第81分钟，波多尔斯基几乎助攻国米反超
82'瓜林来一脚远射，稍稍打偏                   81'第81分钟，波多尔斯基几乎助攻国米反超
83'阿莱格里坐不住了，不断地呼喊着                   81'第81分钟，波多尔斯基几乎助攻国米反超
83'伊卡尔迪进了禁区，大力抽射，布冯将球扑出底线                   81'第81分钟，波多尔斯基几乎助攻国米反超
83'布冯扑球后不断摇手指，他还是定海神针                   81'第81分钟，波多尔斯基几乎助攻国米反超
84'国际米兰角球没有什么威胁                   81'第81分钟，波多尔斯基几乎助攻国米反超
84'梅德尔中场抱摔放倒了莫拉塔                   81'第81分钟，波多尔斯基几乎助攻国米反超
84'梅德尔也收获黄牌                   81'第81分钟，波多尔斯基几乎助攻国米反超
86'佩雷拉右翼下底传中，无人接应                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
86'伊卡尔迪前场得球，波多尔斯基绕到右路，伊卡尔迪自己打门，不着边际                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
86'科瓦契奇双脚离地飞铲铲倒了马尔基西奥                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
87'主裁判直接掏出红牌将科瓦契奇罚下！                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
87'皮尔洛任意球传中被胡安头球顶出来                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
88'马尔基西奥送到后点，博格巴头球回点                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
89'埃夫拉跟进停球有点大，最后带球出底线                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
89'埃夫拉向裁判要点球，理据不足                   86'第86分钟，科瓦契奇边路飞铲利希施泰纳，被直接红牌罚下
