7'梅西今天更多的是像中路靠                   7'开场7分钟，巴萨首次射门就取得领先
75'但主裁判似乎并没有看到                   75'第75分钟，加齐传球，卡拉森打高
75'阿贾克斯右路传球到中路                   75'第75分钟，加齐传球，卡拉森打高
75'机会啊，打门居然打高了                   75'第75分钟，加齐传球，卡拉森打高
75'打门的是克拉森                   75'第75分钟，加齐传球，卡拉森打高
76'皮克这边总算回到场上                   75'第75分钟，加齐传球，卡拉森打高
76'巴萨换人，伊涅斯塔下，拉菲尼亚上！                   75'第75分钟，加齐传球，卡拉森打高
88'第一点还是被巴萨解围出来                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
88'阿贾克斯进球了！！                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
88'加齐！！                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
89'阿贾克斯禁区前沿挑传，队友第一下打门被挡，加齐跟上补射打近角得分！                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
89'阿贾克斯也是通过不断的努力也是收获了进球                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
90'看看阿贾克斯有没有扳平的机会                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
90'加齐这边又来了，禁区内打门被后卫挡了下来                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
91'下半场补时4分钟！                   88'第88分钟，里德瓦尔德与米利克踢墙配合后挑传禁区，米利克在门前7米处左脚凌空勾射被挡，加齐禁区右侧左脚推入近角，1比2
49'下半场比赛开始后，阿贾克斯的进攻比之前还是有很大的起色                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
49'梅西禁区内补射进球了，但先越位了                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
50'佩德罗禁区线上打门被西莱森扑出，球正好落在梅西脚下，但可惜梅西在得球的时候先越位了                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
50'巴萨中场拿球被撞倒                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
50'右路起球送禁区中路                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
50'阿贾克斯连续两次将球解围                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
51'梅西禁区前沿拿球送禁区里                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
51'队友停球后准备打门被破坏                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
52'而梅西这个时候插上拿球                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
52'小范围的连续晃动到了小禁区角上                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
52'打门是打在了边网上                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
52'但梅西的这次突破还是非常精彩的                   49'补时第4分钟，巴萨两名小将打出配合，拉菲尼亚反击分球，桑德罗-拉米雷斯禁区左侧过人距门8米处左脚推进远角，3比1
