1'裁判员一声哨响，上半场比赛开始                   1'双方谨慎开局，第1分钟打出高对抗，两队进攻中在紧逼下均出现失误
43'曼城后场继续控球                   40'曼城第40分钟取得领先，范戴克解围传中，贝纳尔多再次左路突破传中，阿圭罗前点停球摆脱洛夫伦后禁区左侧小角度射入上角
63'阿诺德给到马内 席尔瓦对马内犯规                   63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
64'利物浦前场任意球传到禁区 被埃德森解围出禁区                   63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
64'球进了菲尔米诺！                   63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
65'阿诺德右侧长传找到后点的亨德森                    63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
65'亨德森横传找小禁区的菲尔米诺                    63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
66'菲尔米诺轻松推空门 将球打进 双方比分战成1比1                   63'第63分钟，埃德森任意球防守时出击失误，菲尔米诺禁区右侧射门被孔帕尼在门线前挡出
72'球进了萨内！                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
72'曼城再次取得领先                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
72'曼城右侧边路的斯特林拿球突破                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
73'横传给到左侧的萨内                    72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
73'萨内禁区内起左脚打门 球直奔球门右下角                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
73'曼城再次取得领先                    72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
74'利物浦后场长传找右侧边路的马内                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
74'但是停球停大了 曼城后场球门球                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
75'费尔南迪尼奥拿球  给阿奎罗 但是失误了                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
75'利物浦后场传球同样失误了 罗伯逊没有拿好球                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
75'曼城后场倒球 孔帕尼给到斯通斯                   72'曼城第72分钟再次超出，斯特林反击中斜传，萨内禁区左侧12码处低射，皮球击中远角立柱内侧后入网，2-1
82'曼城打出反击 斯特林给到阿奎罗                    82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
82'阿奎罗单刀球 被阿利松扑出底线                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
82'曼城获得角球                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
83'席尔瓦传到后点 找萨内                    82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
83'但是传大了                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
83'利物浦中场拿球                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
83'给右侧边路的阿诺德                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
85'直传给到萨拉赫                    82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
85'萨拉赫禁区内起左脚打门                   82'第82分钟，斯特林反击中速度突破罗伯逊后直传，阿圭罗晃过阿利松后禁区右侧射门被阿利松回身扑出底线
90'萨内没有拿好球                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
91'沙奇里传给洛夫伦 洛夫伦没有拿好球                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
91'席尔瓦禁区内打门 被阿利松封出                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
91'斯特林大禁区弧顶处迎球打门 球打偏了                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
91'利物浦中场拿球                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
92'下半场比赛补时5分钟                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
93'利物浦前场边线球                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
93'给到左侧的罗伯逊                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
93'罗伯逊传中被奥塔门迪顶出                   90'第90分钟，贝尔纳多小禁区左侧边缘外射门被扑出，斯特林禁区边缘内再射偏出
