7'阿扎尔接应，趟一步，禁区内起脚打门，被希顿拿到                   7'切尔西第7分钟取得领先，摩西反击中横传，佩德罗带球突破至12码处低射入网
39'博伊德示意卡希尔手球，裁判没理会！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
39'阿隆索的前场强突，左路传中                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
39'球伯恩利球员头球解围出底线！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
39'切尔西右侧角球机会，没能形成威胁！！！                   36'伯恩利第36分钟险些反超，巴顿直传，反越位成功的洛顿禁区右侧10码处单刀低射被库尔图瓦用腿挡出
47'伯恩利的后场过顶球，巴恩斯前插接应，越位在先                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
47'摩西右路拿球，没机会，回传坎特                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
47'坎特再给佩德罗，佩德罗回传阿斯皮利奎塔                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
47'阿斯皮利奎塔再给坎特，坎特斜传找科斯塔                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'科斯塔背身拿球，分球左侧找阿扎尔                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'阿扎尔的传中，被拦截                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'伯恩利的反击，巴顿中场拿球，斜塞打身后                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'卡希尔和路易斯双双拦截，没碰到                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'球到了格雷脚下，单刀，一脚推射，信心不足啊                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
48'没踢上力量，被库尔图瓦倒地没收                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
49'伯恩利前场的传接配合，博伊德的过顶斜传                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
49'路易斯回防，抢在巴恩斯之前，头球解围出底线                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
50'不过边裁也举旗了，巴恩斯抢点越位在先，切尔西门球                   47'伯恩利第47分钟又错过机会，马蒂奇、卡希尔和路易斯接连失误，但格雷禁区边缘的低射被库尔图瓦救下
