5'埃弗顿球员卢卡库大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.                   5'第5分钟，迪斯丁传球，切尔西外租中锋卢卡库20码处劲射偏出
45'Luis Antonio Valencia为曼联在右路,赢得一个任意球.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
45'埃弗顿球员皮纳尔拼抢犯规,对手获得控球权.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
45'Luis Antonio Valencia为曼联在右路,赢得一个任意球.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
45'+2'上半场结束,曼联 0-0 埃弗顿,稍事休息,我们一会来看看下半场两队的表现.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
46'射门!!!曼联球员埃弗拉大禁区外左脚射门,被对方守门员横身扑出.                   43'第43分钟，香川真司禁区左侧传中，维尔贝克和鲁尼近距离均错过机会，皮球被挡回门前，鲁尼近距离钩射被霍华德拿下
50'曼联球员香川真司大禁区右侧右脚射门,被防守球员封堵.给他传球的是Luis Antonio Valencia.                   50'第50分钟，瓦伦西亚传球，香川真司禁区右侧的射门被封堵，费莱尼外围射门又被加吉尔卡挡出
50'曼联球员费莱尼大禁区外右脚射门,被防守球员封堵.                   50'第50分钟，瓦伦西亚传球，香川真司禁区右侧的射门被封堵，费莱尼外围射门又被加吉尔卡挡出
50'麦卡锡将球处理出底线,曼联获得角球.                   50'第50分钟，瓦伦西亚传球，香川真司禁区右侧的射门被封堵，费莱尼外围射门又被加吉尔卡挡出
52'埃弗顿球员卢卡库大禁区外右脚射门,被防守球员封堵.给他传球的是皮纳尔.                   50'第50分钟，瓦伦西亚传球，香川真司禁区右侧的射门被封堵，费莱尼外围射门又被加吉尔卡挡出
60'埃弗顿球员奥维多大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是皮纳尔.                   60'第60分钟，皮纳尔传球，奥维耶多左路25码处劲射偏出近角
61'曼联球员鲁尼被主裁判出示了一张黄牌.                   60'第60分钟，皮纳尔传球，奥维耶多左路25码处劲射偏出近角
61'埃弗顿球员巴克利大禁区左侧左脚射门,被防守球员封堵.给他传球的是麦卡锡.                   60'第60分钟，皮纳尔传球，奥维耶多左路25码处劲射偏出近角
68'曼联球员维尔贝克一脚直塞球给埃弗拉,但是边裁举旗显示后者已经越位.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
69'埃弗顿换人,德乌洛费乌换下巴克利                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
69'射门!!!埃弗顿球员德乌洛费乌大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是卢卡库.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
70'射门!!!曼联球员贾努扎伊大禁区外左脚射门,被对方守门员横身扑出.给他传球的是德赫亚.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
70'霍华德将球处理出底线,曼联获得角球.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
70'曼联球员斯马林大禁区中央头球,被防守球员封堵.给他传球的是吉格斯.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
70'巴里将球处理出底线,曼联获得角球.                   67'第67分钟，贾努扎伊在皮纳尔防守下摔倒在禁区右侧，但裁判阿特金森拒绝判罚点球
46'射门!!!曼联球员埃弗拉大禁区外左脚射门,被对方守门员横身扑出.                   46'1分钟后，德赫亚大脚传球，贾努扎伊外围劲射被霍华德扑出
47'米拉拉斯为埃弗顿赢得一个任意球.                   46'1分钟后，德赫亚大脚传球，贾努扎伊外围劲射被霍华德扑出
47'曼联球员埃弗拉拼抢犯规,对手获得控球权.                   46'1分钟后，德赫亚大脚传球，贾努扎伊外围劲射被霍华德扑出
48'斯马林将球处理出底线,埃弗顿获得角球.                   46'1分钟后，德赫亚大脚传球，贾努扎伊外围劲射被霍华德扑出
72'射门!!!曼联球员埃弗拉大禁区中央头球,被对方守门员横身扑出.给他传球的是鲁尼.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
72'曼联球员维尔贝克球门线跟前头球,命中门柱横梁.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
72'曼联球员鲁尼大禁区中央尝试右脚射门,可惜皮球高出右上角球门.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
74'曼联球员纳尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是贾努扎伊.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
74'埃弗顿球员奥维多拼抢犯规,对手获得控球权.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
74'贾努扎伊为曼联在右路,赢得一个任意球.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
75'皮纳尔为埃弗顿赢得一个任意球.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
75'曼联球员吉格斯拼抢犯规,对手获得控球权.                   72'第72分钟，费莱尼禁区内射门被麦卡锡挡出
85'埃弗顿球员米拉拉斯大禁区外右脚射门,命中门柱左侧立柱.                   85'埃弗顿第85分钟绝杀，加吉尔卡传球，卢卡库禁区右侧在费莱尼防守下轻松转身传中，奥维耶多小禁区左侧边缘低射破门
86'埃弗顿球员卢卡库大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是贾吉尔卡.                   85'埃弗顿第85分钟绝杀，加吉尔卡传球，卢卡库禁区右侧在费莱尼防守下轻松转身传中，奥维耶多小禁区左侧边缘低射破门
86'进球啦！！！埃弗顿球员奥维多球门左侧小角度左脚射门,球从中路飞进球门,球进了!助攻的是卢卡库. 曼联 0-1 埃弗顿.                   85'埃弗顿第85分钟绝杀，加吉尔卡传球，卢卡库禁区右侧在费莱尼防守下轻松转身传中，奥维耶多小禁区左侧边缘低射破门
50'曼联球员香川真司大禁区右侧右脚射门,被防守球员封堵.给他传球的是Luis Antonio Valencia.                   49'伤停补时4分钟，但曼联已无力回天
50'曼联球员费莱尼大禁区外右脚射门,被防守球员封堵.                   49'伤停补时4分钟，但曼联已无力回天
50'麦卡锡将球处理出底线,曼联获得角球.                   49'伤停补时4分钟，但曼联已无力回天
52'埃弗顿球员卢卡库大禁区外右脚射门,被防守球员封堵.给他传球的是皮纳尔.                   49'伤停补时4分钟，但曼联已无力回天
