2'[互动话题]双方比赛一开始就真刀真枪，请预测哪队先进球呢？A、申花 B、永昌 [qiangda]                   2'第2分钟王S自己带球切到中路后射门，球被石家庄后卫挡出界外
23'公婆图LosK线：永昌永昌，看到希望，带着三分回到石家庄！！！永昌加油！永昌加油！！？GOGOGOGO！！[回复]写得象首诗！希望双方打出精彩                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
23'上海申花队左路斜传禁区，对方顶出来                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
23'卡希尔在前场得球，乔罗抢球犯规                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
23'上海申花队得到任意球机会                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
23'刚才是莫雷诺在前场得球后被乔罗放倒                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
24'任意球直接打门，关震将球没收                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
24'吕征在前场右路接球，横带突然打门，对方挡了一下出边线                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
25'给大家上张图！                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
25'毛剑卿左路下底强突到禁区，对方把球破坏出底线                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
26'毛剑卿踢得很有侵略性，侵犯了苏祖                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
26'毛剑卿横传球时打在边网上                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
26'中场石家庄永昌断球，转移到右路进攻                   23'第23分钟乔罗后场抢断莫雷诺犯规，莫雷诺左脚任意球被关震稳稳接住
27'柏佳骏左路得球快速反击，胡伟铲球犯规！！黄牌！                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
28'上海申花队右路到前场，横传禁区又被破坏出来                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
28'小罗H10：申花火力太猛了。[回复]必须猛啊，志在三分！实力不弱又在主场作战！必须的                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
28'后场上海申花队断球，左路发动进攻                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
29'中场上海申花队把球回传，转移到右路交给张璐                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
30'王赟左路斜传禁区，糜昊伦为保险起见，把球破坏出底线                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
30'上海申花队得到角球机会                   27'第27分钟柏佳骏左路快冲，造成对方胡伟冲撞犯规并吃到黄牌
34'上海申花队右路斜传，跟上队员倒勾没能打上                   34'石家庄利用远射也不断发难，第34分钟高增翔远射稍高
34'高增翔在前场得球，一脚远射，偏出                   34'石家庄利用远射也不断发难，第34分钟高增翔远射稍高
35'王赟左路斜传禁区，莫雷诺头球顶门，高啦！                   34'石家庄利用远射也不断发难，第34分钟高增翔远射稍高
36'上海申花队右路长传球，吕征接球时在对方逼抢下出边线                   34'石家庄利用远射也不断发难，第34分钟高增翔远射稍高
36'隆东右路强突，对方两人包夹，球出边线                   34'石家庄利用远射也不断发难，第34分钟高增翔远射稍高
39'虽场乔罗得球直传，隆东突破到禁区内直面守门员一脚打门被邱盛炯扑出，毛剑卿跟上打门又被挡出来！！！                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
39'这次反击太犀利啦！                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
40'后场石家庄永昌得球，回传门将                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
40'石家庄永昌右路突破横传，乔罗抢点远射，放了高射炮                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
41'后场石家庄永昌断球，右路发动反击                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
41'对方把球破坏出边线                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
41'界外球发出来，上海申花队断球转移到右路                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
41'帕帕多普洛斯在前场抢球犯规，石家庄永昌快速发出任意球                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
42'中场双方拼抢连续失误，石家庄永昌得球分到右路，乔罗突破传球，对方破坏                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
42'毛剑卿右路突破传球，对方破坏，李建滨在球要出底线时把球开出边线                   39'第39分钟劣势下的石家庄险些进球，乔罗中场直传，隆东反越位成功打出单刀，他杀入禁区后推射远角，被邱盛炯扑出，毛剑卿跟上再射，柏佳骏用身体硬挡出来球
48'刚才是毛剑卿快速插上与邱盛炯直撞，把球挡出来，碰到后卫身上直奔球门，门柱帮了忙！                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
48'上海申花队左路攻到前场，横传禁区，关震没收                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
49'目前双方信心大增，都认为能拿三分！                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
49'石家庄永昌传球到禁区内，对方挡了一下，跟上队员打门又被挡出来                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
50'上海申花队右路直传禁区，对方把球碰出底线                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
50'上海申花队得到角球机会                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
51'角球发到禁区内，谁也没能顶到，莫雷诺左路横传，对方大脚破坏                   48'第48分钟石家庄三外援和毛剑卿连续攻门都被申花队员挡出
53'高迪左路突破斜传禁区，吕征抢点顶门偏出                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
54'石家庄永昌左路直传进攻，到前场分左路交给糜昊伦，球出边线                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
54'吕征右路突破横传禁区，胡伟抢点踢了一脚，险些乌龙，球出底线                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
54'上海申花队得到角球机会                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
55'王赟发角球到禁区内，对方破坏出来，柏佳骏抢点打门，高啦！                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
55'中场石家庄永昌断球，上海申花队断球分到左中睡                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
56'上海申花队分球到左路，卡希尔横传禁区，王赟抢点打门，关震扑球没能扑住，不过反应不错，把球没收                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
56'石家庄永昌左路攻到前场，对方犯规，得到任意球机会                   53'第53分钟吕征右路下底传中，许博抢在高迪前解围险些造成乌龙进球，王S角球开进被顶出，柏佳骏远射高飞出界
57'任意球发到禁区内，对方破坏出来                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
57'吕征右路突破横传禁区，关震出击把球打出来！！                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
57'进攻队员犯规啦，卡希尔依然把球打进！！吃到了黄牌！                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
58'石家庄永昌右路突破，李建滨把球破坏                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
59'石家庄永昌角球发到禁区内，对方头球解围                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
59'[互动话题]比赛马上进行60分钟，大家预测最终结果吧！A、申花胜 B、永昌胜 C战平[qiangda]                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
60'石家庄永昌传禁区，对方破坏，角球机会                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
60'角球发到禁区内，邱盛炯把球打出                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
60'石家庄永昌前场界外球                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
60'界外球发到禁区内，对方破坏出来，跟上队员远射，打高啦                   57'第57分钟吕征下底传中，柏佳骏冲撞门将犯规，卡希尔在鸣哨后还射门结果吃到黄牌
62'上海申花队换人：曹赟定上场换下高迪                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
62'到目前为止，高迪的表现一般！                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
63'永昌队外围远射，被邱盛炯打出来                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
64'曹赟定左路突破横传，王赟抢点打门！被挡出来                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
65'上海申花队攻到前场，对方把球抢断下来                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
65'石家庄永昌右路直传球，被对方断掉                   62'第62分钟乔罗左路打远脚，被早有准备的邱盛炯扑出来球
65'上海申花队攻到前场，对方把球抢断下来                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
65'石家庄永昌右路直传球，被对方断掉                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
66'乔罗左路直传球，接应队员横传，对方把球破坏出底线，角球机会                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
66'石家庄永昌换人：黄世博上场换下毛剑卿                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
67'角球发出来，没有什么威胁                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
68'上海申花队左路攻到前场，斜传球象是打门，被关震没收                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
68'石家庄永昌左路突破到禁区内，趟得大了些                   65'第65分钟“励志哥”黄世博换下体力消耗巨大的毛剑卿
68'上海申花队左路攻到前场，斜传球象是打门，被关震没收                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
68'石家庄永昌左路突破到禁区内，趟得大了些                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
69'上海申花队攻到前场，对方犯规，进攻有利，右路突破横传门前，对方把球破坏                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
70'清唱情歌轻烟灭：一统你怎么不直播鲁能比赛了？[回复]谢谢关心！一直直播鲁能，临时同事有事，临时调整！                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
70'石家庄永昌攻到前场，传球出现失误                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
71'上海申花队左路攻到前场，王赟接球突破，对方犯规                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
71'任意球发到禁区内，对方顶出来                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
71'在前场弧顶上海申花队再把球顶到禁区内，象是顶门，关震把球打了一下出底线                   68'第68分钟石家庄在禁区左侧边缘犯规，主裁执行有利原则没有判罚，莫雷诺从肋部带球切入小禁区，但他射门时已经没有角度，被关震把球挡出
73'卡希尔包头！许博也到场外治疗！！这是头对头硬碰啊！                   73'第73分钟王S开出右路角球，帕帕强力头球顶高
74'角球发到禁区内，卡希尔头球顶门，偏出                   73'第73分钟王S开出右路角球，帕帕强力头球顶高
76'上海申花队换人：王飞上场换下吕征                   73'第73分钟王S开出右路角球，帕帕强力头球顶高
76'奔跑的十三叔：卡希尔老是这样，迟早要把自己废掉[回复]还是比较勇的                   73'第73分钟王S开出右路角球，帕帕强力头球顶高
77'石家庄永昌长传，球到禁区内，对方仓促把球破坏出来                   77'第77分钟黄世博飞铲卡希尔吃到黄牌
78'卡希尔右路带球进攻，黄世博铲球犯规，吃到了黄牌                   77'第77分钟黄世博飞铲卡希尔吃到黄牌
79'柏佳骏左路突破传球，曹赟定直传球，柏佳骏斜插大了些                   77'第77分钟黄世博飞铲卡希尔吃到黄牌
80'后场石家庄永昌断球，大脚长传，对方把球控下来                   77'第77分钟黄世博飞铲卡希尔吃到黄牌
89'还是王赟来发角球                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
89'角球发到禁区内，对方顶出来                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
89'石家庄永昌快速反击，左路横传                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
89'这谁啊？太独了吧！                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
90'隆东中路带球突破，要是斜传一下就打空门，他选择了自己来打，被挡出来！                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
90'上海申花队攻到前场，斜传球到禁区内，卡希尔反球，直接勾出底线                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
91'石家庄永昌长传前场，对方把球控下来                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
91'柏佳骏左路横传禁区！                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
91'莫雷诺抢点打门，关震把球扑出                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
92'莫雷诺的这脚打门太漂亮了，胸部停球侧身打门！应该是最佳不进球！                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
92'角球发到禁区内，进攻队员犯规！                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
92'下半场比赛要补时 5 分钟                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
92'关震示意队友前压                   89'第89分钟申花角球开出后被石家庄队截球反击，现场形成三打二的局面，好在李建滨判断到位，堵住隆东的大力抽射
92'莫雷诺的这脚打门太漂亮了，胸部停球侧身打门！应该是最佳不进球！                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
92'角球发到禁区内，进攻队员犯规！                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
92'下半场比赛要补时 5 分钟                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
92'关震示意队友前压                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
93'主裁判吹哨了，吹了关震拖延比赛时间！                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
93'吃到了黄牌！                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
93'关震大脚开球到前场，球出边线                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
93'现场的观众坐不住了，在高喊“进一个”                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
94'曹赟定左路接球横带，突然一脚远射，关震把球没收                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
94'卡希尔在前场得球，回传一脚                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
94'上海申花队把球转移到右路，斜传禁区，对方大脚破坏                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
95'上海申花队右路斜传禁区，越位啦                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
95'关震大脚开球到前场，苏祖大脚解围                   92'第92分钟关震拖延时间吃到黄牌，胆子够大的关震继续喝水后再重新发球
