1'上半场比赛开始                   1'开场不到1分钟，王永珀右路连续扣球摆脱防守后传中，莫德斯特抢点头球攻门顶偏
77'吕伟禁区前沿放倒了莫德斯特                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
78'吕伟吃到了黄牌                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
79'王永珀任意球打门，打在了人墙上                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
79'钱宇淼前场掀翻对手，吃到黄牌                   76'第76分钟，权健继续进攻，维特塞尔横敲左侧，郑达伦加速小角度打门被封堵，随后张振强起身抱住皮球
78'吕伟吃到了黄牌                   78'第78分钟，权健小将钱宇淼前场掀翻对手也吃到黄牌
79'王永珀任意球打门，打在了人墙上                   78'第78分钟，权健小将钱宇淼前场掀翻对手也吃到黄牌
79'钱宇淼前场掀翻对手，吃到黄牌                   78'第78分钟，权健小将钱宇淼前场掀翻对手也吃到黄牌
80'辽足后场长传球，胡延强杀入禁区，越位了                   78'第78分钟，权健小将钱宇淼前场掀翻对手也吃到黄牌
88'王永珀禁区外围和维特塞尔踢墙                   87'第87分钟，王永珀禁区外围和维特塞尔撞墙配合，随后莫德斯特禁区右侧接球摆脱打门被没收
88'莫德斯特禁区右侧接球摆脱打门，被没收                   87'第87分钟，王永珀禁区外围和维特塞尔撞墙配合，随后莫德斯特禁区右侧接球摆脱打门被没收
89'杨宇倒在地上                   87'第87分钟，王永珀禁区外围和维特塞尔撞墙配合，随后莫德斯特禁区右侧接球摆脱打门被没收
90'马上进入补时了                   87'第87分钟，王永珀禁区外围和维特塞尔撞墙配合，随后莫德斯特禁区右侧接球摆脱打门被没收
90'苏缘杰右路护球给到身前                   87'第87分钟，王永珀禁区外围和维特塞尔撞墙配合，随后莫德斯特禁区右侧接球摆脱打门被没收
